Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,100,2002-07-24,CLE,NYY,5-7,,99,2.1,0,0,0,2,2,0,0,0.00,9,47,21,6,2,1,4,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.13,0.018,.01,0.00%,1.03,5t --- 0 out d6,7t 1-- 1 out d5,,CLE,0.9523809523809523,L,7,14
2,102,2002-07-27,CLE,DET,6-8,,2,3.0,1,0,0,0,4,0,0,0.00,9,36,24,4,9,2,3,2,0,0,,2,1,0,0,0,9,0,0,0,1,0,0,.16,0.034,.00,0.00%,1.93,6t 1-3 0 out d4,8t 3 out d4,,CLE,0.3333333333333333,L,1,5
3,105,2002-07-30,CLE,OAK,6-7,,2,1.2,1,1,1,4,1,0,0,1.29,10,49,25,7,2,3,2,1,0,0,,1,0,0,0,0,6,0,0,0,0,0,0,1.14,0.043,.02,0.00%,0.08,6b 1-- 1 out a4,7b 3 out a3,,OAK,4.166666666666667,W,5,4
4,110,2002-08-04,CLE,SEA,6-6,,4,0.1,3,3,3,0,0,1,0,4.91,4,14,9,3,0,1,3,2,0,0,,1,1,0,0,0,4,0,0,0,0,0,0,1.04,-0.186,.00,0.00%,-2.63,6b 1-- 0 out a5,6b 1-- 1 out a2,,SEA,30.0,W,10,8
5,114,2002-08-09,CLE,TEX,7-8,,4,2.0,2,0,0,0,2,0,0,3.86,7,28,21,6,5,4,1,0,0,0,,0,0,0,0,0,7,0,0,0,1,0,0,.63,0.068,.00,0.00%,1.05,7t --- 0 out d2,8t 3 out d2,,CLE,1.0,L,2,3
6,117,2002-08-13,CLE,TBD,9-9,,3,0.1,2,2,1,1,1,0,0,4.66,5,20,12,2,2,2,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,1,.24,-0.041,.00,0.00%,-2.41,9b --- 0 out a6,9b 12- 1 out a4,,TBD,30.0,W,9,5
7,136,2002-09-02,CLE,DET,8-GF,,19,2.0,1,0,0,0,2,0,0,3.86,7,27,19,3,5,2,3,0,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.01,0.002,.00,0.00%,1.00,8b --- 0 out a8,9b end a10,,DET,0.5,W,11,1
8,139,2002-09-05,CLE,CHW,6-7,,2,2.0,2,0,0,0,2,0,0,3.29,8,30,18,4,3,1,5,1,0,0,,2,1,0,0,0,8,0,0,0,0,0,0,1.32,0.103,.00,0.00%,1.11,6b 12- 0 out a5,7b 3 out a4,,CHW,1.0,W,11,6
9,142,2002-09-08,CLE,CHW,7-8,H(1),2,1.1,0,0,0,1,2,0,0,3.00,5,20,10,4,2,1,1,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,1.02,0.084,.00,0.00%,0.80,7b 1-- 2 out a3,8b 3 out a3,,CHW,0.9090909090909091,L,6,7
10,145,2002-09-11,CLE,TOR,11-GF(11),L(0-1),2,1.0,1,1,1,1,1,0,0,3.38,5,26,13,5,1,1,2,1,0,0,,0,0,0,0,0,3,0,1,1,0,1,0,2.86,-0.291,.00,0.00%,-0.47,11t --- 0 out tie,11t end d 1,,CLE,2.0,L,5,6
