Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,26,2013-04-30,SDP,CHC,9-GF,,99,1.0,3,2,2,0,0,1,0,18.00,6,24,15,5,1,1,5,1,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,.01,0.000,.01,0.00%,-1.55,9b --- 0 out a8,9b end a 6,,CHC,3.0,W,13,7,,
2,27,2013-05-01,SDP,CHC,8-GF(8),,0,1.0,0,0,0,0,1,0,0,9.00,3,12,9,4,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.01,0.00%,0.45,8b --- 0 out d5,8b end d 5,,CHC,0.0,L,2,6,,
3,55,2013-06-01,SDP,TOR,GS-7,W(1-0),30,6.2,8,2,2,0,4,1,0,4.15,28,92,61,22,1,5,19,9,1,0,54,,,0,0,0,28,2,0,0,0,0,0,.91,0.090,.62,0.04%,0.63,1t start tie,7t 1-- 2 out a2,,SDP,1.2903225806451613,W,4,3,,
4,79,2013-06-26,SDP,PHI,GS-7,,24,6.1,4,3,2,1,7,0,0,3.60,24,98,66,21,4,7,9,6,0,0,61,,,0,0,0,21,2,0,0,0,1,0,.94,0.049,.97,0.03%,0.38,1t start tie,7t 1-- 1 out a3,,SDP,0.819672131147541,L,5,7,,
5,84,2013-07-02,SDP,BOS,GS-4,L(1-1),5,3.2,5,3,3,3,1,0,0,4.34,17,93,57,16,4,3,10,3,0,0,37,,,1,0,0,14,2,0,0,0,0,0,1.25,-0.132,1.19,-0.08%,-1.11,1b start tie,4b --- 2 out d3,,BOS,2.5,L,1,4,,
6,89,2013-07-07,SDP,WSN,GS-5,L(1-2),4,4.0,6,9,9,4,3,2,0,7.15,22,104,64,10,9,7,8,3,2,0,13,,,2,0,0,17,0,0,0,0,0,0,.84,-0.446,.45,-0.14%,-6.51,1b start tie,5b 1-3 0 out d4,,WSN,2.5,L,7,11,,
7,133,2013-08-28,SDP,ARI,GS-6,W(2-2),51,6.0,6,1,1,2,2,0,0,5.97,25,98,64,22,6,8,13,5,1,0,56,,,0,1,0,22,0,0,0,0,0,0,1.20,0.216,.00,0.00%,1.71,1b start a 2,6b 3 out a1,,ARI,1.3333333333333333,W,5,1,,
8,138,2013-09-03,SDP,SFG,GS-6,,5,5.1,6,2,2,2,5,0,0,5.56,24,98,63,18,5,8,9,5,2,0,51,,,1,0,0,22,1,0,0,0,0,0,1.46,0.061,.00,0.00%,0.61,1t start tie,6t 12- 1 out a1,,SDP,1.5686274509803924,W,3,2,,
9,147,2013-09-14,SDP,ATL,GS-6,L(2-3),10,6.0,8,2,2,1,3,1,0,5.18,25,93,57,12,8,6,16,5,3,0,50,,,1,1,1,24,0,0,0,0,0,0,.99,0.014,.00,0.00%,0.68,1b start tie,6b 3 out d2,,ATL,1.5,L,1,2,,
10,153,2013-09-20,SDP,LAD,GS-8,W(3-3),5,7.2,4,0,0,1,7,0,0,4.34,28,105,72,25,9,13,7,2,2,0,77,,,1,0,0,27,1,0,0,0,0,0,1.08,0.405,.00,0.00%,2.94,1t start tie,8t -2- 2 out a2,,SDP,0.6944444444444444,W,2,0,,
11,159,2013-09-26,SDP,ARI,GS-7,,5,7.0,3,2,2,1,7,1,0,4.12,25,85,60,19,11,8,9,3,1,0,69,,,0,0,0,24,0,1,0,0,0,0,.98,0.141,.00,0.00%,0.82,1t start tie,7t 3 out tie,,SDP,0.5714285714285714,W,3,2,,
12,3,2014-04-02,SDP,LAD,8-8,,99,0.2,0,0,0,0,1,0,0,0.00,2,12,9,0,3,0,1,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,.15,0.008,.17,0.01%,0.32,8t --- 0 out d3,8t --- 2 out d3,,SDP,0.0,L,1,5,,
13,9,2014-04-09,SDP,CLE,GS-6,W(1-0),6,6.0,4,1,1,0,6,0,0,1.35,22,95,63,18,10,5,11,8,1,0,66,,,0,0,0,21,1,0,0,0,1,0,1.11,0.243,.80,0.10%,1.87,1b start a 1,6b 3 out a1,2,CLE,0.6666666666666666,W,2,1,,
14,14,2014-04-15,SDP,COL,GS-5,L(1-1),5,4.2,6,3,3,1,7,0,0,3.18,21,89,56,14,11,3,10,5,0,0,46,,,0,0,0,19,1,0,0,0,1,0,1.27,-0.046,1.30,-0.03%,-0.35,1t start tie,5t 12- 2 out tie,,SDP,1.6666666666666665,L,2,3,,
15,19,2014-04-20,SDP,SFG,GS-6,L(1-2),4,6.0,3,4,4,3,3,1,0,4.15,24,100,62,12,9,5,13,5,3,0,50,,,0,0,0,21,0,0,0,0,0,0,.60,-0.207,.64,-0.13%,-1.56,1t start tie,6t 3 out d2,,SDP,1.0,L,3,4,,
16,24,2014-04-25,SDP,WSN,GS-6,L(1-3),4,5.1,13,8,8,2,3,0,0,6.35,31,106,69,20,8,9,17,10,2,0,11,,,1,0,0,29,2,1,0,0,0,0,.53,-0.315,.51,-0.18%,-5.60,1b start tie,6b -23 1 out d7,,WSN,2.9411764705882355,L,1,11,,
17,29,2014-04-30,SDP,SFG,GS-7,L(1-4),4,6.2,8,3,3,1,5,1,0,5.83,28,97,71,19,11,8,14,6,3,0,50,,,1,0,0,26,2,1,0,1,0,0,.64,-0.034,.64,-0.02%,0.65,1b start tie,7b -2- 2 out d2,,SFG,1.4516129032258065,L,2,3,,
