,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,145,2006-09-13,SEA,TOR,8-GF,,99,2.0,0,0,0,0,2,0,0,0.0,6,22,16,3,5,2,2,2,0,0,,0.0,0.0,0,0,0,6,0,0,0,1,0,1,0.0,0.0,0.0,0.00%,1.07,8t --- 0 out d10,9t end d10,,SEA,0.0,L,0,10,,
1,2,148,2006-09-16,SEA,KCR,5-GF(8),,2,4.0,1,0,0,1,2,0,0,0.0,15,58,38,12,6,5,7,4,0,0,,0.0,0.0,0,0,0,14,0,0,0,0,0,1,0.08,0.022000000000000002,0.0,0.00%,2.23,5b --- 0 out d5,8b end d 5,,KCR,0.5,L,4,7,,
2,3,156,2006-09-24,SEA,CHW,GS-6,L(0-1),7,6.0,8,5,5,3,4,3,0,3.75,29,101,61,14,9,8,14,6,4,0,37.0,,,0,0,0,25,1,0,0,1,0,1,0.82,-0.207,0.0,0.00%,-1.55,1b start tie,6b 3 out d4,,CHW,1.8333333333333333,L,7,12,,
3,4,160,2006-09-29,SEA,TEX,GS-5,,4,5.0,6,2,2,3,3,0,0,3.71,23,96,59,12,8,7,10,5,2,0,47.0,,,0,1,1,20,2,0,0,0,0,0,1.16,0.087,0.0,0.00%,0.68,1t start tie,5t 3 out a1,,SEA,1.8,L,5,6,,
4,5,48,2007-05-29,SEA,LAA,GS-7,L(0-1),99,6.2,8,4,4,2,3,1,0,5.4,28,91,55,18,6,9,14,5,3,0,43.0,,,0,0,1,26,2,0,2,0,0,0,0.96,-0.13,1.56,-0.13%,-0.23,1b start a 1,7b --- 2 out d3,,LAA,1.6129032258064515,L,1,4,,
5,6,53,2007-06-03,SEA,TEX,GS-8,W(1-1),4,7.1,7,4,4,1,5,2,0,5.14,29,109,73,17,10,11,12,3,2,0,52.0,,,0,0,0,28,0,0,0,1,0,0,0.78,-0.081,0.9,-0.06%,-0.06,1t start tie,8t --- 1 out a6,,SEA,1.1267605633802815,W,11,6,,
6,7,65,2007-06-16,SEA,HOU,5-6,,12,2.0,2,0,0,0,0,0,0,4.5,7,17,10,2,1,3,4,0,2,0,,0.0,0.0,0,1,1,7,1,0,0,0,0,0,0.28,0.033,0.36,0.03%,1.05,5b --- 0 out d4,6b 3 out d3,,HOU,1.0,L,4,9,,
7,8,70,2007-06-22,SEA,CIN,GS-3,L(1-2),5,2.2,6,9,9,5,2,2,1,8.2,20,84,54,8,4,5,7,0,0,0,7.0,,,0,0,0,13,1,0,0,0,1,0,0.72,-0.419,0.89,-0.31%,-7.53,1t start tie,3t --- 2 out d9,,SEA,5.0,L,1,16,,
8,9,75,2007-06-27,SEA,BOS,GS-5,,4,5.0,5,0,0,2,3,0,0,6.46,21,99,59,17,2,4,12,2,0,0,58.0,,,0,1,0,19,2,0,0,0,0,0,1.21,0.29100000000000004,1.78,0.26%,2.64,1t start tie,5t 3 out a1,,SEA,1.4,W,2,1,,
9,10,80,2007-07-03,SEA,KCR,GS-2,L(1-3),5,1.1,8,10,10,2,0,2,1,9.72,15,61,35,7,4,4,8,4,0,0,-4.0,,,0,0,0,11,1,0,0,0,1,0,0.77,-0.436,1.17,-0.40%,-8.62,1b start tie,2b -2- 1 out d8,,KCR,9.09090909090909,L,3,17,,
