Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,51,2015-05-31,HOU,CHW,9-GF,,99,1.0,1,0,0,0,1,0,0,0.00,4,17,11,4,2,0,3,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.02,0.001,.02,0.00%,0.47,9t --- 0 out d6,9t end d 6,,HOU,1.0,L,0,6,,
2,135,2015-09-04,HOU,MIN,9-GF,,95,1.0,0,0,0,0,2,0,0,0.00,3,15,10,0,4,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.01,0.00%,0.47,9t --- 0 out a8,9t end a 8,,HOU,0.0,W,8,0,,
3,138,2015-09-07,HOU,OAK,7-GF(8),,2,1.2,0,0,0,1,1,0,0,0.00,6,39,25,3,5,2,2,1,1,0,,1,0,0,0,0,5,0,0,0,0,0,0,.38,0.034,.65,0.04%,0.97,7b 1-- 1 out d4,8b end d 1,,OAK,0.8333333333333334,L,9,10,,
4,146,2015-09-16,HOU,TEX,5-GF(8),,8,3.1,5,5,5,2,1,2,1,6.43,18,64,38,7,5,6,8,6,0,0,,2,0,0,0,0,15,0,0,0,0,0,0,.01,-0.003,.03,-0.01%,-3.02,5b 12- 2 out d9,8b end d11,,TEX,2.258064516129032,L,3,14,,
5,160,2015-10-02,HOU,ARI,9-GF,,15,1.0,3,2,2,1,2,0,0,7.88,7,39,27,5,5,2,2,1,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,.00,0.000,.00,0.00%,-1.51,9b --- 0 out a18,9b end a16,,ARI,4.0,W,21,5,,
6,2,2016-04-06,HOU,NYY,1-5,,99,4.1,7,6,6,4,4,2,0,12.46,24,107,57,19,8,8,8,3,1,0,,1,1,2,0,0,20,0,0,0,0,0,0,.46,-0.299,.46,-0.18%,-4.60,1b 1-- 1 out d4,5b 1-- 2 out d6,,NYY,2.682926829268293,L,6,16,,
7,21,2016-04-26,HOU,SEA,7-7,,19,1.0,4,4,3,0,3,1,0,15.19,8,42,27,8,4,2,3,3,0,0,,0,0,0,0,0,8,0,0,0,0,0,1,.03,-0.012,.02,-0.01%,-3.51,7b --- 0 out d5,7b 3 out d9,,SEA,4.0,L,1,11,,
8,26,2016-05-02,HOU,MIN,7-8,,5,2.0,0,0,0,0,4,0,0,11.05,6,29,18,5,8,0,2,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.11,0.018,.06,0.01%,0.96,7t --- 0 out d4,8t 3 out d4,,HOU,0.0,L,2,6,,
9,28,2016-05-04,HOU,MIN,8-GF,,1,2.0,0,0,0,0,1,0,0,8.68,6,27,16,4,2,1,4,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.96,8t --- 0 out a10,9t end a12,,HOU,0.0,W,16,4,,
10,34,2016-05-10,HOU,CLE,9-GF,,5,1.0,0,0,0,0,3,0,0,7.84,3,12,9,3,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,.02,0.00%,0.48,9t --- 0 out d4,9t end d 4,,HOU,0.0,L,0,4,,
11,35,2016-05-11,HOU,CLE,14-GF(16),W(1-0),0,3.0,1,0,0,0,5,0,0,6.08,10,36,28,6,8,4,1,0,0,0,,0,0,0,0,0,10,0,0,0,0,0,0,2.00,0.398,1.05,0.13%,1.43,14t --- 0 out tie,16t end tie,,HOU,0.3333333333333333,W,5,3,,
12,38,2016-05-14,HOU,BOS,11-GF(11),L(1-1),2,0.2,2,1,1,0,0,0,0,6.43,4,14,9,3,0,3,1,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,2.36,-0.355,1.50,-0.14%,-0.80,11b --- 0 out tie,11b end d 1,,BOS,10.0,L,5,6,,
