Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,47,2012-05-26,STL,PHI,9-GF,,99,1.0,1,0,0,0,0,0,0,0.00,4,11,6,1,0,1,3,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.05,0.003,.07,0.00%,0.47,9t --- 0 out d4,9t end d 4,,STL,1.0,L,0,4
2,48,2012-05-27,STL,PHI,9-9,,0,0.2,2,1,1,1,0,0,0,5.40,5,18,9,4,0,0,4,1,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,.15,-0.002,.17,0.00%,-0.95,9t --- 0 out a6,9t 12- 2 out a5,,STL,15.0,W,8,3
3,102,2012-07-28,HOU,PIT,7-8,L(0-1),61,1.0,2,1,1,1,0,0,0,6.75,6,25,13,3,1,2,3,3,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.18,-0.169,.00,0.00%,-0.87,7t --- 0 out tie,8t 1-3 0 out tie,,HOU,3.0,L,3,4
4,103,2012-07-29,HOU,PIT,9-9,,0,0.0,3,2,2,0,0,0,0,13.50,3,11,8,4,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.26,-0.033,.00,0.00%,-2.34,9t --- 0 out a6,9t 1-3 0 out a5,,HOU,inf,W,9,5
5,105,2012-07-31,HOU,MIL,5-7,,1,3.0,3,1,1,1,2,1,1,7.94,14,50,29,8,4,5,5,1,1,0,,2,2,0,0,0,12,0,0,0,0,0,0,.05,-0.030,.00,0.00%,-0.51,5b 12- 0 out d4,7b 3 out d7,,MIL,1.3333333333333333,L,1,10
6,112,2012-08-08,HOU,WSN,7-8,,7,2.0,1,1,0,2,1,0,0,5.87,10,30,19,5,4,5,2,1,1,0,,0,0,0,0,0,8,1,0,1,0,0,1,.90,-0.066,.00,0.00%,-0.05,7t --- 0 out d1,8t 3 out d2,,HOU,1.5,L,3,4
7,113,2012-08-09,HOU,WSN,9-GF,,0,1.0,0,0,0,0,0,0,0,5.19,2,4,2,0,0,1,1,0,0,0,,3,1,0,0,0,1,0,0,0,1,1,0,.07,0.002,.00,0.00%,1.31,9t 123 0 out d4,9t end d 5,,HOU,0.0,L,0,5
8,115,2012-08-11,HOU,MIL,7-7,H(1),1,0.2,1,0,0,0,2,0,0,4.82,3,15,10,2,3,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.26,0.049,.00,0.00%,0.26,7t --- 0 out a1,7t 1-- 2 out a1,,HOU,5.0,W,6,5
9,119,2012-08-15,HOU,CHC,4-6,,3,2.1,1,1,0,3,2,0,0,3.86,9,39,18,6,0,3,1,1,0,0,,1,0,0,0,0,5,1,0,1,2,0,0,.15,0.014,.00,0.00%,0.71,4b 1-- 1 out d5,6b 123 2 out d5,,CHC,1.9047619047619047,L,2,7
10,121,2012-08-18,HOU,ARI,5-7,,2,2.1,3,2,2,1,1,2,0,4.50,11,48,31,11,3,3,6,1,1,0,,2,2,0,0,0,10,0,0,0,0,0,0,.10,-0.073,.00,0.00%,-2.57,5t 1-3 2 out d4,7t 3 out d7,,HOU,1.9047619047619047,L,4,12
11,123,2012-08-21,HOU,STL,6-6,,2,0.2,2,1,1,2,1,0,0,4.91,6,20,10,4,1,2,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.05,-0.006,.00,0.00%,-1.28,6b --- 0 out d6,6b 123 2 out d7,,STL,20.0,L,0,7
12,136,2012-09-04,HOU,PIT,6-6,,13,1.0,1,0,0,1,2,0,0,4.60,5,18,10,2,3,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.05,0.002,.00,0.00%,0.45,6b --- 0 out d6,6b 3 out d6,,PIT,2.0,L,2,6
13,141,2012-09-10,HOU,CHC,5-5,,5,1.0,1,0,0,1,1,0,1,4.32,5,19,10,4,3,1,1,0,0,0,,0,0,0,0,0,3,0,0,1,1,0,0,1.99,0.065,.00,0.00%,0.48,5t --- 0 out tie,5t 3 out tie,,HOU,2.0,L,1,4
