,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,226,3,2000-04-06,BOS,SEA,6-7,BL(0-1),99,1.1,1,2,1,2,2,0,0,6.75,8,31,16,5,3,2,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,1,2.46,-0.262,2.41,-0.15%,-1.52,6b --- 0 out a1,7b 123 1 out tie,,SEA,2.727272727272727,L,2,5
1,227,5,2000-04-08,BOS,ANA,6-7,,1,1.1,2,1,1,0,2,0,0,6.75,6,24,15,3,3,1,3,3,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,0.24,-0.011000000000000001,0.23,-0.01%,-0.19,6b --- 1 out d4,7b --- 2 out d3,,ANA,1.818181818181818,L,5,7
2,228,65,2000-06-19,BOS,NYY,6-7,,71,2.0,2,1,1,2,0,0,0,5.79,10,42,24,8,1,6,2,2,0,0,,0,0,0,0,0,8,1,0,1,0,0,0,0.24,-0.011000000000000001,0.44,-0.01%,0.23,6t --- 0 out d5,7t 3 out d6,,BOS,2.0,L,1,22
3,229,68,2000-06-22,BOS,NYY,7-7,H(1),2,0.1,1,0,0,0,0,0,0,5.4,2,8,5,2,1,1,1,1,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.83,0.037000000000000005,3.37,0.04%,0.28,7t 1-- 2 out a2,7t 3 out a2,,BOS,10.0,W,4,2
4,230,69,2000-06-23,BOS,TOR,5-5,,0,1.0,2,0,0,0,0,0,0,4.5,5,21,14,1,3,2,3,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.45,0.027999999999999997,0.86,0.03%,0.62,5b --- 0 out d3,5b 3 out d3,,TOR,2.0,L,4,5
5,231,71,2000-06-25,BOS,TOR,13-GF(13),L(0-2),1,0.2,1,1,0,0,0,0,0,4.05,4,14,11,1,1,3,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,2.68,-0.34,4.87,-0.37%,-0.66,13b --- 0 out tie,13b end d 1,,TOR,5.0,L,5,6
6,232,72,2000-06-27,BOS,BAL,10-GF(10),,1,1.0,2,3,0,1,0,0,0,3.52,8,21,11,1,0,5,2,1,0,0,,0,0,0,0,0,7,0,0,1,0,0,1,0.47,-0.08,0.64,-0.07%,-2.39,10t --- 0 out d2,10t end d 5,,BOS,3.0,L,3,6
7,233,73,2000-06-28,BOS,BAL,11-GF(11),L(0-3),0,1.0,2,1,1,1,1,0,0,4.15,7,21,10,1,2,2,2,2,0,0,,0,0,0,0,0,4,2,0,1,0,0,0,2.73,-0.261,3.66,-0.21%,-0.39,11t --- 0 out tie,11t end d 1,,BOS,3.0,L,7,8
8,234,75,2000-06-30,BOS,CHW,5-5,,1,0.1,3,3,3,0,0,2,0,7.0,4,13,9,3,0,1,3,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,0.82,-0.212,1.04,-0.16%,-2.72,5b --- 0 out d1,5b --- 1 out d4,,CHW,30.0,L,4,10
9,235,76,2000-07-01,BOS,CHW,7-GF(8),,0,2.0,0,0,0,1,0,0,0,5.73,6,24,13,1,1,3,2,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,0.04,0.003,0.04,0.00%,1.22,7b --- 0 out d6,8b end d 6,,CHW,0.5,L,2,7
