,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,35,2004-05-14,TEX,DET,7-GF(8),,99,1.2,3,2,2,2,2,0,0,10.8,9,45,25,8,1,4,1,0,0,0,,1,0,0,0,0,7,0,0,0,1,0,0,0.1,-0.003,0.13,0.00%,-0.92,7b 1-- 1 out d4,8b end d 6,,DET,4.166666666666667,L,1,7
1,2,38,2004-05-18,TEX,KCR,8-8,,3,1.0,2,0,0,0,1,0,1,6.75,6,22,17,4,3,2,2,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.83,0.065,2.33,0.05%,0.61,8t --- 0 out d1,8t 3 out d1,,TEX,2.0,L,6,7
2,3,41,2004-05-21,TEX,NYY,7-8,H(1),2,2.0,2,0,0,0,4,0,0,3.86,8,26,20,5,5,0,4,2,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,0.81,0.12,1.06,0.09%,1.21,7t --- 0 out a1,8t 3 out a5,,TEX,1.0,W,9,7
3,4,43,2004-05-23,TEX,NYY,6-6,,1,0.2,1,0,0,1,1,0,0,3.38,4,14,7,4,0,0,2,1,1,0,,1,1,0,0,0,3,0,0,0,0,0,0,0.61,-0.027999999999999997,0.84,-0.02%,-0.24,6t -2- 1 out d3,6t 3 out d4,,TEX,10.0,L,3,8
4,5,46,2004-05-27,TEX,CHW,8-GF(8),,3,1.0,2,1,1,0,1,0,0,4.26,5,18,12,3,2,3,1,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,0.0,0.0,0.0,0.00%,-0.43,8b --- 0 out d8,8b end d 9,,CHW,2.0,L,0,9
5,6,48,2004-05-29,TEX,TOR,6-7,,1,1.0,1,2,2,2,1,0,1,6.14,6,33,17,5,2,0,2,0,0,0,,2,1,0,1,0,3,0,0,0,0,0,0,0.92,-0.065,1.17,-0.05%,-0.77,6b 12- 2 out d2,7b 123 2 out d1,,TOR,3.0,L,2,6
6,7,50,2004-06-01,TEX,CLE,11-11,,2,0.2,0,0,0,2,1,0,0,5.63,4,23,11,4,0,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.98,0.027999999999999997,2.55,0.02%,0.08,11b --- 0 out tie,11b 12- 2 out tie,,CLE,10.0,W,6,5
7,8,55,2004-06-07,TEX,PIT,7-8,,5,1.2,0,0,0,0,1,0,0,4.66,5,23,14,4,2,1,3,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.29,0.17300000000000001,1.67,0.14%,0.93,7t --- 1 out tie,8t 3 out tie,,TEX,0.0,W,6,5
8,9,56,2004-06-10,TEX,PIT,6-7,W(1-0),2,1.2,0,0,0,1,3,0,0,3.97,6,24,16,3,8,1,1,0,0,0,,2,1,0,0,0,4,0,0,0,0,1,0,1.04,0.071,1.36,0.06%,0.89,6t 1-3 1 out d1,7t 3 out d1,1.0,TEX,0.8333333333333334,W,9,7
9,10,60,2004-06-13,TEX,STL,8-8,,2,1.0,0,0,0,0,1,0,0,3.65,3,11,7,2,1,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.61,8t --- 0 out d11,8t 3 out d11,,TEX,0.0,L,2,13
10,11,61,2004-06-15,TEX,CIN,7-7,H(2),1,1.0,0,0,0,0,1,0,0,3.38,3,12,7,1,2,0,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.07,0.08199999999999999,1.47,0.07%,0.5,7b --- 0 out a2,7b 3 out a2,,CIN,0.0,L,4,5
11,12,62,2004-06-16,TEX,CIN,7-8,L(1-1),0,0.2,1,2,2,1,1,0,0,4.5,4,17,9,1,2,0,2,1,0,0,,2,0,0,0,0,3,0,0,0,0,0,0,2.19,0.025,2.88,0.02%,0.09,7b 1-3 2 out tie,8b 12- 1 out tie,,CIN,10.0,L,4,7
12,13,64,2004-06-18,TEX,FLA,8-9,,1,1.0,0,0,0,0,2,0,0,4.2,3,11,9,1,3,1,0,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,0.1,0.008,0.13,0.01%,0.75,8b 1-- 1 out a6,9b --- 1 out a7,,FLA,0.0,W,8,1
13,14,65,2004-06-19,TEX,FLA,8-8,,0,0.0,3,1,1,0,0,0,0,4.8,3,14,11,3,1,1,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,3.02,-0.37799999999999995,3.98,-0.30%,-1.99,8b --- 0 out a2,8b 12- 0 out a1,,FLA,inf,W,7,6
14,15,69,2004-06-24,TEX,SEA,9-10,,4,2.0,0,0,0,0,2,0,1,4.24,7,35,24,4,4,3,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,2.1,0.209,3.07,0.18%,1.21,9t --- 0 out d1,10t 3 out tie,,TEX,0.0,W,9,7
15,16,71,2004-06-26,TEX,HOU,7-7,BS(1),1,0.0,1,1,1,2,0,0,0,4.76,3,13,4,1,2,0,1,1,0,0,,2,2,0,0,0,1,1,0,0,0,0,0,2.6,-0.365,3.67,-0.31%,-2.73,7t 1-3 1 out a3,7t 12- 1 out tie,,TEX,inf,W,8,7
16,17,73,2004-06-28,TEX,SEA,7-7,H(3),1,1.0,0,0,0,0,3,0,0,4.5,3,16,12,4,4,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.77,0.06,1.1,0.05%,0.55,7b --- 0 out a3,7b 3 out a3,,SEA,0.0,W,8,5
17,18,75,2004-06-30,TEX,SEA,6-7,H(4),1,2.0,0,0,0,1,2,0,0,4.05,6,33,22,2,6,1,2,0,1,0,,1,0,0,0,0,5,0,0,0,1,0,0,1.28,0.22399999999999998,1.87,0.20%,1.48,6b 1-- 0 out a2,7b 3 out a2,,SEA,0.5,W,9,6
18,19,78,2004-07-03,TEX,HOU,8-GF(8),,2,1.0,0,0,0,0,2,0,0,3.86,3,14,10,1,4,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.19,0.015,0.28,0.01%,0.53,8b --- 0 out d2,8b end d 2,,HOU,0.0,L,8,10
19,20,82,2004-07-07,TEX,CLE,7-8,H(5),3,1.2,1,0,0,0,2,0,0,3.57,6,20,15,4,1,1,3,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.96,0.1,1.44,0.09%,0.81,7b --- 1 out a2,8b 3 out a3,,CLE,0.8333333333333334,W,9,8
20,21,86,2004-07-11,TEX,BOS,7-7,BS(2),3,0.2,2,3,3,2,1,2,0,4.63,6,24,10,4,2,0,3,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.87,-0.39399999999999996,1.57,-0.43%,-2.67,7b --- 0 out a3,7b 1-- 2 out tie,,BOS,20.0,W,6,5
21,22,88,2004-07-17,TEX,TOR,7-8,H(6),5,1.1,0,0,0,1,2,0,0,4.38,5,21,11,3,4,0,2,0,1,0,,1,0,0,0,0,4,0,0,0,0,0,0,0.94,0.086,1.37,0.08%,1.01,7t --3 2 out a3,8t 3 out a3,,TEX,0.9090909090909092,W,4,0
