,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,113,2014-08-04,LAN,LAA,8-GF,,99,2.0,1,0,0,0,2,0,0,0.0,7,28,22,4,5,3,2,0,0,0,,0.0,0.0,0,0,0,7,0,0,0,0,0,0,0.03,0.004,0.04,0.00%,0.85,8t --- 0 out d5,9t end d 5,,LAD,0.5,L,0,5
1,2,117,2014-08-08,LAN,MIL,8-GF(8),,3,1.0,2,3,3,1,0,1,0,9.0,6,22,15,4,1,1,4,2,0,0,,0.0,0.0,0,0,0,5,0,0,0,0,0,0,0.06,-0.022000000000000002,0.07,-0.02%,-2.55,8b --- 0 out d3,8b end d 6,,MIL,3.0,L,3,9
2,3,120,2014-08-11,LAN,ATL,9-GF,,2,1.0,2,1,1,0,2,0,0,9.0,5,19,13,5,2,1,2,1,1,0,,0.0,0.0,0,0,0,5,1,0,0,0,0,0,0.18,0.006,0.19,0.00%,-0.57,9b --- 0 out a5,9b end a 4,,ATL,2.0,W,6,2
3,4,124,2014-08-15,LAN,MIL,9-GF,,3,1.0,2,1,1,1,1,0,0,9.0,6,16,9,1,2,1,3,1,0,0,,0.0,0.0,0,0,0,5,1,0,1,0,0,0,0.33,-0.03,0.28,-0.02%,-0.58,9t --- 0 out d2,9t end d 3,,LAD,3.0,L,3,6
4,5,126,2014-08-17,LAN,MIL,4-7,,1,4.0,1,1,1,0,2,1,0,6.0,13,41,31,4,5,6,5,0,1,0,,0.0,0.0,0,0,0,13,0,0,0,0,0,0,0.03,-0.006999999999999999,0.04,-0.01%,0.7,4t --- 0 out d6,7t 3 out d7,,LAD,0.25,L,2,7
5,6,128,2014-08-20,LAN,SDP,9-GF,,2,1.0,0,0,0,0,1,0,0,5.4,3,8,7,4,1,1,1,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.07,0.006,0.08,0.00%,0.42,9t --- 0 out d3,9t end d 3,,LAD,0.0,L,1,4
6,7,132,2014-08-24,LAN,NYM,4-7,,3,3.1,5,3,3,0,1,0,0,6.08,15,47,35,11,2,8,6,3,1,0,,0.0,0.0,0,0,0,15,0,0,0,0,0,0,0.07,-0.006,0.07,0.00%,-1.78,4t --- 0 out d6,7t 123 1 out d7,,LAD,1.6129032258064515,L,3,11
7,8,135,2014-08-29,LAN,SDP,10-10,,4,1.0,0,0,0,0,1,0,0,5.65,3,11,7,2,1,2,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,1.65,0.11699999999999999,1.51,0.06%,0.41,10b --- 0 out tie,10b 3 out tie,,SDP,0.0,L,2,3
8,9,140,2014-09-03,LAN,WSN,GS-6,,4,6.0,3,0,0,1,4,0,0,3.98,22,77,52,18,5,11,6,2,0,0,69.0,,,0,0,0,21,0,0,0,0,0,0,1.02,0.332,1.24,0.24%,2.55,1t start tie,6t 3 out tie,,LAD,0.6666666666666666,L,5,8
9,10,143,2014-09-07,LAN,ARI,7-8,H(1),3,2.0,0,0,0,0,2,0,0,3.63,6,19,15,7,3,1,3,0,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.68,0.098,0.86,0.07%,0.85,7t --- 0 out a1,8t 3 out a5,,LAD,0.0,W,7,2
10,11,147,2014-09-12,LAN,SFG,3-5,,4,3.0,4,2,2,1,2,1,0,3.91,15,55,38,9,5,7,5,2,1,0,,0.0,0.0,0,0,0,14,0,0,0,0,0,1,0.29,-0.012,0.67,-0.02%,-0.74,3b --- 0 out d4,5b 3 out d6,,SFG,1.6666666666666667,L,0,9
11,12,152,2014-09-17,LAN,COL,GS-1,L(0-1),4,0.2,10,8,8,0,0,1,0,6.58,11,38,25,1,1,5,6,5,0,0,0.0,,,0,1,0,11,1,0,0,0,0,0,0.76,-0.39299999999999996,0.69,-0.22%,-6.27,1b start tie,1b 123 2 out d6,,COL,50.0,L,2,16
12,13,155,2014-09-20,LAN,CHC,8-GF(8),,2,0.1,0,0,0,0,1,0,0,6.49,1,5,3,1,1,0,0,0,0,0,,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0.93,0.023,0.68,0.01%,0.41,8b 12- 2 out d1,8b end d 1,,CHC,0.0,L,7,8
13,14,156,2014-09-21,LAN,CHC,3-5,,0,3.0,3,3,3,2,5,0,0,6.75,14,58,35,8,10,5,2,1,1,0,,0.0,0.0,0,0,0,12,2,0,0,0,0,0,1.42,-0.14,1.04,-0.06%,-1.65,3b --- 0 out a3,5b 3 out a1,,CHC,1.6666666666666667,W,8,5
14,15,161,2014-09-27,LAN,COL,10-GF(12),W(1-1),5,3.0,0,0,0,1,5,0,0,6.12,10,43,31,7,6,1,3,1,1,0,,0.0,0.0,0,0,0,9,0,0,0,0,0,0,1.9,0.364,0.05,0.01%,1.27,10t --- 0 out tie,12t end tie,,LAD,0.3333333333333333,W,6,5
15,16,18,2015-04-26,LAN,SDP,8-GF(8),,99,1.0,1,0,0,0,2,0,0,0.0,4,16,11,1,3,2,0,0,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.22,0.011000000000000001,0.29,0.01%,0.44,8b --- 0 out d2,8b end d 2,,SDP,1.0,L,1,3
