,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,156,2009-09-26,SDN,ARI,8-GF(8),,99,1.0,0,0,0,0,2,0,0,0.0,3,12,8,4,2,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.09,0.006999999999999999,0.0,0.00%,0.52,8b --- 0 out d3,8b end d 3,,ARI,0.0,L,5,8
1,2,160,2009-10-02,SDN,SFG,9-GF,,5,1.0,0,0,0,1,0,0,0,0.0,4,13,6,0,1,0,3,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.02,0.001,0.0,0.00%,0.45,9t --- 0 out d5,9t end d 5,,SDP,1.0,L,2,7
2,3,89,2010-07-16,SDN,ARI,9-GF,,99,1.0,0,0,0,0,2,0,0,0.0,3,14,11,4,2,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.44,9t --- 0 out a11,9t end a11,,SDP,0.0,W,12,1
3,4,93,2010-07-21,SDN,ATL,6-7,,4,1.1,0,0,0,0,2,0,0,0.0,4,21,13,4,4,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.36,0.037000000000000005,0.62,0.04%,0.7,6b --- 0 out d2,7b --- 1 out d2,,ATL,0.0,W,6,4
4,5,95,2010-07-23,SDN,PIT,7-7,H(1),1,1.0,0,0,0,1,3,0,0,0.0,4,14,10,2,5,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.48,0.078,2.37,0.08%,0.48,7b --- 0 out a2,7b 3 out a2,,PIT,1.0,W,5,3
5,6,96,2010-07-24,SDN,PIT,7-7,H(2),0,0.2,1,0,0,0,1,0,0,0.0,3,9,7,0,3,1,1,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,1.98,0.025,3.04,0.02%,0.13,7b --- 0 out a2,7b --3 2 out a2,,PIT,5.0,W,9,2
6,7,99,2010-07-28,SDN,LAD,7-7,H(3),3,0.2,0,0,0,0,1,0,0,0.0,2,7,5,4,0,0,1,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.48,0.07200000000000001,2.77,0.08%,0.35,7t --- 0 out a1,7t --- 2 out a1,,SDP,0.0,W,6,1
7,8,101,2010-07-30,SDN,FLA,7-7,,1,0.2,0,0,0,0,0,0,0,0.0,2,9,6,2,1,1,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,0.97,0.066,1.39,0.06%,0.9,7t --3 1 out d2,7t 3 out d2,,SDP,0.0,L,2,4
8,9,103,2010-08-01,SDN,FLA,7-7,H(4),1,1.0,0,0,0,0,2,0,0,0.0,3,18,11,5,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.87,0.064,1.52,0.07%,0.44,7t --- 0 out a2,7t 3 out a2,,SDP,0.0,W,5,4
9,10,104,2010-08-02,SDN,LAD,9-GF,,0,1.0,0,0,0,1,3,0,0,0.0,4,20,11,3,4,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.09,0.006999999999999999,0.16,0.01%,0.47,9b --- 0 out a5,9b end a 5,,LAD,1.0,W,10,5
10,11,107,2010-08-05,SDN,LAD,7-7,H(5),2,1.0,2,0,0,0,1,0,0,0.0,4,14,10,2,2,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,2.14,0.05,3.98,0.06%,0.47,7b --- 0 out a3,7b 3 out a3,,LAD,2.0,W,5,0
11,12,108,2010-08-06,SDN,ARI,8-GF(8),,0,0.1,0,0,0,0,1,0,0,0.0,1,5,4,2,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.53,0.015,0.81,0.01%,0.24,8b 1-- 2 out d1,8b end d 1,,ARI,0.0,L,1,2
12,13,110,2010-08-08,SDN,ARI,7-7,,1,1.0,1,1,1,1,2,0,0,0.93,5,29,17,7,2,0,2,1,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,0.09,0.001,0.15,0.00%,-0.49,7b --- 0 out a8,7b 3 out a7,,ARI,2.0,W,10,1
13,14,112,2010-08-11,SDN,PIT,7-7,,2,0.2,1,0,0,0,1,0,0,0.87,3,14,11,3,1,1,1,0,0,0,,3,3,0,0,0,3,1,0,0,0,0,0,1.06,-0.011000000000000001,1.73,-0.01%,-1.5,7t 123 1 out a6,7t 3 out a3,,SDP,5.0,W,8,5
14,15,115,2010-08-14,SDN,SFG,7-7,H(6),2,0.2,0,0,0,1,0,0,0,0.82,3,12,7,2,1,0,2,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.41,0.055,2.4,0.06%,0.25,7b --- 0 out a1,7b 1-- 2 out a1,,SFG,5.0,L,2,3
15,16,116,2010-08-15,SDN,SFG,9-GF,,0,1.0,0,0,0,0,2,0,0,0.75,3,17,12,2,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.04,0.003,0.07,0.00%,0.47,9b --- 0 out a6,9b end a 6,,SFG,0.0,W,8,2
16,17,117,2010-08-16,SDN,CHC,7-8,H(7),0,1.0,3,3,3,0,0,1,0,2.77,6,28,20,3,4,1,5,0,0,0,,1,0,0,0,0,6,1,0,0,0,0,0,0.34,-0.039,0.46,-0.03%,-2.27,7b -2- 2 out a3,8b --- 2 out a2,,CHC,3.0,W,9,5
17,18,122,2010-08-21,SDN,MIL,6-7,,4,2.0,2,1,1,0,1,1,0,3.0,8,35,24,5,0,2,5,2,3,0,,0,0,0,0,0,8,1,0,0,0,0,0,0.25,-0.037000000000000005,0.2,-0.02%,-0.03,6b --- 0 out d2,7b 3 out d3,,MIL,1.0,L,5,6
18,19,124,2010-08-24,SDN,ARI,7-7,,2,0.2,1,0,0,1,1,0,0,2.87,4,23,11,5,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.28,0.001,0.22,0.00%,0.04,7t --- 0 out a5,7t 12- 2 out a5,,SDP,10.0,W,5,0
19,20,125,2010-08-25,SDN,ARI,7-8,,0,1.1,0,0,0,0,0,0,0,2.65,4,20,12,3,1,0,4,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.06,0.005,0.04,0.00%,0.53,7t --- 2 out a6,8t 3 out a6,,SDP,0.0,W,9,3
