Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,2,2016-04-06,ATL,WSN,9-GF,,99,1.0,1,0,0,0,1,0,0,0.00,4,14,10,1,1,0,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.22,0.017,.23,0.01%,0.49,9t --- 0 out d2,9t end d 2,,ATL,1.0,L,1,3,,
2,3,2016-04-08,ATL,STL,9-GF,,1,1.0,2,2,2,0,3,2,0,9.00,5,22,14,5,4,0,2,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.34,-0.120,.31,-0.06%,-1.52,9t --- 0 out d1,9t end d 3,,ATL,2.0,L,4,7,,
3,4,2016-04-09,ATL,STL,8-8,,0,1.0,3,2,2,0,3,0,0,12.00,6,22,16,3,5,1,2,2,0,0,,0,0,0,0,0,6,1,1,0,0,0,0,.04,-0.006,.03,0.00%,-1.52,8t --- 0 out d6,8t 3 out d8,,ATL,3.0,L,2,12,,
4,21,2016-04-27,ATL,BOS,2-6,,17,4.2,3,2,2,3,4,0,0,7.04,19,82,52,15,4,6,6,1,1,0,,1,0,0,0,0,16,1,1,0,1,0,0,.22,-0.004,.06,0.00%,0.86,2b -2- 1 out d5,6b 3 out d6,,BOS,1.4285714285714286,L,4,9,,
5,40,2016-05-19,ATL,PIT,5-6,,21,1.1,2,2,1,1,1,0,1,7.00,8,38,22,6,1,2,3,1,0,0,,1,1,0,0,0,5,0,0,0,0,1,0,.20,-0.027,.02,0.00%,-1.66,5b --3 0 out d4,6b 123 1 out d5,,PIT,2.727272727272727,L,2,8,,
6,55,2016-06-04,ATL,LAD,8-GF(8),,15,0.2,1,0,0,0,0,0,0,6.52,3,9,6,0,0,1,2,1,0,0,,3,2,0,0,0,2,0,0,0,0,1,0,.31,-0.021,.01,0.00%,-0.45,8b 123 1 out d2,8b end d 4,,LAD,5.0,L,0,4,,
7,56,2016-06-05,ATL,LAD,5-6,,0,2.0,3,1,1,1,2,0,0,6.17,9,39,25,10,2,3,3,1,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,.06,-0.005,.00,0.00%,-0.04,5b --- 0 out d6,6b 3 out d6,,LAD,2.0,L,6,12,,
8,62,2016-06-12,ATL,CHC,GS-5,L(0-1),6,4.1,4,3,2,4,5,0,0,5.63,21,88,53,14,10,7,5,3,1,0,46,,,0,0,0,16,1,0,0,0,0,0,1.23,-0.167,.01,0.00%,-1.24,1t start tie,5t -2- 1 out d2,,ATL,1.9512195121951221,L,2,13,,
9,67,2016-06-17,ATL,NYM,GS-7,W(1-1),4,6.2,2,1,1,2,5,0,0,4.37,24,104,69,17,10,7,10,5,0,0,69,,,0,0,0,21,2,0,0,0,0,0,.88,0.229,.01,0.00%,2.11,1b start tie,7b 1-- 2 out a3,,NYM,0.6451612903225806,W,5,1,,
10,71,2016-06-22,ATL,MIA,GS-6,L(1-2),4,5.2,7,3,3,0,5,1,0,4.45,23,81,59,21,10,8,10,5,3,0,48,,,0,0,0,23,0,1,0,0,0,0,.51,-0.145,.01,0.00%,-0.45,1b start tie,6b 1-- 2 out d3,,MIA,1.346153846153846,L,0,3,,
