,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,293,5,2000-04-07,SFN,ATL,GS-8,W(1-0),99,7.0,10,2,2,1,4,2,0,2.57,32,95,65,14,10,6,21,9,3,0,52.0,,,0,0,0,30,1,0,0,1,0,0,0.93,0.184,0.9,0.11%,1.92,1b start a 2,8b --- 0 out a4,,ATL,1.5714285714285714,W,6,2
1,294,10,2000-04-13,SFN,LAD,GS-2,L(1-1),5,1.2,6,7,6,0,1,1,1,8.31,13,50,29,6,6,4,7,5,0,0,18.0,,,0,0,0,12,1,0,0,0,0,1,0.86,-0.43700000000000006,0.81,-0.25%,-6.07,1t start tie,2t --- 2 out d5,,SFG,5.0,L,7,11
2,295,14,2000-04-19,SFN,CIN,6-7,,5,2.0,2,0,0,0,1,0,0,6.75,8,29,18,6,2,2,5,3,1,0,,0.0,0.0,1,0,0,8,1,0,0,0,0,0,0.82,0.10300000000000001,0.53,0.04%,1.14,6b --- 0 out d1,7b 3 out d1,,CIN,1.0,L,4,5
3,296,19,2000-04-25,SFN,FLA,10-GF(11),W(2-1),5,2.0,2,0,0,0,2,0,0,5.68,8,32,23,7,3,1,5,2,2,0,,0.0,0.0,0,0,0,8,0,0,0,0,0,0,1.92,0.24,1.46,0.11%,1.05,10b --- 0 out tie,11b end a 2,,FLA,1.0,W,6,4
4,297,31,2000-05-09,SFN,STL,2-4,,13,2.2,4,2,1,3,3,0,0,5.28,15,58,34,12,3,3,6,2,1,0,,2.0,2.0,0,0,0,11,1,0,0,0,0,0,0.1,-0.040999999999999995,0.11,-0.03%,-1.75,2t 1-3 1 out d6,4t 3 out d10,,SFG,3.1818181818181817,L,6,13
5,298,34,2000-05-13,SFN,COL,5-6,,3,2.0,3,2,2,3,2,1,0,5.71,11,50,28,5,5,1,5,3,1,0,,2.0,1.0,1,1,0,8,0,0,1,0,0,0,0.38,-0.047,0.46,-0.04%,-0.55,5b 12- 0 out d3,6b 3 out d5,,COL,3.0,L,9,10
6,299,36,2000-05-16,SFN,ATL,6-8,,2,2.1,5,3,3,1,1,1,0,6.41,13,41,25,4,4,5,6,5,0,0,,0.0,0.0,0,0,0,12,2,0,0,0,0,0,0.58,-0.086,0.58,-0.05%,-1.31,6b --- 0 out d1,8b --3 1 out d3,,ATL,2.8571428571428568,L,7,9
7,300,40,2000-05-20,SFN,MIL,GS-7,L(2-2),3,7.0,6,7,6,2,4,2,1,6.75,31,115,71,19,8,8,16,3,0,0,41.0,,,0,0,0,28,2,0,0,0,0,1,0.3,-0.371,0.21,-0.16%,-3.19,1b start tie,7b 3 out d7,,MIL,1.1428571428571428,L,0,7
8,301,45,2000-05-26,SFN,CHC,GS-9,W(3-2),5,8.1,7,2,2,0,2,1,0,5.66,31,98,71,17,8,12,17,4,4,0,63.0,,,0,0,0,31,2,0,0,1,0,0,0.6,0.278,0.43,0.12%,2.42,1t start tie,9t --- 1 out a3,,SFG,0.8641975308641976,W,5,3
9,302,50,2000-05-31,SFN,PHI,GS-6,W(4-2),4,6.0,7,4,4,1,3,2,0,5.71,26,89,57,20,4,3,19,5,2,0,44.0,,,0,0,0,25,3,0,0,0,0,0,0.78,-0.031,0.56,-0.01%,-0.87,1t start tie,6t 3 out a1,,SFG,1.3333333333333333,W,10,4
