Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,119,2012-08-16,LAA,TBR,9-GF,,99,1.0,0,0,0,1,1,0,0,0.00,4,16,9,2,3,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.47,9t --- 0 out d7,9t end d 7,,LAA,1.0,L,0,7
2,120,2012-08-17,LAA,TBR,9-GF,,0,1.0,2,1,1,2,0,0,0,4.50,7,26,11,2,3,2,3,1,0,0,,0,0,0,0,0,4,0,1,0,0,1,0,.00,0.000,.00,0.00%,-0.54,9t --- 0 out d8,9t end d 9,,LAA,4.0,L,3,12
3,138,2014-09-01,TBR,BOS,8-8,BS(1),99,0.1,1,0,0,0,1,0,0,0.00,2,11,6,1,2,1,0,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,2.35,-0.195,.03,0.00%,-0.70,8t -2- 2 out a1,8t 3 out tie,,TBR,10.0,W,4,3
4,139,2014-09-02,TBR,TOR,4-5,,0,1.0,0,0,0,1,3,0,0,0.00,4,16,11,4,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.42,0.012,.01,0.00%,0.21,4t --- 1 out d3,5t 1-- 1 out d3,,TBR,1.0,L,2,8
5,141,2014-09-04,TBR,TOR,10-GF(10),L(0-1),1,1.0,1,1,1,0,0,1,0,3.86,4,18,11,3,2,1,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.90,-0.317,.00,0.00%,-0.55,10t --- 0 out tie,10t end d 1,,TBR,1.0,L,0,1
6,144,2014-09-07,TBR,BAL,6-6,,2,0.0,0,0,0,2,0,0,1,3.86,3,16,6,2,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2.11,-0.204,.00,0.00%,-1.27,6t --- 1 out a1,6t 123 1 out a1,,TBR,inf,L,5,7
7,146,2014-09-10,TBR,NYY,6-7,,2,2.0,0,0,0,0,3,0,0,2.08,6,25,19,5,5,1,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.31,0.047,.00,0.00%,0.93,6b --- 0 out d2,7b 3 out d2,,NYY,0.0,L,5,8
8,149,2014-09-13,TBR,TOR,7-7,,2,0.2,2,1,1,0,1,1,0,3.60,3,8,6,1,2,1,1,0,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,.19,-0.051,.00,0.00%,-0.76,7b --- 1 out d2,7b 3 out d3,,TOR,10.0,L,3,6
9,151,2014-09-15,TBR,NYY,7-7,,1,0.1,0,0,0,0,0,0,0,3.38,1,4,3,0,0,0,1,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,2.96,0.074,.00,0.00%,0.41,7t 12- 2 out tie,7t 3 out tie,,TBR,0.0,W,1,0
10,152,2014-09-16,TBR,NYY,8-8,,0,0.0,0,0,0,0,0,0,1,3.38,1,4,3,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,.23,-0.011,.00,0.00%,-0.37,8t --- 0 out a5,8t 1-- 0 out a5,,TBR,,W,6,1
11,154,2014-09-19,TBR,CHW,7-8,,2,1.2,0,0,0,0,3,0,0,2.57,5,22,17,5,5,0,2,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.70,0.085,.00,0.00%,0.81,7t --- 0 out d1,8t --- 2 out d1,,TBR,0.0,L,3,4
