Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,64,2014-06-12,PHI,SDP,9-GF,,99,0.1,1,1,1,0,1,1,0,27.00,2,10,5,3,1,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.02,0.000,.01,0.00%,-0.91,9t --- 2 out a5,9t end a 4,,PHI,10.0,W,7,3,,
2,67,2014-06-15,PHI,CHC,9-GF,,2,1.0,0,0,0,0,2,0,0,6.75,3,11,9,0,6,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,0.006,.04,0.00%,0.45,9t --- 0 out d3,9t end d 3,,PHI,0.0,L,0,3,,
3,70,2014-06-18,PHI,ATL,8-GF,,2,2.0,1,0,0,1,3,0,0,2.70,8,38,24,4,8,3,1,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.15,0.017,.11,0.01%,0.87,8b --- 0 out a5,9b end a 5,,ATL,1.0,W,10,5,,
4,74,2014-06-22,PHI,STL,8-GF(8),,3,1.0,0,0,0,1,2,0,0,2.08,3,14,7,2,1,0,0,0,0,0,,0,0,0,1,0,2,0,0,0,0,0,0,.20,0.011,.17,0.01%,0.44,8b --- 0 out d2,8b end d 2,,STL,1.0,L,3,5,,
5,75,2014-06-23,PHI,MIA,9-GF,,0,0.2,0,0,0,0,2,0,0,1.80,2,12,7,1,3,0,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,.13,0.007,.11,0.00%,1.13,9t 1-3 1 out d4,9t end d 4,,PHI,0.0,L,0,4,,
6,76,2014-06-24,PHI,MIA,7-7,,0,1.0,0,0,0,0,2,0,0,1.50,3,18,15,2,6,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.18,0.014,.13,0.01%,0.45,7t --- 0 out a5,7t 3 out a5,,PHI,0.0,W,7,4,,
7,78,2014-06-26,PHI,MIA,11-11,,1,1.0,0,0,0,1,0,0,0,1.29,3,16,10,1,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,2.89,0.127,1.76,0.05%,0.45,11t --- 0 out tie,11t 3 out tie,,PHI,1.0,W,5,3,,
8,83,2014-07-01,PHI,MIA,7-7,,4,1.0,1,0,0,0,1,0,0,1.13,4,15,10,2,3,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.52,0.019,.15,0.00%,0.44,7b --- 0 out d2,7b 3 out d2,,MIA,1.0,L,4,5,,
9,84,2014-07-02,PHI,MIA,7-7,,0,1.0,0,0,0,0,1,0,0,1.00,3,12,7,1,3,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.13,0.010,.03,0.00%,0.44,7b --- 0 out d3,7b 3 out d3,,MIA,0.0,L,0,5,,
10,87,2014-07-05,PHI,PIT,7-8,,2,1.1,0,0,0,0,2,0,0,0.87,4,14,10,2,4,0,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.24,0.024,.04,0.00%,0.65,7b --- 0 out d2,8b --- 1 out d2,,PIT,0.0,L,2,3,,
11,89,2014-07-07,PHI,MIL,7-8,H(1),1,1.1,1,0,0,0,1,0,0,0.77,5,22,13,3,4,2,2,1,0,0,,2,0,0,0,0,5,1,0,0,0,0,0,3.04,0.226,.28,0.01%,0.87,7b 12- 2 out a1,8b 3 out a1,,MIL,0.9090909090909091,W,3,2,,
12,90,2014-07-08,PHI,MIL,8-8,H(2),0,1.0,2,0,0,0,0,0,0,0.71,5,18,14,2,3,4,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,2.43,0.081,.29,0.01%,0.46,8b --- 0 out a2,8b 3 out a2,,MIL,2.0,W,9,7,,
13,93,2014-07-11,PHI,WSN,8-GF,,2,1.1,1,0,0,0,1,0,0,0.64,5,18,11,4,1,0,4,2,1,0,,2,1,0,0,0,5,1,0,0,0,0,0,.32,0.015,.09,0.00%,-0.15,8t 12- 2 out a5,9t end a 4,,PHI,0.9090909090909091,W,6,2,,
14,97,2014-07-19,PHI,ATL,8-8,H(3),7,1.0,1,0,0,0,2,0,0,0.60,3,12,9,3,1,1,0,0,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,1.93,0.130,.30,0.01%,0.43,8b --- 0 out a1,8b 3 out a1,,ATL,1.0,W,2,1,,
15,100,2014-07-22,PHI,SFG,7-7,H(4),2,1.0,3,1,1,0,2,0,0,1.13,6,33,22,4,4,1,3,2,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,2.26,-0.033,.20,0.00%,-0.55,7t --- 0 out a2,7t 3 out a1,,PHI,3.0,L,6,9,,
16,104,2014-07-26,PHI,ARI,7-8,,3,1.1,0,0,0,0,3,0,0,1.04,4,13,11,3,6,1,0,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,1.69,0.170,.10,0.01%,0.78,7t --3 2 out tie,8t 3 out tie,,PHI,0.0,L,6,10,,
17,105,2014-07-27,PHI,ARI,8-8,H(5),0,1.0,0,0,0,1,1,0,0,0.98,3,12,5,0,2,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.38,0.067,.06,0.00%,0.45,8t --- 0 out a2,8t 3 out a2,,PHI,1.0,W,4,2,,
18,107,2014-07-29,PHI,NYM,9-GF,,1,1.0,1,0,0,0,1,0,0,0.93,4,17,13,3,2,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.04,0.002,.00,0.00%,0.42,9b --- 0 out a6,9b end a 6,,NYM,1.0,W,6,0,,
19,109,2014-07-31,PHI,WSN,7-8,H(6),1,1.1,0,0,0,0,3,0,0,0.87,4,19,12,2,7,1,0,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,.54,0.058,.03,0.00%,0.93,7b 1-3 2 out a3,8b 3 out a6,,WSN,0.0,W,10,4,,
20,112,2014-08-03,PHI,WSN,8-8,,2,0.1,2,3,2,2,1,0,0,1.71,5,22,9,3,1,0,2,2,0,0,,0,0,0,0,0,3,2,0,1,0,0,0,.41,-0.105,.04,-0.01%,-2.41,8b --- 0 out d1,8b 12- 1 out d3,,WSN,40.0,L,0,4,,
21,113,2014-08-05,PHI,HOU,8-8,,1,1.0,0,0,0,0,2,0,0,1.64,3,23,15,3,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.37,0.100,.07,0.00%,0.45,8t --- 0 out tie,8t 3 out tie,,PHI,0.0,W,2,1,,
22,117,2014-08-09,PHI,NYM,10-10,,3,1.0,0,0,0,0,2,0,0,1.57,3,14,8,2,3,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.72,0.127,.11,0.01%,0.45,10t --- 0 out tie,10t 3 out tie,,PHI,0.0,L,1,2,,
23,118,2014-08-10,PHI,NYM,9-GF,W(1-0),0,1.0,1,0,0,0,1,0,0,1.50,3,15,13,5,1,0,2,2,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,.47,0.032,.02,0.00%,0.45,9t --- 0 out d1,9t end d 1,,PHI,1.0,W,7,6,,
24,121,2014-08-13,PHI,LAA,7-7,,2,1.0,0,0,0,0,1,0,0,1.44,3,10,8,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.26,0.019,.01,0.00%,0.44,7b --- 0 out d2,7b 3 out d2,,LAA,0.0,L,3,4,,
25,122,2014-08-15,PHI,SFG,8-9,W(2-0),1,2.0,2,0,0,0,1,0,0,1.33,7,24,16,5,0,2,4,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,2.15,0.217,.04,0.00%,0.84,8b --- 0 out tie,9b 3 out tie,,SFG,1.0,W,5,3,,
26,124,2014-08-17,PHI,SFG,7-7,,1,0.1,0,0,0,0,0,0,0,1.32,1,6,4,1,0,0,1,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.43,0.038,.01,0.00%,0.45,7b 1-3 2 out d1,7b 3 out d1,,SFG,0.0,L,2,5,,
