,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,134,2000-09-01,,ANA,8-8,W(1-0),99,1.0,0,0,0,0,0,0,0,0.0,3,15,11,1,2,0,3,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.08,0.006,0.01,0.00%,0.61,8t --- 0 out d5,8t 3 out d5,,CHW,0.0,W,9,8
1,2,136,2000-09-03,,ANA,6-6,BS(1),1,1.0,2,4,4,3,0,2,0,18.0,8,38,19,5,1,1,4,0,1,0,,0.0,0.0,0,0,0,5,0,0,0,0,0,0,1.27,-0.46399999999999997,0.03,-0.01%,-3.39,6t --- 0 out a2,6t 3 out d2,,CHW,5.0,W,13,12
2,3,142,2000-09-09,,CLE,7-GF(8),,5,2.0,3,2,2,1,1,1,0,13.5,10,39,23,5,2,3,5,2,0,0,,0.0,0.0,0,0,0,9,0,0,0,0,0,0,0.07,-0.024,0.0,0.00%,-0.79,7b --- 0 out d4,8b end d 6,,CLE,2.0,L,3,9
3,4,144,2000-09-12,,DET,9-GF,,2,1.0,1,1,1,0,2,1,0,12.6,4,15,10,0,3,0,2,0,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.01,-0.002,0.0,0.00%,-0.39,9t --- 0 out d6,9t end d 7,,CHW,1.0,L,3,10
4,5,148,2000-09-17,,TOR,7-7,,4,1.0,4,3,3,1,1,1,0,15.0,8,31,17,2,2,2,4,2,0,0,,0.0,0.0,0,0,0,7,1,0,0,0,0,0,0.0,-0.002,0.0,0.00%,-2.39,7t --- 0 out d9,7t 3 out d12,,CHW,5.0,L,1,14
5,6,152,2000-09-21,,MIN,9-GF,,3,1.0,1,1,1,0,0,0,0,14.14,4,12,7,1,1,2,2,1,0,0,,0.0,0.0,0,0,0,3,1,0,0,0,1,0,0.13,0.005,0.0,0.00%,-0.38,9b --- 0 out a6,9b end a 5,,MIN,1.0,W,9,4
6,7,156,2000-09-25,,CLE,5-7,,3,2.1,7,3,3,2,2,0,0,13.5,15,45,26,7,2,2,9,6,0,0,,2.0,2.0,0,0,0,13,1,0,0,0,0,0,0.34,-0.157,0.0,0.00%,-3.3,5b 12- 2 out d2,7b 3 out d7,1.0,CLE,4.285714285714286,L,2,9
7,8,55,2001-06-06,,KCR,8-GF(8),,99,1.0,1,1,1,0,0,1,0,9.0,4,10,6,0,1,3,1,0,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.01,-0.001,0.0,0.00%,-0.42,8b --- 0 out d6,8b end d 7,,KCR,1.0,L,6,12
8,9,57,2001-06-08,,CHC,6-7,,1,0.2,1,1,1,2,0,0,1,10.8,6,20,7,1,1,0,3,1,1,0,,1.0,0.0,0,0,0,3,1,0,1,0,0,0,2.36,-0.22,0.86,-0.05%,-1.69,6t --3 2 out tie,7t 123 1 out d1,,CHW,15.0,W,7,3
9,10,63,2001-06-15,,STL,6-7,,6,1.1,2,4,4,2,1,0,1,18.0,9,27,12,6,0,1,4,2,0,0,,0.0,0.0,1,0,0,6,0,0,0,0,0,0,0.73,-0.122,0.41,-0.04%,-1.55,6b --- 0 out d2,7b 123 1 out d1,,STL,3.636363636363636,L,3,10
10,11,64,2001-06-16,,STL,8-GF(8),,0,1.0,1,0,0,0,0,0,0,13.5,3,8,7,1,0,1,2,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,1,0,0,0.03,0.001,0.02,0.00%,0.53,8b --- 0 out d5,8b end d 5,,STL,1.0,L,3,8
11,12,82,2001-07-05,,MIN,5-7,,18,2.2,4,1,1,0,4,0,1,9.45,12,56,37,9,7,2,5,4,1,0,,0.0,0.0,0,0,0,11,2,0,0,1,0,0,0.05,0.003,0.03,0.00%,0.45,5t --- 0 out d8,7t 1-- 2 out d9,,CHW,1.818181818181818,L,2,12
12,13,92,2001-07-18,,CLE,8-GF,,12,1.1,2,1,1,0,0,0,0,9.0,6,25,17,5,1,2,4,2,0,0,,1.0,1.0,0,0,0,6,0,0,0,0,0,0,0.1,-0.016,0.08,-0.01%,-1.17,8t 1-- 2 out d5,9t end d 5,,CHW,1.818181818181818,L,4,9
13,14,93,2001-07-19,,CLE,7-7,,0,1.0,1,0,0,0,2,0,0,8.0,4,19,13,3,2,1,1,0,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.24,0.015,0.15,0.01%,0.57,7t --- 0 out d4,7t 3 out d4,,CHW,1.0,L,3,10
14,15,96,2001-07-22,,BOS,4-5,,2,0.2,1,1,1,1,0,0,1,8.38,5,21,9,2,1,0,3,1,1,0,,2.0,0.0,0,0,0,3,1,0,0,0,0,0,1.89,-0.111,0.82,-0.03%,-0.87,4t 12- 1 out a2,5t 123 0 out a2,,CHW,10.0,W,13,8
15,16,100,2001-07-26,,CLE,4-7,W(1-0),3,2.2,1,2,2,1,3,0,0,8.03,10,37,24,4,7,2,4,1,0,0,,1.0,1.0,0,0,0,9,0,0,0,0,0,0,0.75,-0.006,0.35,0.00%,0.06,4b --3 1 out a2,7b 12- 0 out a4,,CLE,0.9090909090909092,W,5,4
16,17,106,2001-08-02,,KCR,3-7,,6,5.0,3,1,1,0,1,0,0,6.23,17,53,37,7,3,9,7,4,0,0,,1.0,1.0,0,0,0,17,1,0,0,0,0,0,0.2,-0.011000000000000001,0.08,0.00%,1.49,3t -2- 0 out d4,7t 3 out d6,,CHW,0.6,L,3,6
17,18,111,2001-08-07,,ANA,4-6,,4,2.1,4,3,3,1,1,0,0,6.86,10,41,24,6,1,2,6,4,0,0,,2.0,0.0,0,1,0,9,1,0,0,0,0,0,0.21,-0.025,0.08,-0.01%,-1.43,4b 12- 2 out d5,6b 3 out d7,,ANA,2.380952380952381,L,3,9
18,19,120,2001-08-17,,OAK,7-9,,9,2.2,2,3,3,1,2,0,0,7.25,11,45,25,7,3,3,5,2,0,0,,0.0,0.0,0,0,0,9,0,0,0,0,1,0,0.27,0.025,0.15,0.01%,0.24,7t --- 0 out d3,9t 12- 2 out d4,,CHW,1.3636363636363635,L,2,9
19,20,122,2001-08-19,,OAK,9-GF,,1,1.0,1,1,1,0,0,1,1,7.33,4,7,5,1,0,1,2,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,1,0,0,0.46,-0.071,0.15,-0.01%,-0.43,9t --- 0 out d1,9t end d 2,,CHW,1.0,L,7,8
20,21,125,2001-08-22,,KCR,1-4,,2,3.1,2,1,1,2,3,0,0,6.75,14,55,30,6,5,3,6,2,0,0,,2.0,0.0,1,0,0,12,0,0,0,0,0,0,0.38,0.027000000000000003,0.12,0.01%,1.4,1b -23 2 out d5,4b 3 out d5,,KCR,1.2903225806451613,W,13,12
21,22,140,2001-09-06,,DET,5-7,,14,3.0,2,1,1,2,0,0,1,6.37,14,61,32,8,4,2,9,2,1,0,,2.0,2.0,0,0,0,10,0,0,0,0,1,0,0.65,-0.057999999999999996,0.2,-0.01%,0.21,5t -23 0 out d1,7t 3 out d4,,CHW,1.3333333333333333,L,2,6
22,23,145,2001-09-18,,NYY,9-GF,,11,1.0,1,0,0,0,1,0,0,6.16,4,12,8,2,2,0,3,1,0,0,,0.0,0.0,0,0,0,4,1,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.57,9t --- 0 out d9,9t end d 9,,CHW,1.0,L,3,11
23,24,150,2001-09-23,,KCR,9-GF,,4,1.0,0,0,0,0,1,0,0,5.97,3,9,7,2,1,1,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.01,0.001,0.0,0.00%,0.57,9t --- 0 out a8,9t end a 8,,CHW,0.0,W,10,2
24,25,155,2001-09-29,,KCR,9-GF,,5,1.0,0,0,0,0,1,0,0,5.79,3,8,6,1,2,1,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.01,0.001,0.0,0.00%,0.58,9b --- 0 out a8,9b end a 8,,KCR,0.0,W,10,2
25,26,157,2001-10-01,,NYY,3-7,,1,5.0,2,1,1,1,2,0,1,5.26,18,51,38,8,7,7,7,2,1,0,,1.0,0.0,0,0,0,16,0,0,0,0,0,0,0.15,0.033,0.0,0.00%,2.4,3b -2- 0 out d5,7b 3 out d6,,NYY,0.6,L,1,8
26,27,161,2001-10-06,,MIN,3-4,,4,2.0,3,1,1,1,2,0,0,5.22,10,44,26,5,5,5,2,1,0,0,,3.0,2.0,0,0,0,8,0,0,1,0,1,0,0.48,-0.028999999999999998,0.0,0.00%,-0.04,3b 123 0 out d3,4b 3 out d5,,MIN,2.0,L,5,6
27,28,33,2002-05-07,,TEX,6-GF,S(1),99,4.0,2,2,2,1,0,1,0,4.5,15,49,32,6,2,4,10,1,0,0,,0.0,0.0,0,0,0,14,1,0,0,1,0,1,0.11,0.027000000000000003,0.15,0.02%,0.3,6b --- 0 out a7,9b end a 5,,TEX,0.75,W,11,6
28,29,36,2002-05-10,,ANA,3-5,,2,2.1,7,5,2,1,3,1,0,5.68,16,57,38,10,5,3,9,5,1,0,,1.0,0.0,0,0,0,15,0,0,0,0,0,1,0.01,-0.006999999999999999,0.02,-0.01%,-3.67,3b 1-- 2 out d8,5b 3 out d13,,ANA,3.809523809523809,L,0,19
29,30,39,2002-05-14,,TEX,9-GF,,3,1.0,1,0,0,2,0,0,0,4.91,6,19,6,1,0,1,3,1,1,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.55,9t --- 0 out a11,9t end a11,,CHW,3.0,W,15,4
30,31,44,2002-05-19,,ANA,9-GF,,4,1.0,3,1,1,0,1,0,0,5.4,6,23,15,5,1,2,3,1,0,0,,0.0,0.0,2,0,0,6,1,0,0,0,0,0,0.08,-0.008,0.1,-0.01%,-0.45,9t --- 0 out d4,9t end d 5,,CHW,3.0,L,1,6
31,32,45,2002-05-20,,BOS,5-7,,0,2.1,0,0,0,0,1,0,0,4.22,7,26,15,5,1,3,3,0,0,0,,2.0,0.0,0,0,0,7,0,0,0,0,0,0,0.03,0.006,0.05,0.00%,1.59,5b 12- 2 out d7,7b 3 out d7,,BOS,0.0,L,0,9
