,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,78,2016-06-28,WAS,NYM,GS-4,,99,4.0,1,0,0,2,1,0,0,0.0,14,45,29,9,2,6,5,1,0,0,59.0,,,0,0,0,12,0,0,0,1,0,0,1.02,0.21899999999999997,1.75,0.23%,2.04,1t start tie,4t 3 out a1,,WSN,0.75,W,5,0,,
1,2,87,2016-07-07,WAS,NYM,GS-4,,8,3.2,7,4,4,4,4,2,0,4.7,22,90,52,13,9,7,7,3,1,0,31.0,,,0,0,0,18,2,0,0,0,0,0,1.24,-0.319,2.12,-0.33%,-2.52,1b start a 1,4b 12- 2 out tie,,NYM,3.4375,L,7,9,,
2,3,99,2016-07-24,WAS,SDP,GS-4,,16,3.1,4,4,2,3,0,0,0,4.91,17,66,36,7,1,5,9,6,2,0,37.0,,,0,0,0,14,1,0,0,0,0,1,1.33,-0.419,1.6,-0.30%,-3.55,1t start tie,4t 123 1 out a1,,WSN,2.2580645161290316,L,6,10,,
3,4,130,2016-08-28,WAS,COL,GS-5,L(0-1),34,5.0,6,4,4,2,2,2,0,5.63,23,100,64,16,8,6,13,7,0,0,39.0,,,0,0,0,21,0,1,0,0,0,0,0.8,-0.21100000000000002,0.38,-0.06%,-1.45,1t start tie,5t 3 out d3,,WSN,1.6,L,3,5,,
4,5,139,2016-09-07,WAS,ATL,4-7,,9,3.1,5,2,2,0,3,1,1,5.59,15,61,44,12,5,7,4,2,0,0,,0.0,0.0,0,0,0,14,0,0,0,1,0,0,1.58,-0.085,0.23,-0.01%,-0.23,4t --- 0 out tie,7t --- 1 out d2,,WSN,1.6129032258064515,W,5,4,,
5,6,156,2016-09-26,WAS,ARI,8-GF,,18,2.0,3,4,4,1,1,2,0,6.75,10,36,21,7,0,3,5,2,2,0,,0.0,0.0,0,0,0,9,1,0,0,0,0,0,0.01,-0.006999999999999999,0.0,0.00%,-2.98,8t --- 0 out d6,9t end d10,,WSN,2.0,L,4,14,,
6,7,124,2017-08-22,,MIN,GS-6,L(0-1),99,6.0,6,4,4,0,4,3,1,6.0,24,99,64,17,11,11,8,2,1,0,48.0,,,0,0,0,22,1,0,0,1,0,0,1.01,-0.168,0.0,0.00%,-0.93,1t start tie,6t 3 out d3,,CHW,1.0,L,1,4,,
7,8,129,2017-08-27,,DET,GS-7,W(1-1),4,7.0,3,0,0,3,4,0,1,2.77,27,104,72,13,11,7,12,6,4,0,72.0,,,0,1,0,23,0,1,0,0,0,0,0.6,0.243,0.0,0.00%,3.59,1t start tie,7t 3 out a5,,CHW,0.8571428571428571,W,7,1,,
8,9,135,2017-09-03,,TBR,GS-7,W(2-1),6,7.0,3,1,1,1,10,1,0,2.25,25,103,70,12,18,8,6,3,1,0,76.0,,,0,0,0,24,0,1,0,0,0,0,0.72,0.23800000000000002,0.0,0.00%,2.59,1t start tie,7t 3 out a4,,CHW,0.5714285714285714,W,6,2,,
9,10,140,2017-09-08,,SFG,GS-6,L(2-2),4,5.1,3,5,3,4,5,1,0,2.84,24,107,59,11,11,7,8,4,1,0,47.0,,,1,1,0,20,0,0,0,1,0,3,1.17,-0.222,0.0,0.00%,-1.85,1t start tie,6t 12- 1 out d2,,CHW,1.3725490196078431,L,2,9,,
