Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,71,2015-06-24,BAL,BOS,8-GF(8),,99,1.0,0,0,0,0,1,0,0,0.00,3,11,8,3,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,.05,0.00%,0.52,8b --- 0 out d4,8b end d 4,,BOS,0.0,L,1,5,,
2,102,2015-07-31,BAL,DET,5-6,W(1-0),36,1.2,1,0,0,0,2,0,0,0.00,6,19,13,6,2,1,3,1,0,0,,1,0,0,0,0,6,0,0,0,0,0,0,.80,0.066,.95,0.05%,1.02,5t 1-- 1 out d5,6t 3 out d1,,BAL,0.8333333333333334,W,8,7,,
3,105,2015-08-03,BAL,OAK,8-GF,,2,1.1,0,0,0,0,3,0,0,0.00,4,20,12,5,4,0,1,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.02,0.002,.03,0.00%,0.78,8b -2- 2 out a7,9b end a 7,,OAK,0.0,W,9,2,,
4,112,2015-08-11,BAL,SEA,5-6,,7,1.1,1,0,0,1,1,0,0,0.00,6,26,16,5,2,2,2,1,1,0,,1,0,0,0,0,4,0,0,0,0,0,0,.41,0.024,.56,0.02%,0.68,5b 1-- 2 out d3,6b 3 out d3,,SEA,1.8181818181818181,L,5,6,,
5,114,2015-08-14,BAL,OAK,6-7,,2,2.0,1,0,0,0,3,0,0,0.00,7,27,19,7,2,3,1,1,0,0,,0,0,0,0,0,7,0,1,0,0,0,0,.85,0.110,.94,0.07%,0.99,6t --- 0 out d1,7t 3 out d1,,BAL,0.5,W,8,6,,
6,118,2015-08-18,BAL,NYM,8-9,,3,1.0,1,2,1,0,1,0,0,1.08,5,21,15,3,4,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.37,0.002,.57,0.00%,-0.50,8t --- 0 out d2,9t 12- 0 out d2,,BAL,1.0,L,3,5,,
7,119,2015-08-19,BAL,NYM,6-7,,0,1.1,1,1,1,0,1,1,0,1.86,5,21,16,3,2,1,3,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.80,-0.135,1.10,-0.11%,-0.27,6t --- 0 out d2,7t --- 1 out d1,,BAL,0.9090909090909091,W,5,4,,
8,121,2015-08-21,BAL,MIN,9-GF,,1,1.0,0,0,0,0,2,0,0,1.69,3,14,8,4,2,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.50,0.038,.75,0.03%,0.50,9t --- 0 out d1,9t end d 1,,BAL,0.0,L,3,4,,
9,123,2015-08-23,BAL,MIN,10-11,,1,2.0,1,0,0,0,3,0,0,1.42,7,29,21,2,6,1,3,1,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,2.07,0.273,2.38,0.19%,0.99,10t --- 0 out tie,11t 3 out tie,,BAL,0.5,L,3,4,,
10,125,2015-08-25,BAL,KCR,6-7,,1,1.2,0,0,0,1,1,0,0,1.26,6,25,17,4,3,3,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.70,0.071,.51,0.03%,0.78,6b --- 0 out d1,7b 1-- 2 out d1,,KCR,0.8333333333333334,L,2,3,,
11,129,2015-08-29,BAL,TEX,6-7,,3,1.0,3,0,0,0,0,0,0,1.17,6,15,11,4,0,4,2,1,1,0,,2,1,0,0,0,6,1,0,0,0,0,0,1.17,-0.110,.68,-0.04%,-0.43,6b 1-3 2 out tie,7b 12- 2 out d1,,TEX,3.0,L,3,4,,
12,132,2015-09-01,BAL,TBR,9-GF,,2,1.0,1,0,0,0,2,0,0,1.10,4,12,9,3,3,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.50,9t --- 0 out d11,9t end d11,,BAL,1.0,L,2,11,,
13,133,2015-09-02,BAL,TBR,6-7,,0,1.1,3,1,1,0,2,0,0,1.53,7,23,18,7,4,1,4,2,0,0,,0,0,0,0,0,7,3,0,0,0,0,0,1.06,-0.112,.10,-0.01%,-0.40,6t --- 2 out tie,7t 3 out d1,,BAL,2.727272727272727,W,7,6,,
14,134,2015-09-04,BAL,TOR,6-7,H(1),1,1.1,0,0,0,0,0,0,0,1.42,4,15,9,4,0,1,3,1,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,.67,0.071,.09,0.01%,1.00,6b 1-3 2 out a4,7b 3 out a4,,TOR,0.0,W,10,2,,
15,140,2015-09-11,BAL,KCR,8-9,W(2-0),6,1.0,4,2,2,1,0,0,1,2.25,9,32,18,7,1,1,6,5,1,0,,2,1,0,0,0,7,1,0,0,0,0,0,.47,-0.099,.03,0.00%,-2.50,8t 12- 2 out d1,9t 12- 2 out a6,,BAL,5.0,W,14,8,,
16,144,2015-09-15,BAL,BOS,6-7,H(2),3,1.2,1,0,0,0,3,0,0,2.08,6,27,20,10,3,2,1,1,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,1.82,0.155,.14,0.01%,0.89,6t --- 0 out a1,7t --- 2 out a1,,BAL,0.8333333333333334,W,6,5,,
17,147,2015-09-18,BAL,TBR,6-7,,2,2.0,0,0,0,0,3,0,0,1.90,5,23,16,3,4,1,1,1,0,0,,2,0,0,0,0,5,0,0,0,1,0,0,.28,0.052,.05,0.01%,1.91,6b 12- 0 out d3,7b 3 out d3,,TBR,0.0,L,6,8,,
18,149,2015-09-20,BAL,TBR,8-8,H(3),1,1.0,2,1,1,1,2,0,0,2.19,6,28,18,2,6,0,3,2,0,0,,0,0,0,0,0,4,1,0,0,0,1,0,3.77,-0.003,.57,0.00%,-0.53,8b --- 0 out a2,8b 3 out a1,,TBR,3.0,L,6,7,,
19,151,2015-09-23,BAL,WSN,7-8,H(4),2,2.0,0,0,0,0,2,0,0,2.03,6,20,14,3,3,2,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.62,0.242,.13,0.01%,0.95,7b --- 0 out a1,8b 3 out a1,,WSN,0.0,W,4,3,,
20,158,2015-09-30,BAL,TOR,9-GF,,6,1.0,0,0,0,2,1,0,0,1.95,5,21,11,3,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.001,.00,0.00%,0.50,9t --- 0 out a7,9t end a 7,2,BAL,2.0,W,8,1,,
21,159,2015-10-01,BAL,TOR,6-6,,0,1.0,0,0,0,0,3,0,0,1.88,3,17,10,4,2,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.42,0.032,.00,0.00%,0.50,6t --- 0 out a4,6t 3 out a4,,BAL,0.0,W,6,4,,
22,160,2015-10-03,BAL,NYY,7-8,,1,1.1,0,0,0,0,2,0,0,1.80,4,20,14,7,2,1,1,1,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,.17,0.017,.00,0.00%,0.93,7t 12- 2 out a5,8t 3 out a7,1,BAL,0.0,W,9,2,,
23,1,2016-04-04,BAL,MIN,6-7,H(1),99,1.1,3,2,2,0,2,0,1,13.50,8,25,17,4,4,2,3,2,0,0,,0,0,0,0,0,7,2,0,0,0,0,0,1.37,-0.224,1.27,-0.13%,-1.39,6t --- 0 out a2,7t -23 1 out a1,,BAL,2.727272727272727,W,3,2,,
24,2,2016-04-06,BAL,MIN,6-6,H(2),1,0.2,2,1,1,0,1,1,0,13.50,4,13,10,2,2,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.02,-0.048,.99,-0.03%,-0.72,6t --- 0 out a3,6t 1-- 2 out a2,,BAL,10.0,W,4,2,,
