,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,400,2,2000-04-04,ATL,COL,GS-6,,99,6.0,5,2,2,2,4,0,0,3.0,25,102,63,17,9,9,10,5,0,0,56,,,2,0,0,23,2,1,0,0,0,0,1.17,0.13699999999999998,1.14,0.08%,1.36,1t start tie,6t 3 out a1,,ATL,1.1666666666666667,L,3,5
1,401,6,2000-04-09,ATL,SFG,GS-7,W(1-0),4,7.0,5,2,2,1,6,0,0,2.77,27,112,68,19,8,7,13,6,1,0,64,,,0,0,0,25,0,0,0,0,0,0,1.02,0.21100000000000002,1.07,0.13%,1.92,1t start tie,7t 3 out a3,,ATL,0.8571428571428571,W,9,3
2,402,10,2000-04-14,ATL,MIL,GS-9,W(2-0),4,8.0,7,3,3,1,7,0,0,3.0,32,112,74,21,13,13,11,6,0,0,62,,,0,1,0,29,2,0,0,0,1,1,0.95,0.231,0.91,0.13%,1.34,1b start tie,9b 12- 0 out a4,,MIL,1.0,W,6,3
3,403,14,2000-04-19,ATL,PHI,GS-7,W(3-0),4,7.0,4,1,1,5,4,0,0,2.57,30,116,69,23,5,12,10,4,1,0,64,,,1,0,0,25,0,0,1,1,0,1,1.19,0.33399999999999996,1.32,0.22%,2.92,1t start tie,7t 3 out a2,,ATL,1.2857142857142858,W,10,1
4,404,19,2000-04-25,ATL,LAD,SHO,W(4-0),5,9.0,3,0,0,1,7,0,0,1.95,30,121,71,21,7,9,13,5,1,0,87,,,0,0,0,29,1,0,0,1,0,0,1.28,0.78,1.48,0.54%,5.04,1t start tie,9t 3 out a1,,ATL,0.4444444444444444,W,1,0
5,405,24,2000-04-30,ATL,SDP,GS-8,W(5-0),4,8.0,3,1,1,2,8,1,0,1.8,27,113,71,24,10,10,8,3,1,0,78,,,0,1,0,25,0,0,0,1,0,0,0.91,0.326,1.14,0.25%,3.13,1b start tie,8b 3 out a5,,SDP,0.625,W,7,4
6,406,28,2000-05-05,ATL,PHI,GS-7,,4,7.0,4,1,1,2,2,0,0,1.73,26,98,59,16,7,6,16,8,1,0,65,,,1,0,0,23,0,1,0,0,0,0,1.07,0.336,1.33,0.25%,2.92,1t start tie,7t 3 out a2,,ATL,0.8571428571428571,W,6,5
7,407,33,2000-05-10,ATL,FLA,GS-7,L(5-1),4,7.0,9,5,5,0,5,2,0,2.29,31,113,74,20,9,16,10,5,1,0,44,,,0,0,0,31,2,0,0,0,0,1,0.8,-0.242,1.14,-0.21%,-1.31,1b start tie,7b 3 out d2,,FLA,1.2857142857142858,L,3,5
8,408,38,2000-05-16,ATL,SFG,GS-6,W(6-1),5,5.1,9,5,5,0,5,0,0,2.8,24,105,61,18,8,10,9,5,2,0,35,,,1,0,0,24,1,0,0,1,0,0,1.04,-0.027999999999999997,1.3,-0.02%,-0.61,1t start tie,6t 12- 1 out a3,,ATL,1.7647058823529411,W,9,7
9,409,43,2000-05-21,ATL,SDP,GS-6,W(7-1),4,6.0,7,3,3,3,3,2,0,2.94,25,107,60,15,7,7,12,4,1,0,46,,,0,0,0,22,2,0,1,3,0,0,1.17,-0.013000000000000001,1.33,-0.01%,0.36,1t start tie,6t 3 out d1,,ATL,1.6666666666666667,W,12,6
10,410,47,2000-05-26,ATL,HOU,GS-8,,4,8.0,8,4,4,4,6,1,0,3.1,35,123,69,22,7,11,14,7,0,0,52,,,0,0,0,30,2,1,1,0,0,0,0.97,-0.035,0.97,-0.02%,0.79,1b start tie,8b 3 out d1,,HOU,1.5,L,4,5
11,411,52,2000-06-01,ATL,CHC,GS-5,L(7-2),5,5.0,6,4,4,5,7,1,0,3.35,26,114,67,19,15,7,7,3,0,0,41,,,5,1,0,20,1,0,1,0,0,0,0.76,-0.158,0.69,-0.09%,-1.28,1b start tie,5b 3 out d4,,CHC,2.2,L,3,5
12,412,57,2000-06-06,ATL,TOR,GS-6,,4,6.0,9,6,6,6,8,1,0,3.73,33,136,82,19,11,6,13,7,1,0,32,,,1,0,0,26,1,0,2,0,1,0,1.05,-0.321,1.26,-0.23%,-2.64,1t start tie,6t 3 out d3,,ATL,2.5,W,7,6
13,413,61,2000-06-11,ATL,BOS,GS-7,,4,7.0,5,2,2,3,6,0,0,3.64,27,99,61,27,3,9,10,6,1,0,62,,,0,0,0,24,2,0,0,1,0,0,0.86,0.14,0.93,0.09%,1.92,1t start tie,7t 3 out d1,,ATL,1.1428571428571428,L,3,5
14,414,66,2000-06-16,ATL,PHI,CG(8),L(7-3),4,8.0,4,2,2,2,5,1,0,3.54,29,107,64,22,7,12,10,4,1,0,69,,,1,1,0,26,0,0,0,0,0,0,0.82,0.158,0.9,0.10%,2.48,1b start tie,8b 3 out d1,,PHI,0.75,L,1,2
15,415,71,2000-06-21,ATL,CHC,GS-8,L(7-4),4,7.0,9,3,2,3,3,0,0,3.48,31,119,68,19,5,10,15,6,0,0,49,,,0,1,1,28,1,0,0,0,0,0,0.94,-0.059000000000000004,1.12,-0.04%,-0.1,1t start tie,8t 12- 0 out d2,,ATL,1.7142857142857142,L,1,8
16,416,76,2000-06-27,ATL,MON,GS-6,L(7-5),5,6.0,8,6,5,0,2,3,0,3.68,28,98,56,12,1,6,20,7,2,0,36,,,0,0,0,28,3,0,0,0,0,2,0.4,-0.261,0.56,-0.22%,-2.54,1b start tie,6b 3 out d5,,MON,1.3333333333333333,L,4,6
17,417,81,2000-07-02,ATL,NYM,GS-7,W(8-5),4,7.0,5,2,2,1,4,2,0,3.62,26,111,71,28,5,9,12,2,3,0,62,,,0,0,0,25,0,0,0,1,0,1,0.47,0.177,0.76,0.17%,1.77,1b start tie,7b 3 out a5,,NYM,0.8571428571428571,W,10,2
18,418,86,2000-07-07,ATL,BOS,GS-8,W(9-5),4,7.2,6,3,3,4,3,0,2,3.61,33,120,66,24,5,15,9,4,0,0,54,,,0,0,0,27,0,0,0,2,0,0,0.74,0.20600000000000002,1.06,0.18%,3.07,1b start tie,8b 123 2 out a4,,BOS,1.3888888888888888,W,5,3
19,419,91,2000-07-15,ATL,BAL,GS-7,W(10-5),7,7.0,7,2,1,0,3,0,0,3.5,28,100,70,17,2,11,14,8,0,0,60,,,1,0,0,28,3,0,0,0,0,0,0.83,0.16699999999999998,0.89,0.11%,1.98,1b start tie,7b 3 out a5,,BAL,1.0,W,7,3
20,420,95,2000-07-20,ATL,FLA,GS-7,W(11-5),4,6.1,9,3,1,1,3,0,0,3.41,28,95,66,11,6,9,15,10,0,0,49,,,1,1,0,27,2,0,0,1,0,1,1.38,-0.037000000000000005,1.28,-0.02%,0.14,1b start tie,7b 1-- 1 out a1,1.0,FLA,1.639344262295082,W,5,3
21,421,100,2000-07-25,ATL,FLA,GS-7,W(12-5),4,6.2,11,4,4,0,6,0,0,3.49,29,107,68,18,11,9,14,10,1,0,42,,,0,1,1,28,0,0,0,1,0,0,1.32,0.10099999999999999,0.93,0.04%,0.58,1t start tie,7t -2- 2 out a3,,ATL,1.7741935483870968,W,6,5
22,422,105,2000-07-30,ATL,HOU,GS-9,W(13-5),4,8.0,7,3,3,1,1,0,0,3.49,32,91,63,16,4,12,18,9,0,0,56,,,0,0,0,31,0,0,0,0,0,0,0.65,0.237,0.32,0.07%,1.47,1t start tie,9t 12- 0 out a4,,ATL,1.0,W,6,3
23,423,109,2000-08-04,ATL,STL,GS-6,W(14-5),4,6.0,8,4,3,3,1,1,0,3.52,29,112,62,16,5,15,10,4,1,0,40,,,0,0,0,24,1,0,0,0,1,1,1.46,-0.06,0.72,-0.02%,-0.61,1b start tie,6b 3 out a1,,STL,1.8333333333333333,W,6,4
24,424,114,2000-08-09,ATL,CIN,GS-5,L(14-6),4,4.0,9,8,8,2,0,1,0,3.86,23,71,42,11,3,9,12,7,0,0,10,,,0,0,0,20,2,0,0,0,0,0,1.23,-0.5539999999999999,0.44,-0.12%,-5.22,1b start tie,5b -23 0 out tie,,CIN,2.75,L,6,10
25,425,118,2000-08-14,ATL,SDP,GS-7,W(15-6),4,7.0,5,1,1,1,6,1,0,3.76,27,109,67,19,16,8,12,6,1,0,68,,,0,0,0,26,0,1,0,0,0,0,0.67,0.22699999999999998,0.25,0.05%,2.92,1t start tie,7t 3 out a6,,ATL,0.8571428571428571,W,9,2
26,426,123,2000-08-20,ATL,SFG,GS-7,W(16-6),5,7.0,3,4,3,2,3,1,0,3.77,27,99,56,16,3,13,9,1,1,0,58,,,1,0,0,25,0,0,0,0,0,1,0.97,-0.032,0.7,-0.01%,-0.35,1b start a 2,7b 3 out a3,,SFG,0.7142857142857143,W,8,5
27,427,128,2000-08-25,ATL,STL,GS-7,W(17-6),4,7.0,8,4,3,2,2,0,0,3.77,31,104,60,14,4,16,11,8,0,0,47,,,0,0,0,29,2,0,0,1,0,1,1.11,-0.025,0.35,-0.01%,-0.08,1t start tie,7t 3 out tie,,ATL,1.4285714285714286,W,7,4
28,428,133,2000-08-30,ATL,CIN,CG,W(18-6),4,9.0,3,2,2,2,5,0,0,3.69,32,106,69,17,11,10,15,4,1,0,76,,,0,0,0,29,1,0,0,0,1,0,0.76,0.32899999999999996,0.5,0.13%,3.04,1t start tie,9t 3 out a3,,ATL,0.5555555555555556,W,5,2
