Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,65,2011-06-10,OAK,CHW,GS-5,,99,4.1,9,5,5,2,2,1,0,10.38,23,90,55,10,5,9,10,3,1,0,25,,,0,0,0,21,3,0,0,1,0,0,1.04,-0.208,.53,-0.06%,-1.78,1b start a 1,5b -23 1 out d1,,CHW,2.682926829268293,W,7,5
2,71,2011-06-17,OAK,SFG,GS-7,W(1-0),6,7.0,6,2,1,0,3,1,0,4.76,27,96,70,19,7,10,14,5,5,0,62,,,0,0,0,27,2,0,0,0,0,1,1.19,0.215,.61,0.07%,1.44,1t start tie,7t 3 out a1,,OAK,0.8571428571428571,W,5,2
3,76,2011-06-23,OAK,NYM,GS-6,L(1-1),5,5.2,6,4,2,2,4,0,1,4.24,26,115,72,20,7,11,8,1,2,0,47,,,0,0,0,22,0,0,0,1,0,1,.84,-0.124,.59,-0.05%,-0.57,1b start tie,6b 1-- 2 out d3,,NYM,1.5384615384615383,L,1,4
4,133,2011-08-27,OAK,BOS,GS-4,L(1-2),64,4.0,6,3,3,0,1,1,0,4.71,18,70,51,6,5,8,9,3,2,0,39,,,0,0,0,18,1,0,0,0,0,0,.77,-0.121,.00,0.00%,-0.89,1b start tie,4b 3 out d3,2,BOS,1.5,L,0,4
5,154,2011-09-20,OAK,TEX,4-7,,23,4.0,5,0,0,1,3,0,0,3.96,18,62,44,9,7,5,9,1,1,0,,0,0,0,0,0,17,1,0,0,0,0,0,.16,0.029,.00,0.00%,1.96,4t --- 0 out d6,7t 3 out d5,,OAK,1.5,L,2,7
6,6,2012-04-10,OAK,KCR,GS-6,L(0-1),99,6.0,6,2,2,1,1,0,0,3.00,24,85,54,13,7,7,15,4,1,0,52,,,0,1,0,22,2,0,0,0,1,0,1.08,0.017,1.06,0.01%,0.83,1t start tie,6t 3 out d2,,OAK,1.1666666666666667,L,0,3
7,10,2012-04-15,OAK,SEA,GS-5,L(0-2),4,5.0,6,5,3,1,3,2,0,4.09,23,95,61,20,3,4,15,5,1,0,41,,,0,0,0,22,2,0,0,0,0,1,.97,-0.398,1.09,-0.27%,-2.72,1b start tie,5b 3 out d2,,SEA,1.4,L,3,5
8,15,2012-04-20,OAK,CLE,GS-5,L(0-3),4,5.0,3,4,4,5,3,0,2,5.06,24,93,53,24,3,2,12,5,2,0,43,,,1,0,0,16,1,0,0,1,1,0,1.21,-0.238,1.17,-0.14%,-1.65,1t start tie,5t 3 out d3,,OAK,1.6,L,3,4
9,44,2012-05-22,OAK,LAA,GS-3,L(0-4),31,3.0,6,4,4,3,2,1,0,6.16,15,53,24,8,1,3,7,4,0,0,30,,,0,1,0,11,0,0,0,0,1,0,.85,-0.264,1.01,-0.19%,-2.59,1t start tie,3t 3 out d4,,OAK,3.0,L,0,5
10,47,2012-05-26,OAK,NYY,8-GF,,3,2.0,5,3,2,0,1,1,1,6.43,12,39,25,9,3,5,5,3,1,0,,0,0,0,0,0,11,0,0,0,0,0,1,.12,-0.018,.11,-0.01%,-2.06,8t --- 0 out d4,9t end d 7,,OAK,2.5,L,2,9
