,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,94,2015-07-23,ARI,MIL,GS-6,W(1-0),99,6.0,4,0,0,0,7,0,1,0.0,21,88,66,8,15,7,6,2,0,0,71.0,,,0,0,0,20,2,0,0,1,0,0,0.82,0.268,0.25,0.05%,2.93,1t start tie,6t 3 out a5,,ARI,0.6666666666666666,W,8,3,,
1,2,99,2015-07-28,ARI,SEA,GS-6,W(2-0),4,6.0,7,3,3,3,4,2,0,2.25,26,94,54,13,10,11,8,4,0,0,47.0,,,0,0,0,23,1,0,0,2,0,0,0.98,0.126,0.42,0.03%,-0.23,1b start a 1,6b 3 out a3,,SEA,1.6666666666666667,W,8,4,,
2,3,104,2015-08-03,ARI,WSN,GS-6,W(3-0),5,6.0,3,0,0,2,6,0,1,1.5,23,83,48,12,9,8,6,3,0,0,70.0,,,0,0,0,19,0,0,0,1,0,0,0.81,0.23800000000000002,0.33,0.06%,2.84,1b start tie,6b 3 out a5,,WSN,0.8333333333333334,W,6,4,,
3,4,119,2015-08-19,ARI,PIT,7-GF(8),,15,2.0,3,1,1,2,2,0,0,1.8,10,35,18,2,2,2,4,4,0,0,,0.0,0.0,0,0,0,8,1,0,0,1,0,0,0.2,-0.001,0.05,0.00%,-0.08,7b --- 0 out d3,8b end d 4,,PIT,2.5,L,1,4,,
4,5,122,2015-08-22,ARI,CIN,3-6,W(4-0),2,3.2,1,1,1,1,3,0,0,1.9,13,55,41,8,7,5,4,4,0,0,,1.0,0.0,0,0,0,12,0,0,0,0,0,0,1.51,0.16699999999999998,0.57,0.04%,1.04,3b -2- 1 out tie,6b 3 out a1,,CIN,0.625,W,11,7,,
5,6,135,2015-09-04,ARI,CHC,GS-4,L(4-1),12,3.2,4,6,6,6,3,2,0,3.62,21,80,40,15,5,4,8,0,0,0,26.0,,,0,0,0,14,0,0,0,0,1,0,0.76,-0.35200000000000004,0.07,-0.02%,-4.39,1b start tie,4b 1-- 2 out d5,,CHC,3.125,L,5,14,,
6,7,140,2015-09-09,ARI,SFG,GS-6,W(5-1),4,5.0,3,1,1,1,5,0,1,3.34,18,65,42,10,8,4,7,4,0,0,61.0,,,1,0,0,16,0,0,0,1,0,0,1.02,0.218,0.0,0.00%,2.06,1t start tie,6t 1-- 0 out a2,,ARI,0.8,W,2,1,,
7,8,145,2015-09-15,ARI,SDP,6-7,,5,1.1,2,1,1,0,1,0,0,3.48,6,18,11,3,2,1,4,4,0,0,,0.0,0.0,0,0,0,6,1,0,0,0,0,0,0.68,0.035,0.0,0.00%,0.46,6t --- 0 out d2,7t 1-- 1 out d1,,ARI,1.818181818181818,W,6,4,,
8,9,156,2015-09-27,ARI,SDP,GS-3,,11,3.0,2,0,0,2,3,0,0,3.19,12,56,35,6,6,3,4,2,0,0,56.0,,,0,0,0,10,0,0,1,1,0,0,1.29,0.146,0.0,0.00%,1.32,1b start tie,3b 3 out tie,,SDP,1.3333333333333333,W,4,2,,
9,10,64,2016-06-11,ARI,MIA,GS-6,W(1-0),99,6.0,4,2,2,3,3,1,0,3.0,25,84,47,11,10,9,10,8,0,0,56.0,,,0,0,0,22,0,1,0,0,0,0,0.81,0.065,0.25,0.01%,1.18,1t start tie,6t 3 out d2,,ARI,1.1666666666666667,W,5,3,,
10,11,68,2016-06-15,ARI,LAD,7-7,,3,0.2,0,0,0,0,1,0,0,2.7,2,9,6,2,2,1,0,0,0,0,,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0.64,0.033,0.23,0.01%,0.28,7t --- 1 out d1,7t 3 out d1,,ARI,0.0,L,2,3,,
11,12,69,2016-06-17,ARI,PHI,8-8,,1,1.0,0,0,0,0,1,0,0,2.35,3,11,7,0,4,1,1,0,1,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.02,0.002,0.01,0.00%,0.49,8b --- 0 out a8,8b 3 out a8,,PHI,0.0,W,10,2,,
12,13,74,2016-06-22,ARI,TOR,6-7,,4,1.2,1,1,1,0,2,1,0,2.89,6,21,14,6,1,2,2,0,1,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.22,-0.048,0.1,-0.01%,-0.21,6b --- 1 out d2,7b 3 out d3,,TOR,0.8333333333333334,L,2,5,,
13,14,76,2016-06-24,ARI,COL,6-7,BS(1),1,1.0,3,2,2,1,1,0,0,4.35,8,26,16,5,1,4,2,0,0,0,,2.0,2.0,0,0,0,7,1,0,1,0,0,1,1.29,-0.34299999999999997,0.61,-0.10%,-3.21,6b 12- 2 out a1,7b 1-- 2 out a3,,COL,4.0,W,10,9,,
14,15,86,2016-07-05,ARI,SDP,GS-5,W(2-0),10,5.0,8,4,4,3,2,0,0,5.28,24,76,48,12,7,11,8,6,1,0,34.0,,,0,0,0,20,2,1,0,2,0,0,1.33,-0.18899999999999997,0.13,-0.01%,-1.35,1t start tie,5t 3 out tie,,ARI,2.2,W,7,5,,
15,16,94,2016-07-19,ARI,TOR,GS-5,L(2-1),13,5.0,6,4,3,1,7,1,0,5.31,22,91,57,14,13,6,8,4,0,0,47.0,,,0,0,0,21,0,0,0,0,0,0,0.78,-0.19,0.03,0.00%,-1.35,1t start tie,5t 3 out d3,,ARI,1.4,L,1,5,,
16,17,98,2016-07-24,ARI,CIN,GS-6,W(3-1),4,5.2,10,5,5,2,3,0,1,5.88,29,88,58,12,8,16,7,5,1,0,30.0,,,1,0,0,26,0,0,0,0,0,0,1.39,-0.244,0.01,0.00%,-2.5,1b start a 1,6b 1-3 2 out a3,,CIN,2.3076923076923075,W,9,8,,
17,18,103,2016-07-29,ARI,LAD,GS-6,,4,6.0,4,3,3,2,4,0,0,5.63,24,84,52,14,12,8,10,7,1,0,54.0,,,0,0,0,22,2,0,0,0,0,0,0.69,-0.107,0.01,0.00%,-0.11,1b start tie,6b 3 out d3,,LAD,1.0,L,7,9,,
18,19,108,2016-08-03,ARI,WSN,GS-6,L(3-2),4,6.0,8,4,4,1,7,2,1,5.68,28,101,66,16,16,10,9,4,1,0,46.0,,,0,0,0,26,1,0,1,0,0,0,1.07,-0.184,0.0,0.00%,-0.82,1t start tie,6t 3 out d3,,ARI,1.5,L,3,8,,
19,20,110,2016-08-06,ARI,MIL,9-GF,,2,0.1,2,1,1,0,0,0,0,5.87,3,11,6,1,1,2,1,1,0,0,,3.0,3.0,0,0,0,3,1,0,0,0,0,0,0.0,-0.001,0.0,0.00%,-3.21,9t 123 2 out d7,9t end d11,,ARI,20.0,L,6,15,,
20,21,114,2016-08-11,ARI,NYM,8-8,,4,1.0,0,0,0,0,0,0,0,5.72,3,15,9,3,1,2,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.01,0.001,0.0,0.00%,0.48,8b --- 0 out a9,8b 3 out a9,,NYM,0.0,W,9,0,,
21,22,115,2016-08-12,ARI,BOS,2-7,,0,5.1,2,1,1,0,4,1,1,5.24,18,67,44,13,7,7,6,4,1,0,,1.0,0.0,0,0,0,17,0,0,0,1,0,0,0.09,0.027999999999999997,0.0,0.00%,1.94,2b 1-- 2 out d6,7b 3 out d6,,BOS,0.3921568627450981,L,4,9,,
