Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,148,2003-09-14,PIT,PHI,2-3,,99,1.1,6,3,2,0,1,0,0,13.50,11,48,28,9,2,5,5,2,1,0,,1,1,0,0,0,11,0,0,0,0,0,1,.19,-0.063,.00,0.00%,-3.14,2t -2- 2 out d6,3t 3 out d9,,PIT,5.454545454545454,L,7,10
2,153,2003-09-19,PIT,CHC,9-GF,,4,0.1,0,0,0,0,0,0,0,10.80,1,5,2,0,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.68,0.019,.00,0.00%,0.24,9t 1-- 2 out d1,9t end d 1,1,PIT,0.0,L,9,10
3,156,2003-09-21,PIT,CHC,7-8,,1,2.0,0,0,0,0,5,0,0,4.91,6,22,19,10,4,1,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.14,0.022,.00,0.00%,1.06,7t --- 0 out d4,8t 3 out d4,,PIT,0.0,L,1,4
4,157,2003-09-23,PIT,NYM,8-8,,1,0.1,0,0,0,0,1,0,0,4.50,1,6,5,0,2,0,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,1.37,0.042,.00,0.00%,0.80,8b 123 1 out d1,8b 123 2 out d1,,NYM,0.0,L,0,1
5,161,2003-09-27,PIT,CHC,7-7,,3,1.0,0,0,0,0,2,0,0,3.60,3,13,9,5,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,.00,0.00%,0.52,7b --- 0 out d6,7b 3 out d6,2,CHC,0.0,L,2,7
6,4,2004-04-09,PIT,CIN,7-7,,99,1.0,0,0,0,1,2,0,0,0.00,4,18,12,3,3,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.09,0.006,.09,0.00%,0.50,7b --- 0 out d4,7b 3 out d4,,CIN,1.0,L,1,5
7,5,2004-04-10,PIT,CIN,7-7,,0,1.0,1,0,0,0,0,0,0,0.00,4,10,7,2,0,2,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.01,0.043,1.03,0.03%,0.50,7b --- 0 out d1,7b 3 out d1,,CIN,1.0,L,1,3
8,8,2004-04-14,PIT,CHC,8-GF(8),,3,1.0,0,0,0,1,2,0,0,0.00,4,16,9,1,6,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.001,.02,0.00%,0.53,8b --- 0 out d5,8b end d 5,,CHC,1.0,L,3,8
9,10,2004-04-16,PIT,NYM,8-8,,1,0.0,2,2,2,0,0,0,0,6.00,2,3,3,1,0,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.50,-0.046,.44,-0.02%,-1.00,8b --- 0 out a5,8b 12- 0 out a5,,NYM,inf,W,7,6
10,12,2004-04-18,PIT,NYM,8-8,,1,0.1,0,0,0,2,0,0,0,5.40,3,12,4,3,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.25,-0.005,.25,0.00%,-0.69,8b --- 0 out a7,8b 1-3 1 out a7,,NYM,20.0,W,8,1
11,13,2004-04-20,PIT,CHC,6-6,,1,1.0,0,0,0,0,2,0,0,4.15,3,9,8,3,1,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,.02,0.00%,0.51,6t --- 0 out d8,6t 3 out d8,,PIT,0.0,L,1,9
12,14,2004-04-21,PIT,CHC,7-7,,0,1.0,2,0,0,0,2,0,0,3.38,5,21,13,2,2,0,3,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.51,7t --- 0 out d12,7t 3 out d12,,PIT,2.0,L,1,12
13,15,2004-04-23,PIT,CIN,7-8,,1,2.0,0,0,0,0,1,0,0,2.45,6,20,15,6,2,4,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.72,0.110,.75,0.07%,1.03,7t --- 0 out d1,8t 3 out d1,,PIT,0.0,L,4,6
14,16,2004-04-24,PIT,CIN,6-6,,0,0.1,1,0,0,0,1,0,0,2.35,2,7,4,1,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.26,-0.002,1.16,0.00%,-0.02,6t --- 0 out d1,6t 1-- 1 out d1,,PIT,10.0,L,7,9
15,18,2004-04-26,PIT,CIN,7-7,,1,1.0,1,2,0,1,1,0,0,2.08,6,27,16,3,2,1,3,1,0,0,,0,0,1,0,0,5,1,0,0,0,0,1,1.00,-0.180,.92,-0.10%,-1.49,7t --- 0 out d1,7t 3 out d3,,PIT,2.0,L,2,5
16,20,2004-04-29,PIT,HOU,7-7,,2,0.0,1,0,0,0,0,0,0,2.08,1,4,2,1,0,0,1,0,0,0,,2,1,0,0,0,1,0,0,0,0,0,0,1.66,-0.076,1.48,-0.04%,-0.78,7t -23 1 out d1,7t 1-3 1 out d2,,PIT,inf,L,0,2
17,21,2004-04-30,PIT,MIL,8-8,H(1),0,0.1,0,0,0,0,0,0,0,2.00,1,2,1,0,0,0,1,0,1,0,,2,0,0,0,0,1,0,0,0,0,0,0,3.25,0.085,2.74,0.04%,0.45,8b 12- 2 out a2,8b 3 out a2,,MIL,0.0,W,4,2
18,22,2004-05-01,PIT,MIL,8-8,BS(1),0,0.2,1,0,0,0,2,0,0,1.86,3,13,10,4,3,0,1,1,0,0,,1,1,0,0,0,3,1,0,0,0,0,0,2.90,-0.183,2.59,-0.10%,-0.46,8b 1-- 1 out a1,8b 3 out tie,,MIL,5.0,W,8,7
19,24,2004-05-04,PIT,HOU,8-GF(8),,2,0.1,0,0,0,0,1,0,0,1.80,1,4,3,1,2,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.05,0.027,1.15,0.02%,0.45,8b 12- 2 out d1,8b end d 1,,HOU,0.0,L,3,4
20,28,2004-05-08,PIT,LAD,9-GF,,3,0.2,0,0,0,1,0,0,0,1.69,2,6,2,0,1,0,1,0,0,0,,2,0,0,1,0,1,0,0,1,0,0,0,1.44,0.103,1.03,0.04%,1.42,9t -23 1 out d1,9t end d 1,,PIT,5.0,L,3,4
21,29,2004-05-09,PIT,LAD,14-14,L(0-1),0,0.2,3,2,2,1,1,1,0,3.18,6,18,11,3,1,2,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.72,-0.424,1.14,-0.17%,-1.99,14t --- 0 out tie,14t 1-3 2 out d2,,PIT,20.0,L,7,9
22,30,2004-05-11,PIT,COL,8-9,BS(2),1,2.0,2,0,0,2,2,0,0,2.70,10,35,19,4,2,4,2,0,1,0,,2,1,0,0,0,6,0,0,1,0,1,0,3.41,0.305,2.07,0.11%,1.52,8b 1-3 0 out a1,9b 3 out tie,,COL,2.0,W,15,10
23,34,2004-05-15,PIT,SFG,7-7,H(2),3,0.1,1,0,0,0,1,0,0,2.63,2,8,4,1,2,0,1,1,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,1.90,-0.044,1.42,-0.02%,-0.63,7b -2- 1 out a3,7b -2- 2 out a2,,SFG,10.0,W,6,4
24,37,2004-05-19,PIT,SDP,9-GF,,3,1.0,4,2,2,0,1,1,0,3.68,7,23,13,3,3,0,6,2,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.22,-0.057,.18,-0.03%,-1.49,9t --- 0 out d2,9t end d 4,2,PIT,4.0,L,3,7
25,39,2004-05-22,PIT,MIL,7-7,H(3),2,1.0,0,0,0,0,0,0,0,3.45,2,3,3,1,0,1,1,0,0,0,,2,0,0,0,0,2,0,0,0,1,0,0,2.50,0.225,2.03,0.11%,1.51,7t 12- 0 out a2,7t 3 out a2,,PIT,0.0,W,3,1
