Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,143,2008-09-08,OAK,DET,8-GF(8),,99,1.0,1,1,1,1,2,1,0,9.00,5,20,12,3,4,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.02,-0.003,.00,0.00%,-0.46,8b --- 0 out d5,8b end d 6,,DET,2.0,L,8,14
2,146,2008-09-11,OAK,TEX,9-GF,,2,1.0,0,0,0,0,1,0,0,4.50,3,8,8,0,3,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,.00,0.00%,0.50,9t --- 0 out d5,9t end d 5,,OAK,0.0,L,1,6
3,147,2008-09-12,OAK,TEX,6-7,,0,0.2,3,1,1,0,0,0,1,6.75,6,23,15,3,0,1,4,4,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.11,-0.007,.00,0.00%,-1.71,6t --3 2 out d6,7t 123 1 out d7,,OAK,15.0,L,0,7
4,152,2008-09-18,OAK,LAA,8-8,,5,1.0,1,0,0,0,1,0,0,4.91,4,14,8,3,1,1,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.05,0.002,.00,0.00%,0.50,8t --- 0 out d6,8t 3 out d6,,OAK,1.0,L,4,6
5,158,2008-09-24,OAK,TEX,6-6,,5,1.0,3,2,2,0,0,0,0,7.71,6,23,12,1,2,2,4,2,0,0,,2,2,0,0,0,6,2,0,0,0,0,0,.01,-0.003,.00,0.00%,-1.96,6b -23 0 out d7,6b 3 out d11,,TEX,3.0,L,4,14
6,29,2009-05-10,OAK,TOR,9-GF,,99,0.1,0,0,0,0,0,0,0,0.00,1,4,2,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.06,0.002,.04,0.00%,0.45,9t 12- 2 out d5,9t end d 5,,OAK,0.0,L,0,5
7,45,2009-05-29,OAK,TEX,8-GF(8),,18,0.1,0,0,0,0,0,0,0,0.00,1,3,2,1,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.15,0.004,.11,0.00%,0.26,8b 1-- 2 out d3,8b end d 3,1,TEX,0.0,L,3,6
8,84,2009-07-10,OAK,TBR,8-GF(8),,41,1.0,0,0,0,0,1,0,0,0.00,3,9,6,1,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.00,0.00%,0.53,8b --- 0 out d6,8b end d 6,,TBR,0.0,L,0,6
9,108,2009-08-06,OAK,TEX,9-GF,,26,1.0,0,0,0,0,1,0,0,0.00,3,9,6,0,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.12,0.009,.00,0.00%,0.53,9t --- 0 out d3,9t end d 3,,OAK,0.0,L,4,6
10,109,2009-08-07,OAK,KCR,9-GF,,0,1.0,1,0,0,0,0,0,0,0.00,4,17,11,4,0,1,3,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.24,0.008,.00,0.00%,0.53,9b --- 0 out a5,9b end a 5,,KCR,1.0,W,9,4
11,112,2009-08-10,OAK,BAL,9-GF,,2,1.0,2,1,1,0,0,1,0,1.93,4,8,6,1,1,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.02,0.000,.00,0.00%,-0.45,9b --- 0 out a9,9b end a 8,,BAL,2.0,W,9,1
12,116,2009-08-15,OAK,CHW,8-8,,4,1.0,0,0,0,0,0,0,1,1.59,4,17,8,1,2,1,2,0,2,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.002,.00,0.00%,0.53,8t --- 0 out d6,8t 3 out d6,,OAK,0.0,L,1,8
13,119,2009-08-18,OAK,NYY,8-GF,,2,2.0,1,0,0,0,3,0,0,1.17,7,23,14,3,4,3,1,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.05,0.006,.00,0.00%,1.06,8t --- 0 out d5,9t end d 5,,OAK,0.5,L,2,7
14,123,2009-08-23,OAK,DET,9-GF,,4,1.0,0,0,0,0,0,0,0,1.04,3,10,6,3,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.09,0.007,.00,0.00%,0.53,9t --- 0 out a5,9t end a 5,,OAK,0.0,W,9,4
15,124,2009-08-24,OAK,SEA,6-7,,0,1.2,3,0,0,0,0,0,0,0.87,8,32,20,6,0,3,5,2,2,0,,0,0,0,0,0,8,0,0,0,0,0,0,.47,0.034,.00,0.00%,0.58,6b --- 0 out d2,7b 12- 2 out d2,,SEA,2.5,L,1,3
16,126,2009-08-26,OAK,SEA,6-7,,1,2.0,1,1,0,0,3,0,0,0.73,8,30,20,4,7,4,1,0,0,0,,0,0,0,0,0,8,0,0,0,0,0,1,.67,-0.026,.00,0.00%,0.02,6b --- 0 out d1,7b 3 out d2,,SEA,0.5,L,3,5
17,129,2009-08-29,OAK,LAA,6-6,,2,1.0,1,0,0,0,1,0,0,0.68,5,19,12,6,1,3,1,0,0,0,,0,0,0,0,0,5,1,0,0,0,0,1,.43,0.019,.00,0.00%,0.54,6b --- 0 out d3,6b 3 out d3,,LAA,1.0,W,4,3
18,132,2009-09-01,OAK,KCR,6-8,,2,2.0,2,1,1,2,1,0,0,1.17,10,31,19,6,2,2,5,2,1,0,,2,2,0,0,0,8,0,0,0,0,0,0,1.33,-0.200,.00,0.00%,-1.32,6t 12- 0 out tie,8t 1-- 0 out d2,,OAK,2.0,L,3,4
19,134,2009-09-03,OAK,SEA,9-GF,,1,1.0,2,1,1,1,1,0,0,1.65,6,16,9,2,1,4,0,0,0,0,,0,0,0,0,0,3,0,0,1,0,0,0,.50,-0.034,.00,0.00%,-0.47,9t --- 0 out d2,9t end d 3,,OAK,3.0,L,4,7
20,135,2009-09-04,OAK,SEA,9-GF,,0,1.0,1,1,1,0,1,1,0,2.08,5,15,11,2,3,2,2,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,1,.23,-0.034,.00,0.00%,-0.47,9t --- 0 out d2,9t end d 3,,OAK,1.0,L,3,6
21,139,2009-09-09,OAK,CHW,4-5,,4,1.1,2,0,0,0,1,0,0,1.93,6,20,15,5,0,2,3,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.83,0.050,.00,0.00%,0.56,4b --- 0 out d1,5b 1-- 1 out d1,,CHW,1.8181818181818181,L,3,4
22,140,2009-09-11,OAK,MIN,9-GF,,1,0.2,1,0,0,0,0,0,0,1.86,2,3,3,0,1,1,1,0,0,0,,2,1,0,0,0,2,0,0,0,1,0,0,.07,0.001,.00,0.00%,0.22,9b 1-3 1 out a8,9b end a 7,,MIN,5.0,W,12,5
23,147,2009-09-18,OAK,CLE,7-7,H(1),6,1.0,0,0,0,0,3,0,0,1.77,3,14,9,0,4,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.95,0.074,.00,0.00%,0.53,7t --- 0 out a2,7t 3 out a2,,OAK,0.0,W,2,1
24,148,2009-09-19,OAK,CLE,6-7,,0,0.2,3,0,0,0,0,0,0,1.71,5,20,12,2,1,4,1,1,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.53,-0.026,.00,0.00%,-0.46,6t 1-- 1 out a5,7t 12- 0 out a5,,OAK,15.0,W,8,4
25,150,2009-09-21,OAK,TEX,7-7,,1,1.0,3,2,2,0,1,0,0,2.45,6,23,15,6,2,2,3,1,0,0,,0,0,0,0,0,6,0,1,0,0,0,0,.17,-0.022,.00,0.00%,-1.47,7t --- 0 out d5,7t 3 out d7,,OAK,3.0,L,3,10
26,152,2009-09-23,OAK,TEX,6-6,,1,1.0,2,1,1,1,0,0,0,2.74,6,26,14,3,2,5,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.73,-0.057,.00,0.00%,-0.47,6t --- 0 out d2,6t 3 out d3,,OAK,3.0,L,8,9
27,157,2009-09-29,OAK,SEA,7-7,,5,1.0,1,0,0,0,1,0,0,2.63,4,16,10,0,2,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.05,0.003,.00,0.00%,0.51,7b --- 0 out d5,7b 3 out d5,,SEA,1.0,L,4,6
28,158,2009-09-30,OAK,SEA,4-4,,0,1.0,1,1,1,0,0,1,0,2.88,4,14,9,1,2,3,1,0,0,0,,0,0,0,0,0,4,0,0,0,1,0,1,.14,-0.010,.00,0.00%,-0.49,4b --- 0 out d6,4b 3 out d7,,SEA,1.0,L,0,7
29,162,2009-10-04,OAK,LAA,4-5,BL(0-1),3,1.1,3,3,3,0,1,0,1,3.76,8,20,15,4,1,3,3,2,0,0,,1,0,0,0,0,7,1,0,0,0,0,0,1.64,-0.204,.00,0.00%,-1.44,4t 1-- 1 out a1,5t 1-3 2 out d1,,OAK,2.727272727272727,L,3,5
30,8,2010-04-14,CHC,MIL,8-8,W(1-0),99,1.0,3,2,2,1,0,0,0,18.00,6,15,7,0,1,3,2,0,0,0,,0,0,0,0,0,5,0,2,0,1,0,0,.79,-0.168,.76,-0.10%,-1.49,8t --- 0 out d1,8t 3 out d3,,CHC,4.0,W,7,6
31,11,2010-04-17,CHC,HOU,4-5,,2,2.0,1,1,1,0,0,1,0,9.00,8,28,17,7,0,5,3,0,0,0,,0,0,0,0,0,8,0,0,0,0,0,1,.48,-0.018,.48,-0.01%,0.02,4t --- 0 out d2,5t 3 out d3,,CHC,0.5,L,3,4
32,14,2010-04-20,CHC,NYM,7-7,,2,1.0,1,0,0,1,0,0,1,6.75,5,18,10,4,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.63,0.022,.50,0.01%,0.47,7b --- 0 out d2,7b 3 out d2,,NYM,2.0,L,0,4
33,16,2010-04-22,CHC,NYM,7-7,,1,1.0,1,0,0,0,1,0,0,5.40,3,11,8,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.20,0.011,.16,0.01%,0.47,7b --- 0 out d3,7b 3 out d3,,NYM,1.0,L,2,5
34,23,2010-04-29,CHC,ARI,6-7,,6,1.1,2,2,2,1,2,0,0,7.11,7,23,13,3,3,2,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.15,0.005,.13,0.00%,0.10,6t --- 0 out d5,7t 12- 1 out d5,,CHC,2.727272727272727,L,5,13
35,25,2010-05-01,CHC,ARI,6-6,,1,1.0,1,0,0,0,1,0,0,6.14,4,15,8,2,1,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.89,0.038,.82,0.02%,0.51,6t --- 0 out d2,6t 3 out d2,,CHC,1.0,W,7,5
