Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,22,2014-04-24,NYY,BOS,7-7,,99,0.1,0,3,0,3,1,0,0,0.00,5,22,8,2,1,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,1,.05,-0.006,.07,-0.01%,-2.07,7b --- 0 out a10,7b 123 1 out a9,,BOS,30.0,W,14,5,,
2,88,2014-07-07,NYY,CLE,GS-6,W(1-0),73,6.0,4,2,2,0,2,1,1,2.84,22,88,56,19,3,11,8,2,2,0,58,,,0,1,0,21,0,0,0,0,0,0,.60,0.129,.72,0.09%,0.87,1b start tie,6b 3 out a3,,CLE,0.6666666666666666,W,5,3,,
3,93,2014-07-12,NYY,BAL,GS-8,W(2-0),4,7.1,4,0,0,2,9,0,0,1.32,27,106,65,19,15,10,6,4,1,0,77,,,1,0,0,25,0,0,0,1,0,0,1.26,0.458,1.94,0.42%,3.58,1b start tie,8b --- 1 out a3,,BAL,0.8450704225352114,W,3,0,,
4,98,2014-07-21,NYY,TEX,GS-6,L(2-1),8,5.2,5,4,4,1,5,0,1,2.79,26,113,73,15,13,12,7,5,0,0,47,,,0,1,0,24,1,0,0,0,0,2,1.23,-0.006,1.65,-0.01%,0.37,1t start tie,6t 12- 2 out tie,,NYY,1.1538461538461537,L,2,4,,
5,104,2014-07-27,NYY,TOR,GS-6,,5,5.1,8,3,3,2,2,1,0,3.28,24,86,56,14,7,11,9,5,1,0,40,,,1,0,0,22,2,0,0,1,0,0,.99,-0.199,1.81,-0.22%,-0.87,1t start tie,6t -2- 1 out d1,,NYY,1.9607843137254903,L,4,5,,
6,109,2014-08-02,NYY,BOS,GS-5,,5,4.2,6,3,3,2,5,1,0,3.68,22,96,52,22,3,6,9,3,1,0,43,,,0,0,0,20,0,0,0,0,0,0,.97,-0.076,.97,-0.05%,-1.01,1b start tie,5b 12- 2 out a2,,BOS,1.9047619047619047,W,6,4,,
7,114,2014-08-07,NYY,DET,GS-9,W(3-1),4,8.0,5,0,0,3,5,0,0,2.89,30,99,64,22,9,14,8,5,0,0,74,,,0,0,0,27,0,0,0,2,0,0,1.21,0.447,1.66,0.37%,3.34,1t start tie,9t 1-- 0 out a1,,NYY,1.0,W,1,0,,
8,121,2014-08-16,NYY,TBR,GS-7,,8,6.0,7,2,2,1,10,0,1,2.91,27,102,68,20,17,6,9,8,1,0,59,,,0,0,0,25,1,0,0,0,0,0,1.34,0.019,1.10,0.01%,0.73,1b start tie,7b 12- 0 out a1,,TBR,1.3333333333333333,W,3,2,,
9,126,2014-08-22,NYY,CHW,GS-6,,5,5.0,9,3,3,2,7,1,1,3.17,25,92,61,17,11,7,8,4,0,0,42,,,0,0,0,22,0,0,0,2,0,0,.96,-0.230,.64,-0.09%,-1.65,1t start tie,6t 12- 0 out tie,,NYY,2.2,W,4,3,,
10,131,2014-08-27,NYY,DET,GS-7,W(4-1),4,7.0,5,2,2,1,8,1,1,3.09,29,101,69,22,12,9,10,3,1,0,66,,,0,0,0,27,1,0,0,0,0,1,.40,0.123,.41,0.08%,1.28,1b start tie,7b 3 out a6,,DET,0.8571428571428571,W,8,4,,
