Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,1,2009-04-06,SDP,LAD,9-GF,,99,1.0,1,0,0,1,2,0,0,0.00,5,22,17,5,3,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.19,0.006,.21,0.00%,0.45,9t --- 0 out d3,9t end d 3,,SDP,2.0,L,1,4,,
2,3,2009-04-08,SDP,LAD,8-8,,1,1.0,0,0,0,1,0,0,0,0.00,4,15,8,1,2,1,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.28,0.012,.29,0.01%,0.45,8t --- 0 out d3,8t 3 out d3,,SDP,1.0,L,2,5,,
3,5,2009-04-10,SDP,SFG,6-6,H(1),1,1.0,0,0,0,0,1,0,0,0.00,2,6,5,0,3,1,0,0,0,0,,3,0,0,0,0,2,0,0,0,1,0,0,3.40,0.321,3.60,0.20%,2.27,6t 123 0 out a2,6t 3 out a2,,SDP,0.0,W,7,3,,
4,7,2009-04-12,SDP,SFG,8-GF,,1,2.0,2,0,0,0,1,0,0,0.00,7,21,16,3,2,3,3,2,0,0,,0,0,0,0,0,7,1,0,0,1,0,0,.15,0.015,.18,0.01%,0.90,8t --- 0 out a5,9t end a 5,,SDP,1.0,W,6,1,,
5,9,2009-04-15,SDP,NYM,6-7,,2,1.0,0,2,2,2,1,0,0,3.00,5,17,6,3,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.74,-0.022,.87,-0.02%,-0.50,6b --- 0 out d1,7b 12- 0 out d1,,NYM,2.0,L,2,7,,
6,11,2009-04-17,SDP,PHI,6-6,,1,1.0,0,0,0,0,1,0,0,2.57,3,13,7,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.38,0.029,.44,0.02%,0.50,6b --- 0 out d2,6b 3 out d2,,PHI,0.0,W,8,7,,
7,12,2009-04-18,SDP,PHI,6-6,BS(1),0,1.0,1,1,1,0,2,1,0,3.38,4,18,14,1,5,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.14,-0.107,1.35,-0.08%,-0.50,6b --- 0 out a1,6b 3 out tie,,PHI,1.0,W,8,5,,
8,15,2009-04-22,SDP,SFG,8-9,,3,2.0,0,0,0,0,3,0,0,2.70,6,20,18,3,6,3,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.62,0.246,2.06,0.19%,1.02,8b --- 0 out tie,9b 3 out tie,,SFG,0.0,L,0,1,,
9,16,2009-04-24,SDP,PIT,8-8,,1,1.0,1,0,0,0,0,0,0,2.45,4,14,10,3,0,1,3,0,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.72,0.100,2.00,0.07%,0.45,8t --- 0 out tie,8t 3 out tie,,SDP,1.0,W,4,3,,
10,19,2009-04-27,SDP,COL,7-7,,2,1.0,2,0,0,0,1,0,0,2.25,5,14,9,1,3,4,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.12,0.008,.14,0.01%,0.56,7b --- 0 out d4,7b 3 out d4,,COL,2.0,L,7,12,,
11,20,2009-04-28,SDP,COL,7-7,BS(2),0,1.0,4,2,2,0,1,0,0,3.46,6,15,14,2,4,3,2,2,0,0,,0,0,0,0,0,6,0,0,0,1,0,0,2.42,-0.354,2.65,-0.23%,-1.44,7b --- 0 out a1,7b 3 out d1,,COL,4.0,W,4,3,,
12,22,2009-04-30,SDP,LAD,7-7,BL(0-1),1,0.1,4,2,2,1,1,0,0,4.73,6,16,9,0,1,0,4,3,0,0,,0,0,0,0,0,5,0,0,1,0,0,0,2.56,-0.519,3.11,-0.38%,-3.07,7b --- 0 out a1,7b 123 1 out d1,,LAD,50.0,L,5,8,,
13,24,2009-05-02,SDP,LAD,10-GF(10),L(0-2),1,0.0,3,1,1,1,0,0,0,5.40,4,18,7,2,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,1,0,0,0,2.59,-0.368,3.04,-0.26%,-2.83,10b --- 0 out tie,10b end d 1,,LAD,inf,L,1,2,,
14,26,2009-05-04,SDP,COL,8-8,,1,1.0,0,0,0,0,1,0,0,5.02,3,8,5,1,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.16,0.012,.14,0.01%,0.45,8t --- 0 out d3,8t 3 out d3,,SDP,0.0,L,6,9,,
