Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,36,2000-05-11,FLA,ATL,GS-7,W(1-0),99,6.2,11,4,4,2,3,0,2,5.40,35,107,66,12,7,17,11,7,1,0,37,,,1,0,0,29,2,0,0,0,0,0,1.48,-0.039,1.70,-0.03%,-0.65,1t start tie,7t -2- 2 out a1,,FLA,2.096774193548387,W,5,4
2,4,2001-04-06,FLA,ATL,GS-6,L(0-1),99,5.2,6,3,3,3,4,0,0,4.76,26,97,61,11,16,7,12,4,1,0,46,,,0,0,0,23,0,0,0,0,0,0,1.30,-0.085,1.11,-0.04%,-0.48,1t start tie,6t 1-3 2 out d3,,FLA,1.7307692307692306,L,5,7
3,11,2001-04-15,FLA,MON,GS-6,W(1-1),8,5.0,5,2,2,1,6,1,1,4.22,20,66,46,13,6,6,6,1,1,0,54,,,0,0,0,18,0,0,0,1,0,0,1.07,-0.049,.93,-0.03%,-0.19,1b start a 1,6b 123 0 out a3,,MON,1.2,W,6,3
4,16,2001-04-20,FLA,MON,GS-7,W(2-1),4,7.0,3,1,1,2,1,1,0,3.06,24,90,52,11,5,8,13,2,1,0,66,,,0,0,0,22,1,0,0,2,0,0,.84,0.290,.80,0.17%,2.53,1t start tie,7t 3 out a2,,FLA,0.7142857142857143,W,5,1
5,21,2001-04-25,FLA,ARI,GS-5,L(2-2),4,4.0,10,9,9,1,3,2,1,6.23,23,77,43,12,7,3,15,8,1,0,8,,,0,0,0,20,0,0,0,0,0,0,1.29,-0.614,.97,-0.28%,-5.58,1b start tie,5b 123 0 out d1,,ARI,2.75,L,7,10
6,25,2001-05-01,FLA,STL,GS-4,,5,4.0,5,3,3,4,2,2,0,6.31,18,68,37,10,5,3,9,3,2,0,38,,,0,1,0,14,2,0,0,2,0,0,1.01,-0.126,.82,-0.06%,-0.98,1t start tie,4t 3 out d3,,FLA,2.25,W,4,3
7,141,2001-09-07,FLA,NYM,9-GF,,99,1.0,1,0,0,0,1,0,0,6.08,4,12,9,1,3,0,3,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.03,0.002,.00,0.00%,0.51,9t --- 0 out d5,9t end d 5,,FLA,1.0,L,1,6
8,126,2004-08-27,CHW,CLE,GS-5,L(0-1),99,5.0,5,6,5,3,3,1,0,9.00,22,95,52,18,6,7,9,2,2,0,35,,,0,1,0,18,0,0,0,0,1,0,.72,-0.327,.32,-0.09%,-3.36,1b start tie,5b 3 out d3,,CLE,1.6,L,3,6
9,131,2004-09-01,CHW,OAK,GS-7,,4,6.0,10,4,4,3,2,0,1,7.36,29,101,64,14,5,7,16,8,2,0,35,,,0,0,0,25,3,0,0,2,0,0,.88,-0.119,.22,-0.02%,-0.91,1t start tie,7t 1-3 0 out d2,,CHW,2.1666666666666665,W,5,4
10,136,2004-09-06,CHW,TEX,GS-6,W(1-1),4,5.2,8,3,3,3,3,2,0,6.48,29,107,65,19,7,12,11,1,2,0,41,,,1,0,0,26,0,0,0,0,0,1,1.25,0.020,.29,0.00%,0.50,1b start tie,6b --- 2 out a1,,TEX,2.1153846153846154,W,7,4
11,141,2004-09-11,CHW,ANA,GS-6,W(2-1),4,5.0,9,5,5,1,1,1,0,7.06,24,96,60,18,4,11,11,6,0,0,29,,,1,0,0,23,0,0,0,0,0,0,.44,-0.060,.06,-0.01%,-2.67,1b start tie,6b 1-- 0 out a6,,ANA,2.0,W,13,6
12,146,2004-09-17,CHW,DET,GS-7,,5,6.1,4,4,4,3,5,3,0,6.75,25,105,63,21,8,7,10,4,3,0,51,,,0,0,0,22,0,0,0,1,0,0,.94,0.055,.00,0.00%,-0.30,1t start tie,7t --- 1 out a2,,CHW,1.1475409836065575,L,10,11
13,151,2004-09-22,CHW,MIN,GS-6,,4,5.1,7,6,6,0,4,2,1,7.29,24,97,68,16,9,7,12,3,1,0,34,,,1,0,0,23,2,0,0,0,0,0,1.06,-0.370,.00,0.00%,-2.87,1t start tie,6t --- 1 out d3,,CHW,1.3725490196078431,W,7,6
14,156,2004-09-27,CHW,DET,CG(8),L(2-2),4,8.0,3,4,4,2,6,1,0,6.75,29,103,64,15,10,8,13,2,4,0,64,,,0,0,0,26,0,1,0,0,0,0,.70,-0.150,.00,0.00%,0.22,1b start tie,8b 3 out d2,,DET,0.625,L,2,4
15,161,2004-10-02,CHW,KCR,GS-4,L(2-3),4,3.2,6,6,6,5,2,1,1,7.40,21,86,43,12,3,6,7,3,0,0,22,,,0,1,0,14,1,1,0,1,0,0,.81,-0.372,.00,0.00%,-4.08,1b start a 1,4b -2- 2 out d5,,KCR,3.4375,L,2,10
16,149,2005-09-19,DET,KCR,6-7,,99,2.0,4,1,1,0,1,0,0,4.50,9,33,20,3,3,4,4,4,0,0,,0,0,0,0,0,9,1,0,0,0,0,0,.13,-0.014,.00,0.00%,0.05,6b --- 0 out d4,7b 3 out d5,,KCR,2.0,L,4,10
17,154,2005-09-24,DET,SEA,GS-7,W(1-0),4,7.0,2,1,1,4,4,0,0,2.00,25,97,61,13,7,8,9,4,1,0,69,,,1,0,0,21,0,0,0,2,0,0,1.27,0.335,.00,0.00%,2.59,1t start tie,7t 3 out a2,,DET,0.8571428571428571,W,7,1
18,159,2005-09-29,DET,CHW,GS-8,L(1-1),4,7.0,8,4,4,2,0,1,0,3.38,29,83,54,16,1,12,15,3,2,0,43,,,0,1,0,25,2,1,0,1,1,0,.61,-0.148,.00,0.00%,-0.80,1t start tie,8t 1-- 0 out d3,,DET,1.4285714285714286,L,2,4
19,4,2006-04-07,DET,TEX,6-7,,99,1.1,1,1,1,1,1,0,0,6.75,6,25,15,4,1,2,2,1,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.62,0.051,.69,0.03%,0.66,6b 1-- 1 out a4,7b 12- 2 out a4,,TEX,1.8181818181818181,W,5,2
20,9,2006-04-13,DET,CHW,3-5,,5,2.1,5,3,3,1,3,0,0,9.82,12,45,31,12,3,2,6,4,1,0,,1,1,0,0,0,11,2,2,0,0,0,0,.23,-0.071,.28,-0.05%,-2.55,3t -2- 2 out d5,5t 3 out d7,,DET,2.857142857142857,L,9,13
21,13,2006-04-17,DET,CLE,3-7,,3,4.0,4,2,2,2,0,0,1,7.04,18,61,39,12,1,4,11,2,4,0,,2,0,0,0,0,15,1,0,0,0,0,0,.15,0.010,.19,0.01%,0.21,3t 12- 1 out d6,7t 12- 1 out d7,,DET,1.5,L,2,10
22,22,2006-04-26,DET,LAA,7-8,,8,1.0,0,0,0,1,0,0,0,6.23,3,8,4,1,0,2,0,0,0,0,,3,0,0,0,0,2,0,0,0,1,0,0,.22,0.025,.26,0.02%,2.01,7b 123 0 out d4,8b 1-- 0 out d4,,LAA,1.0,L,0,4
23,24,2006-04-29,DET,MIN,9-GF,,2,1.0,1,0,0,1,0,0,0,5.59,5,16,10,4,0,3,1,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.55,9t --- 0 out a17,9t end a17,,DET,2.0,W,18,1
24,29,2006-05-04,DET,LAA,8-8,,4,1.0,0,0,0,0,0,0,0,5.06,3,8,4,0,0,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.003,.04,0.00%,0.55,8t --- 0 out d6,8t 3 out d6,,DET,0.0,L,2,7
25,30,2006-05-05,DET,MIN,6-6,H(1),0,1.0,2,1,1,0,0,0,0,5.40,5,17,13,3,0,4,1,0,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,2.01,-0.045,2.70,-0.04%,-0.46,6b --- 0 out a2,6b 3 out a1,,MIN,2.0,W,9,6
26,33,2006-05-09,DET,BAL,6-6,H(2),3,0.2,0,0,0,0,1,0,0,5.11,2,12,7,1,1,1,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,2.09,0.121,2.72,0.10%,0.72,6b -2- 1 out a1,6b 3 out a1,,BAL,0.0,L,6,7
27,37,2006-05-14,DET,CLE,7-8,H(3),4,1.0,1,1,1,1,0,0,0,5.40,5,21,13,4,0,1,3,1,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.38,0.008,1.97,0.01%,0.15,7b --- 0 out a2,8b 1-- 0 out a2,,CLE,2.0,W,3,2
28,40,2006-05-18,DET,MIN,6-7,H(4),3,1.1,1,0,0,1,1,0,0,4.91,6,19,12,3,1,2,2,1,0,0,,3,1,0,0,0,5,0,0,0,0,0,0,1.52,0.071,2.00,0.06%,0.36,6t 123 2 out a4,7t 3 out a3,,DET,1.8181818181818181,W,5,3
29,42,2006-05-20,DET,CIN,8-8,,1,1.0,0,0,0,0,0,0,0,4.60,3,8,6,2,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.75,0.058,.94,0.04%,0.55,8t --- 0 out d1,8t 3 out d1,,DET,0.0,W,7,6
30,47,2006-05-25,DET,KCR,6-6,,4,0.1,1,0,0,0,0,0,0,4.50,2,7,4,1,0,0,2,1,1,0,,1,1,0,0,0,2,1,0,0,0,0,0,.60,-0.064,.61,-0.04%,-0.75,6b 1-- 2 out d2,6b 3 out d3,,KCR,10.0,W,13,8
31,48,2006-05-26,DET,CLE,7-8,,0,2.0,0,0,0,0,1,0,0,4.00,6,21,16,2,7,5,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.31,0.047,.34,0.03%,1.11,7t --- 0 out a4,8t 3 out a5,,DET,0.0,W,8,3
32,51,2006-05-29,DET,NYY,9-GF,,2,0.1,1,0,0,1,0,0,0,3.93,3,12,5,0,0,0,2,1,0,0,,0,0,0,0,0,2,1,0,1,0,0,0,.09,0.001,.10,0.00%,0.12,9t --- 2 out d4,9t end d 4,,DET,20.0,L,0,4
33,52,2006-05-30,DET,NYY,5-6,,0,1.0,0,0,0,0,0,0,1,3.72,4,15,9,2,0,1,2,0,0,0,,2,1,0,0,0,2,0,0,0,0,1,0,.67,0.004,.78,0.00%,0.45,5t -23 1 out d4,6t 1-- 1 out d2,,DET,0.0,L,6,11
34,57,2006-06-04,DET,BOS,8-8,,4,0.0,0,1,1,3,0,0,1,4.19,4,21,6,3,2,0,0,0,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,1.01,-0.133,1.27,-0.10%,-3.34,8t 12- 2 out d2,8t 123 2 out d5,,DET,inf,L,3,8
35,63,2006-06-11,DET,TOR,6-7,,6,1.0,4,1,1,1,0,1,0,4.43,8,37,24,5,3,2,5,1,1,0,,0,0,0,0,0,7,1,0,0,0,0,0,1.01,-0.152,1.38,-0.12%,-1.46,6b --- 0 out a4,7b 12- 0 out a3,,TOR,5.0,W,10,5
36,65,2006-06-13,DET,TBD,9-GF,,1,1.0,0,0,0,0,0,0,0,4.22,3,12,10,2,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,.04,0.00%,0.55,9t --- 0 out a6,9t end a 6,,DET,0.0,W,7,1
37,70,2006-06-18,DET,CHC,9-GF,,4,1.0,1,1,1,0,0,1,0,4.43,4,11,7,3,0,3,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,.00,0.00%,-0.44,9b --- 0 out a10,9b end a 9,,CHC,1.0,W,12,3
38,75,2006-06-24,DET,STL,8-9,,5,1.1,1,0,0,0,0,0,0,4.18,4,12,6,1,0,0,4,1,1,0,,3,0,0,1,0,4,0,0,0,0,0,0,.54,0.064,.46,0.03%,1.36,8t 123 2 out d2,9t 3 out d2,,DET,0.9090909090909091,W,7,6
39,77,2006-06-26,DET,HOU,9-GF,,1,1.0,0,0,0,0,1,0,0,4.01,3,11,7,4,0,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,.03,0.00%,0.55,9t --- 0 out a6,9t end a 6,,DET,0.0,W,10,4
40,79,2006-06-28,DET,HOU,9-GF,,1,1.0,1,0,0,0,0,0,0,3.86,4,15,9,2,2,3,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.09,0.007,.06,0.00%,0.55,9t --- 0 out a5,9t end a 5,,DET,1.0,W,5,0
41,81,2006-07-01,DET,PIT,6-7,L(0-1),2,1.1,3,2,1,0,2,0,0,4.00,7,35,23,7,3,5,0,0,0,0,,0,0,0,0,0,7,0,0,0,1,0,1,1.92,-0.038,1.15,-0.01%,-0.16,6b --- 0 out tie,7b 1-3 1 out tie,,PIT,2.727272727272727,L,2,9
42,83,2006-07-03,DET,OAK,8-GF(8),,1,1.0,0,0,0,1,0,0,0,3.86,4,15,10,4,1,1,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.21,0.016,.14,0.01%,0.54,8b --- 0 out d2,8b end d 2,,OAK,1.0,L,3,5
43,87,2006-07-08,DET,SEA,7-7,H(5),4,0.2,1,0,0,0,0,0,0,3.77,3,6,5,2,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.43,0.058,.77,0.02%,0.29,7b --- 0 out a1,7b 1-- 2 out a1,,SEA,5.0,W,2,1
44,89,2006-07-13,DET,KCR,6-6,H(6),4,0.1,0,0,0,0,0,0,0,3.72,1,4,2,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,2.25,0.060,1.28,0.02%,0.47,6t 12- 2 out a2,6t 3 out a2,,DET,0.0,W,6,4
45,92,2006-07-16,DET,KCR,8-GF,,2,1.1,1,0,0,0,1,0,0,3.56,5,21,15,6,0,2,2,2,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,.12,0.012,.05,0.00%,1.02,8t 12- 2 out d6,9t end d 3,,DET,0.9090909090909091,L,6,9
46,93,2006-07-18,DET,CHW,7-GF,,1,2.1,1,1,1,0,5,1,0,3.58,8,36,25,8,7,1,2,0,0,0,,2,2,0,0,0,8,0,0,0,0,0,0,.12,-0.088,.08,-0.03%,-1.36,7t 1-3 2 out d3,9t end d 6,,DET,0.47619047619047616,L,1,7
47,100,2006-07-25,DET,CLE,6-GF(8),,6,3.0,3,4,4,2,4,1,0,4.29,14,51,29,10,5,1,6,1,0,1,,0,0,0,0,0,12,1,1,0,0,0,0,.47,-0.168,.15,-0.03%,-2.36,6b --- 0 out d1,8b end d 5,,CLE,1.6666666666666667,L,7,12
48,106,2006-08-01,DET,TBD,6-7,,6,1.2,0,0,0,1,1,0,1,4.10,7,26,15,5,1,0,4,1,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.30,0.026,.10,0.01%,0.85,6b --- 0 out a6,7b 1-- 2 out a6,,TBD,0.8333333333333334,W,10,4
