,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,41,2011-05-15,LAN,ARI,9-GF,,99,1.0,1,0,0,0,1,0,0,0.0,3,12,8,1,3,1,1,0,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,0.09,0.006,0.09,0.00%,0.44,9t --- 0 out d3,9t end d 3,,LAD,1.0,L,1,4,,
1,2,44,2011-05-18,LAN,SFG,7-7,,2,1.0,1,0,0,0,1,0,0,0.0,4,12,7,3,1,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.23,0.016,0.25,0.01%,0.44,7t --- 0 out d3,7t 3 out d3,,LAD,1.0,L,5,8,,
2,3,45,2011-05-19,LAN,SFG,7-7,,0,1.0,0,0,0,0,1,0,0,0.0,3,16,10,1,3,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.22,0.016,0.21,0.01%,0.44,7t --- 0 out d3,7t 3 out d3,,LAD,0.0,L,1,3,,
3,4,48,2011-05-22,LAN,CHW,7-8,,2,1.0,2,2,2,2,0,0,1,4.5,8,34,16,5,2,2,3,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,0.14,-0.016,0.09,-0.01%,-2.13,7b --- 1 out d3,8b 12- 1 out d5,,CHW,4.0,L,3,8,,
4,5,50,2011-05-24,LAN,HOU,9-GF,S(1),1,1.0,0,0,0,0,1,0,0,3.6,3,8,8,1,3,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.48,0.183,1.36,0.06%,0.45,9b --- 0 out a1,9b end a 1,,HOU,0.0,W,5,4,,
5,6,51,2011-05-25,LAN,HOU,8-8,,0,1.0,0,0,0,0,0,0,0,3.0,3,10,7,1,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.37,0.1,0.9,0.04%,0.45,8b --- 0 out tie,8b 3 out tie,,HOU,0.0,L,1,2,,
6,7,55,2011-05-30,LAN,COL,9-GF,,4,1.0,2,0,0,0,1,0,0,2.57,5,17,9,3,1,2,2,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.04,0.002,0.03,0.00%,0.44,9t --- 0 out a6,9t end a 6,,LAD,2.0,W,7,1,,
7,8,59,2011-06-04,LAN,CIN,10-11,W(1-0),4,1.1,2,1,1,1,1,0,0,3.24,7,37,23,6,2,3,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,2.21,0.13,1.27,0.05%,0.03,10b --- 0 out tie,11b --3 1 out a4,,CIN,2.727272727272727,W,11,8,,
8,9,62,2011-06-07,LAN,PHI,9-GF,,2,1.0,0,0,0,0,0,0,0,2.89,3,15,8,2,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.21,0.016,0.13,0.01%,0.46,9b --- 0 out a4,9b end a 4,,PHI,0.0,W,6,2,,
9,10,65,2011-06-10,LAN,COL,8-GF(8),,2,1.0,3,0,0,0,0,0,0,2.61,5,19,12,1,1,1,4,3,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,0.02,0.001,0.01,0.00%,0.55,8b --- 0 out d6,8b end d 6,,COL,3.0,L,5,6,,
