Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,135,2018-09-01,TOR,MIA,6-7,,99,2.0,1,0,0,0,1,0,0,0.00,7,27,17,4,2,4,2,1,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.05,0.007,.00,0.00%,0.91,5.90,9.00,6b --- 0 out d5,7b 3 out d5,,MIA,0.5,L,3,6
2,137,2018-09-03,TOR,TBR,7-7,,1,1.0,1,1,1,0,1,1,0,3.00,4,13,9,2,1,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.07,-0.011,.00,0.00%,-0.50,1.65,3.00,7t --- 0 out d5,7t 3 out d6,,TOR,1.0,L,1,7
3,138,2018-09-04,TOR,TBR,9-GF,,0,1.0,1,0,0,0,0,0,0,2.25,4,13,9,1,1,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.06,0.004,.00,0.00%,0.50,1.65,3.00,9t --- 0 out d4,9t end d 4,,TOR,1.0,L,0,4
4,142,2018-09-08,TOR,CLE,9-GF,,3,1.0,0,0,0,0,1,0,0,1.80,3,10,7,2,2,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.50,0.038,.00,0.00%,0.50,4.25,6.00,9t --- 0 out d1,9t end d 1,,TOR,0.0,L,8,9
5,144,2018-09-11,TOR,BOS,8-GF(8),,2,0.1,0,0,0,0,0,0,0,1.69,1,6,3,1,0,0,1,0,0,0,,2,1,1,0,0,1,0,0,0,0,0,0,.14,-0.006,.00,0.00%,-0.48,0.75,1.00,8b 1-3 2 out d4,8b end d 5,,BOS,0.0,L,2,7
6,147,2018-09-14,TOR,NYY,3-4,,2,1.1,3,0,0,2,1,0,0,1.35,9,37,22,7,3,4,2,2,0,0,,2,2,0,0,0,7,0,0,0,0,0,0,.11,-0.023,.00,0.00%,-1.05,2.00,7.00,3b 12- 2 out d6,4b 3 out d8,,NYY,4.545454545454545,L,0,11
7,154,2018-09-21,TOR,TBR,6-7,,6,0.2,2,3,3,2,2,0,1,4.91,7,36,19,7,6,1,1,1,0,0,,2,1,0,0,0,4,0,0,0,0,0,0,.27,-0.046,.00,0.00%,-2.25,-3.50,-1.00,6t 12- 2 out d4,7t 1-3 1 out d6,,TOR,20.0,L,3,11
8,158,2018-09-25,TOR,HOU,9-GF,,3,1.0,0,0,0,0,2,0,0,4.32,3,10,7,2,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.10,0.008,.00,0.00%,0.50,6.25,9.00,9t --- 0 out d3,9t end d 3,,TOR,0.0,L,1,4
9,162,2018-09-30,TOR,TBR,7-GF(8),,4,1.1,1,1,1,0,0,0,2,4.66,6,20,13,4,3,2,2,2,0,0,,2,0,0,0,0,4,0,0,0,1,0,0,.04,0.001,.00,0.00%,0.09,-0.80,1.00,7b -23 2 out d5,8b end d 6,,TBR,0.9090909090909091,L,4,9
10,95,2019-07-16,TEX,ARI,9-9,,99,0.1,2,4,4,1,0,0,0,108.00,5,23,15,3,1,3,1,1,0,0,,0,0,2,0,0,4,0,1,0,0,0,0,.23,-0.040,.17,-0.02%,-3.41,-9.05,-11.00,9t --- 0 out d3,9t --3 1 out d6,,TEX,30.0,L,2,9
11,96,2019-07-17,TEX,ARI,6-8,,0,2.1,2,1,0,2,4,0,0,13.50,11,40,27,8,6,2,3,2,0,0,,3,0,0,0,0,9,1,0,0,0,0,0,.00,0.000,.00,0.00%,1.08,10.85,19.00,6t 123 2 out d14,8t 3 out d14,,TEX,1.9047619047619047,L,4,19
12,98,2019-07-20,TEX,HOU,8-GF(8),,2,0.2,0,0,0,0,0,0,0,10.80,2,5,4,1,0,2,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,.07,0.004,.04,0.00%,1.25,1.50,2.00,8b 1-3 1 out d5,8b end d 5,,HOU,0.0,L,1,6
13,103,2019-07-25,TEX,OAK,8-GF,,4,2.0,0,0,0,3,2,0,0,6.75,8,33,16,7,4,2,1,1,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,.05,0.003,.02,0.00%,1.05,6.70,12.00,8b --- 0 out a8,9b end a 8,,OAK,1.5,W,11,3
14,106,2019-07-28,TEX,OAK,8-8,H(1),2,0.2,1,0,0,0,0,0,0,6.00,3,12,9,1,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.57,0.075,.85,0.02%,0.29,0.90,2.00,8b --- 0 out a1,8b 1-- 2 out a1,,OAK,5.0,L,5,6
15,107,2019-07-30,TEX,SEA,7-7,,1,1.0,2,2,1,0,2,0,0,6.43,6,21,15,7,2,3,1,1,0,0,,1,1,0,0,0,6,0,1,0,0,0,1,1.28,-0.287,.27,-0.04%,-1.98,3.05,6.00,7t 1-- 0 out tie,7t 3 out d3,,TEX,2.0,L,5,8
16,108,2019-07-31,TEX,SEA,6-6,H(2),0,0.2,1,0,0,0,0,0,0,5.87,3,6,6,2,0,1,1,0,0,1,,0,0,0,0,0,3,0,0,0,0,0,0,1.84,0.047,.29,0.00%,0.34,0.90,2.00,6t --- 0 out a1,6t 1-- 2 out a1,,TEX,5.0,W,9,7
17,110,2019-08-03,TEX,DET,5-6,,2,1.1,1,0,0,1,3,0,0,5.00,6,30,15,8,0,1,1,1,0,0,,2,0,0,0,0,5,1,0,0,0,0,0,1.16,0.087,.23,0.01%,1.11,7.80,13.00,5t 12- 2 out d2,6t 3 out d2,,TEX,1.8181818181818181,W,5,4
18,116,2019-08-10,TEX,MIL,5-7,,6,3.0,1,0,0,1,1,0,0,3.75,9,44,27,5,3,6,1,0,0,0,,0,0,0,0,0,8,0,0,0,2,0,0,.42,0.080,.05,0.01%,1.60,7.55,12.00,5b --- 0 out d3,7b 3 out d2,,MIL,0.6666666666666666,L,2,3
19,121,2019-08-15,TEX,MIN,5-7,,4,3.0,3,2,2,0,3,2,1,4.20,12,42,29,9,5,2,6,0,2,0,,0,0,0,0,0,11,0,0,0,1,0,0,.03,-0.003,.00,0.00%,-0.16,6.35,12.00,5t --- 0 out d10,7t 3 out d7,,TEX,1.0,L,6,13
20,124,2019-08-18,TEX,MIN,6-7,,2,2.0,0,0,0,1,4,0,0,3.71,7,29,17,6,5,1,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.85,0.133,.01,0.00%,1.23,11.90,18.00,6t --- 0 out d1,7t 3 out d1,,TEX,0.5,L,3,6
21,126,2019-08-20,TEX,LAA,8-GF,,1,2.0,1,0,0,2,3,0,0,3.32,8,35,21,7,3,1,2,2,0,0,,0,0,0,1,0,6,0,1,0,0,0,0,.14,0.018,.00,0.00%,1.23,8.70,15.00,8t --- 0 out d4,9t end d 4,1,TEX,1.5,L,1,5
22,136,2019-08-30,TEX,SEA,7-8,H(3),9,1.1,1,0,0,0,1,0,0,3.10,5,15,10,3,1,2,2,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.80,0.065,.00,0.00%,0.74,4.40,7.00,7t --- 2 out a3,8t 3 out a3,,TEX,0.9090909090909091,W,6,3
23,138,2019-09-01,TEX,SEA,8-8,,1,1.0,4,3,3,1,0,1,1,4.22,8,25,13,3,0,2,4,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.12,-0.039,.00,0.00%,-2.39,-7.35,-6.00,8t --- 0 out d4,8t 3 out d7,,TEX,5.0,L,3,11
24,141,2019-09-04,TEX,NYY,6-6,,2,0.1,1,1,1,2,0,0,0,4.57,4,20,11,2,0,2,0,0,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,.32,-0.048,.00,0.00%,-1.41,-3.05,-2.00,6b --- 0 out d3,6b 12- 1 out d4,,NYY,30.0,L,1,4
