Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
45,4,2000-04-07,SEA,NYY,GS-6,W(1-0),99,6.0,7,3,2,0,4,1,0,3.00,24,85,50,16,4,7,13,7,1,0,52,,,0,0,0,24,3,0,0,1,0,0,1.02,0.022,1.09,0.01%,0.38,1t start tie,6t 3 out a2,,SEA,1.1666666666666667,W,7,5
46,11,2000-04-15,SEA,TOR,GS-3,,7,2.2,5,4,4,2,2,0,0,6.23,14,61,35,14,3,4,6,5,0,0,32,,,1,0,0,12,3,0,0,0,0,0,1.39,-0.263,1.55,-0.18%,-2.52,1b start a 3,3b -2- 2 out d1,,TOR,3.1818181818181817,W,17,6
47,19,2000-04-25,SEA,CLE,GS-5,W(2-0),9,5.0,6,4,4,4,5,0,0,6.59,24,93,48,18,5,7,8,4,0,0,40,,,0,0,0,20,2,0,0,0,0,0,1.01,-0.069,1.20,-0.05%,-1.19,1t start tie,5t 3 out tie,,SEA,2.0,W,8,5
48,24,2000-05-02,SEA,MIN,GS-5,W(3-0),6,5.0,5,3,2,2,1,0,0,5.79,21,76,49,12,5,8,10,6,1,0,46,,,1,0,0,17,1,1,0,1,1,0,.99,-0.029,1.18,-0.02%,0.11,1b start tie,5b 3 out d3,,MIN,1.4,W,5,4
49,28,2000-05-07,SEA,ANA,GS-6,W(4-0),4,6.0,2,1,1,3,8,0,0,4.74,23,94,57,16,12,5,7,3,0,0,69,,,0,0,0,20,0,0,0,0,0,0,.99,0.285,1.48,0.26%,2.38,1t start tie,6t 3 out a1,,SEA,0.8333333333333334,W,8,2
50,33,2000-05-12,SEA,OAK,GS-5,,4,4.0,2,4,4,6,3,0,1,5.34,21,84,42,14,3,4,7,4,1,0,39,,,1,0,0,14,1,0,0,0,0,0,.96,-0.263,1.46,-0.24%,-2.56,1b start a 1,5b 123 0 out a2,,OAK,2.0,L,7,9
51,38,2000-05-17,SEA,MIN,SHO,W(5-0),4,9.0,4,0,0,0,2,0,0,4.06,29,87,57,14,5,12,15,3,3,0,81,,,0,0,0,29,0,0,0,2,0,0,.66,0.397,.85,0.31%,5.06,1t start tie,9t 3 out a4,,SEA,0.4444444444444444,W,4,0
52,43,2000-05-24,SEA,BAL,GS-7,,6,7.0,8,3,3,1,0,0,1,4.03,28,95,52,10,3,9,17,8,2,0,48,,,0,0,0,26,1,0,0,3,0,0,1.27,0.147,1.63,0.11%,0.98,1b start a 1,7b 3 out tie,,BAL,1.2857142857142858,L,3,4
53,48,2000-05-29,SEA,CHW,GS-8,W(6-0),4,7.0,6,4,3,1,0,2,0,4.01,25,103,67,19,6,11,13,4,1,0,50,,,0,2,1,24,1,0,0,2,0,1,1.00,-0.035,1.30,-0.03%,-0.06,1t start tie,8t --- 0 out a1,,SEA,1.0,W,5,4
54,52,2000-06-03,SEA,SDP,GS-7,L(6-1),4,6.0,9,5,5,2,5,1,0,4.37,29,96,53,17,7,8,14,7,3,0,37,,,0,0,0,27,2,0,0,0,0,0,1.03,-0.109,1.31,-0.08%,-0.64,1t start tie,7t 12- 0 out d1,,SEA,1.8333333333333333,L,4,7
