Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,148,2018-09-15,DET,CLE,1-2,,99,1.0,8,9,6,1,0,0,1,54.00,15,53,34,8,2,5,8,5,0,0,,0,0,0,0,0,12,1,0,0,0,1,2,.45,-0.241,.00,0.00%,-9.32,-15.75,-15.00,1b --- 0 out d2,2b 123 0 out d10,,CLE,9.0,L,0,15
2,152,2018-09-19,DET,MIN,6-8,,3,2.2,3,2,2,1,2,0,0,19.64,12,49,31,8,5,4,5,1,0,0,,0,0,0,0,0,10,1,0,0,0,1,0,.05,0.003,.00,0.00%,-0.66,3.60,8.00,6t --- 0 out d6,8t 1-- 2 out d8,,DET,1.8181818181818181,L,2,8
3,156,2018-09-23,DET,KCR,8-GF,,3,2.0,1,0,0,0,2,0,0,12.71,7,32,19,7,1,4,1,1,0,0,,0,0,0,0,0,7,0,1,0,0,0,0,.35,0.050,.00,0.00%,1.05,7.90,12.00,8t --- 0 out d2,9t end d 2,,DET,0.5,L,2,3
4,159,2018-09-27,DET,MIN,5-5,,3,1.0,5,4,4,1,0,0,0,16.20,8,35,21,8,2,5,2,2,0,0,,0,0,0,1,1,7,2,0,0,0,0,0,.56,-0.161,.00,0.00%,-3.48,-9.35,-9.00,5b --- 0 out d2,5b 3 out d6,,MIN,6.0,L,3,9
5,162,2018-09-30,DET,MIL,7-GF(8),,2,1.1,2,1,1,0,1,1,0,14.63,6,30,19,6,3,2,3,2,0,0,,1,0,0,0,0,6,0,0,0,0,0,0,.00,0.000,.00,0.00%,-0.28,1.80,4.00,7b 1-- 2 out d10,8b end d11,,MIL,1.8181818181818181,L,0,11
6,110,2019-08-06,DET,CHW,9-GF,,99,1.0,0,0,0,0,1,0,0,0.00,2,7,5,2,2,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,1,0,0,.30,0.025,.00,0.00%,1.58,4.25,6.00,9t 12- 0 out d3,9t end d 3,1,DET,0.0,L,3,5
7,113,2019-08-08,DET,KCR,3-6,,1,2.2,2,2,2,0,4,0,0,4.91,10,47,30,9,7,0,6,2,3,0,,1,0,0,0,0,10,1,0,0,0,0,0,1.14,0.070,.00,0.00%,0.70,8.80,14.00,3t 1-- 2 out tie,6t 1-3 1 out a2,,DET,0.9090909090909091,W,10,8
8,117,2019-08-13,DET,SEA,6-7,,4,1.2,0,0,0,2,3,0,0,3.38,7,37,22,11,4,1,1,0,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.56,0.064,.00,0.00%,1.30,8.55,14.00,6t -2- 1 out d3,7t 3 out d3,,DET,1.6666666666666667,L,6,11
9,119,2019-08-15,DET,SEA,6-7,,1,1.0,2,2,2,1,1,1,1,5.68,7,28,15,7,1,2,2,1,0,0,,0,0,1,0,0,5,0,0,0,0,0,0,.85,-0.122,.00,0.00%,-1.46,-2.15,0.00,6t --- 0 out d1,7t 12- 0 out d2,,DET,3.0,L,2,7
10,121,2019-08-17,DET,TBR,13-GF(13),L(0-1),1,0.2,2,1,1,1,0,0,0,6.43,5,16,11,4,0,2,2,0,0,0,,0,0,0,0,0,4,1,0,1,0,0,0,2.77,-0.356,.00,0.00%,-0.92,-2.30,-1.00,13b --- 0 out tie,13b end d 1,,TBR,15.0,L,0,1
11,124,2019-08-20,DET,HOU,4-5,,2,2.0,2,1,1,3,1,1,0,6.00,11,54,30,9,5,3,4,1,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.77,-0.009,.00,0.00%,0.14,1.50,6.00,4b --- 0 out d2,5b 3 out d3,,HOU,2.5,L,3,6
12,128,2019-08-24,DET,MIN,6-GF(8),,3,3.0,4,2,2,0,4,1,0,6.00,13,52,33,12,7,3,6,3,0,0,,0,0,0,0,0,13,0,0,0,0,0,0,.39,-0.128,.00,0.00%,-0.34,8.35,15.00,6b --- 0 out d1,8b end d 3,,MIN,1.3333333333333333,L,5,8
13,130,2019-08-27,DET,CLE,9-GF,,2,1.0,0,0,0,1,1,0,0,5.54,4,23,14,4,4,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.56,3.65,6.00,9t --- 0 out d9,9t end d 9,,DET,1.0,L,1,10
14,132,2019-08-29,DET,CLE,9-GF,,1,1.0,0,0,0,0,2,0,0,5.14,3,15,10,5,1,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.28,0.022,.00,0.00%,0.56,6.25,9.00,9t --- 0 out d2,9t end d 2,,DET,0.0,L,0,2
15,133,2019-08-30,DET,MIN,3-4,,0,1.2,3,4,4,1,2,1,0,6.89,9,37,26,9,3,3,3,2,1,0,,3,2,0,0,0,8,0,0,0,0,0,0,.46,-0.112,.00,0.00%,-3.79,-2.65,-1.00,3t 123 1 out d3,4t 3 out d9,,DET,3.3333333333333335,L,5,13
16,136,2019-09-02,DET,MIN,8-8,BS(1),2,0.1,1,0,0,0,1,0,0,6.75,2,7,5,2,1,0,1,1,0,0,,3,2,0,0,0,2,0,0,0,0,0,0,4.37,-0.356,.00,0.00%,-1.18,2.15,4.00,8t 123 2 out a1,8t 3 out d1,,DET,10.0,L,3,4
