,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,43,2019-05-18,PIT,SDP,9-GF,,99,1.0,0,0,0,0,1,0,0,0.0,3,13,7,3,2,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.008,0.11,0.01%,0.5,4.25,6.0,9b --- 0 out a5,9b end a 5,,SDP,0.0,W,7,2
1,2,44,2019-05-19,PIT,SDP,7-7,H(1),0,0.2,0,0,0,1,0,0,0,0.0,3,14,5,2,1,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.39,0.059000000000000004,1.59,0.04%,0.27,0.9,2.0,7b --- 1 out a1,7b 3 out a1,,SDP,5.0,W,6,4
2,3,47,2019-05-23,PIT,COL,6-6,H(2),3,0.1,1,0,0,1,0,0,0,0.0,3,14,6,1,1,1,1,1,0,0,,2,2,0,0,0,2,0,0,0,0,0,0,1.77,-0.076,1.87,-0.05%,-1.56,-0.45,1.0,6t 12- 2 out a4,6t 3 out a2,,PIT,20.0,W,14,6
3,4,48,2019-05-24,PIT,LAD,7-8,,0,1.2,5,3,3,1,2,1,0,7.36,11,37,27,3,8,3,5,2,1,0,,0,0,0,0,0,10,0,1,0,0,0,0,0.03,-0.013999999999999999,0.03,-0.01%,-2.22,-1.85,2.0,7t --- 1 out d6,8t 3 out d8,,PIT,5.0,L,2,10
4,5,53,2019-05-28,PIT,CIN,5-7,,3,2.1,7,7,7,1,2,2,0,15.0,14,47,31,2,3,2,9,6,0,0,,0,0,0,0,0,13,3,0,0,0,0,0,0.17,-0.11199999999999999,0.18,-0.07%,-5.66,-9.55,-8.0,5b --- 0 out d3,7b --- 1 out d10,,CIN,3.809523809523809,L,6,11
5,6,57,2019-06-01,PIT,MIL,7-8,,3,2.0,0,0,0,2,4,0,0,11.25,8,41,23,7,4,1,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.13,0.109,1.35,0.08%,1.02,11.3,18.0,7t --- 0 out d1,8t 3 out d1,,PIT,1.0,L,10,12
6,7,59,2019-06-04,PIT,ATL,7-8,,2,1.1,4,3,3,0,0,1,0,12.54,8,21,15,1,1,3,5,3,0,0,,1,0,0,0,0,8,2,0,0,0,0,0,0.86,-0.184,0.72,-0.09%,-2.26,-5.4,-5.0,7t 1-- 2 out d1,8t 3 out d4,,PIT,3.636363636363636,L,5,12
7,8,62,2019-06-07,PIT,MIL,7-GF(8),,2,1.2,3,0,0,0,3,0,0,10.64,8,32,24,3,5,2,3,2,0,0,,2,2,0,0,0,8,0,0,0,0,0,0,0.03,-0.005,0.04,0.00%,-0.02,7.95,14.0,7b -23 1 out d5,8b end d 6,,MIL,2.5,L,4,10
8,9,64,2019-06-09,PIT,MIL,8-GF(8),,1,1.0,0,0,0,0,0,0,0,9.75,3,6,5,1,1,2,1,0,0,0,,2,1,0,0,0,2,0,0,0,0,1,0,0.19,0.006999999999999999,0.16,0.00%,0.88,2.25,3.0,8b 1-3 0 out d2,8b end d 3,,MIL,0.0,L,2,5
9,10,65,2019-06-10,PIT,ATL,6-7,,0,2.0,3,2,2,0,2,1,0,9.64,9,33,20,2,5,5,2,0,1,0,,0,0,0,0,0,9,1,0,0,0,0,0,0.11,-0.024,0.07,-0.01%,-0.89,2.7,6.0,6b --- 0 out d4,7b 3 out d6,,ATL,1.5,L,7,13
10,11,68,2019-06-13,PIT,ATL,5-6,,2,2.0,1,0,0,0,1,0,0,8.44,7,27,19,5,4,5,1,1,0,0,,1,1,0,0,0,7,0,0,0,0,0,0,0.32,0.006,0.14,0.00%,0.75,5.9,9.0,5b -2- 0 out d3,6b 3 out d4,,ATL,0.5,L,5,6
11,12,70,2019-06-15,PIT,MIA,5-6,L(0-1),1,2.0,3,1,1,1,2,0,0,8.0,9,30,24,7,4,4,2,1,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,1.16,-0.051,0.54,-0.01%,-0.01,4.1,9.0,5b --- 0 out tie,6b 3 out d1,,MIA,2.0,L,3,4
12,13,76,2019-06-23,PIT,SDP,8-8,,7,1.0,1,2,2,3,2,0,0,8.53,6,36,17,5,4,0,1,0,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,1.15,-0.168,0.75,-0.07%,-1.49,-0.15,3.0,8t --- 0 out d1,8t 3 out d3,,PIT,4.0,W,11,10
13,14,79,2019-06-27,PIT,HOU,9-GF,,3,1.0,0,0,0,0,1,0,0,8.1,3,9,7,1,0,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.57,4.25,6.0,9b --- 0 out a10,9b end a10,,HOU,0.0,W,10,0
14,15,107,2019-07-30,PIT,CIN,9-GF,,32,1.0,2,1,1,1,3,0,0,8.14,6,21,12,2,5,0,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.02,0.001,0.0,0.00%,-0.46,4.45,9.0,9b --- 0 out a8,9b end a 7,,CIN,3.0,W,11,4
15,16,110,2019-08-03,PIT,NYM,9-GF,,3,0.1,0,0,0,0,0,0,0,8.02,1,2,2,1,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.11,0.003,0.01,0.00%,0.33,0.75,1.0,9t -2- 2 out d4,9t end d 4,,PIT,0.0,L,5,7
16,17,112,2019-08-05,PIT,MIL,8-GF,,1,2.0,1,1,1,1,3,1,0,7.71,8,35,19,8,2,1,3,0,0,0,,2,1,0,0,0,6,0,0,0,0,1,0,0.2,-0.028999999999999998,0.01,0.00%,0.36,7.3,12.0,8t 1-3 0 out d4,9t end d 3,,PIT,1.0,L,7,9
17,18,114,2019-08-07,PIT,MIL,8-8,,1,1.0,0,0,0,0,1,0,0,7.4,3,13,8,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.05,0.004,0.0,0.00%,0.51,4.25,6.0,8t --- 0 out d5,8t 3 out d5,,PIT,0.0,L,3,8
18,19,115,2019-08-09,PIT,STL,8-GF(8),,1,0.2,0,0,0,0,0,0,0,7.2,2,8,6,1,0,1,1,0,0,0,,1,1,0,0,0,1,0,0,0,0,1,0,0.12,-0.005,0.0,0.00%,-0.04,1.5,2.0,8b --3 1 out d3,8b end d 4,,STL,0.0,L,2,6
19,20,117,2019-08-11,PIT,STL,8-8,,1,0.0,4,2,2,0,0,1,0,7.92,4,16,9,1,1,0,4,3,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.41,-0.11699999999999999,0.0,0.00%,-3.0,-6.4,-6.0,8b --- 0 out d1,8b 12- 0 out d3,,STL,inf,L,9,11
20,21,120,2019-08-14,PIT,LAA,8-GF(8),,2,1.0,4,3,3,0,1,0,0,8.65,6,25,19,2,2,3,2,1,0,0,,0,0,0,1,0,5,0,0,0,0,0,0,0.42,-0.121,0.0,0.00%,-2.46,-4.15,-3.0,8b --- 0 out d1,8b end d 4,,LAA,4.0,L,4,7
21,22,135,2019-08-30,PIT,COL,9-GF,,15,1.0,0,0,0,0,3,0,0,8.33,3,16,10,3,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.14,0.012,0.0,0.00%,0.62,8.25,12.0,9b --- 0 out a5,9b end a 5,,COL,0.0,W,9,4
22,23,138,2019-09-03,PIT,MIA,4-5,,3,1.1,2,1,1,0,1,0,0,8.26,6,23,15,1,2,2,3,0,1,0,,1,0,0,0,0,6,1,0,0,0,0,0,1.05,-0.04,0.0,0.00%,-0.17,1.8,4.0,4t -2- 2 out d1,5t 3 out d2,,PIT,1.818181818181818,L,4,5
23,24,140,2019-09-05,PIT,MIA,6-6,,1,0.0,2,2,2,2,0,0,0,8.89,4,15,4,1,1,0,2,0,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,1.49,-0.23,0.0,0.00%,-2.84,-6.4,-6.0,6t --- 0 out d1,6t 123 0 out d2,,PIT,inf,L,7,10
24,25,142,2019-09-07,PIT,STL,8-8,,1,1.0,1,0,0,2,1,0,0,8.59,6,29,14,3,5,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.02,0.001,0.0,0.00%,0.51,2.45,6.0,8t --- 0 out d7,8t 3 out d7,,PIT,3.0,L,1,10
25,26,148,2019-09-13,PIT,CHC,5-7,,5,2.1,3,1,1,1,2,0,0,8.24,11,32,21,6,2,3,5,4,0,0,,1,1,0,0,0,10,1,0,0,0,0,0,0.01,-0.005,0.0,0.00%,-0.58,4.85,10.0,5b -2- 2 out d8,7b 3 out d10,,CHC,1.9047619047619049,L,8,17
26,27,150,2019-09-15,PIT,CHC,7-7,,1,1.0,2,2,2,0,2,1,0,8.54,5,16,14,3,1,1,2,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.01,-0.003,0.0,0.00%,-1.46,1.05,3.0,7b --- 0 out d7,7b 3 out d9,,CHC,2.0,L,6,16
27,28,152,2019-09-18,PIT,SEA,7-7,,2,1.0,0,0,0,0,0,0,0,8.29,3,14,8,1,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.16,0.012,0.0,0.00%,0.51,2.25,3.0,7t --- 0 out d4,7t 3 out d4,,PIT,0.0,L,1,4
28,29,154,2019-09-20,PIT,MIL,6-7,,1,1.1,3,4,4,1,1,0,0,9.0,8,28,20,5,3,3,3,2,0,0,,3,0,0,0,0,6,0,1,0,0,1,0,0.07,-0.01,0.0,0.00%,-2.67,-5.4,-5.0,6b 123 2 out d6,7b 3 out d9,,MIL,3.636363636363636,L,1,10
