Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,99,2012-07-26,NYM,ARI,GS-6,W(1-0),99,5.1,3,0,0,3,11,0,0,0.00,23,106,65,15,18,3,6,2,2,0,70,,,0,0,0,20,1,0,0,0,0,0,1.08,0.206,.38,0.04%,2.04,1b start a 2,6b 12- 1 out a3,,ARI,1.1764705882352942,W,3,1,,
2,104,2012-07-31,NYM,SFG,GS-6,L(1-1),4,6.0,4,3,2,3,7,0,0,1.59,24,91,53,14,10,9,5,2,1,0,58,,,0,0,0,21,2,0,0,1,0,0,1.04,-0.121,.33,-0.02%,-0.46,1b start tie,6b 3 out d2,,SFG,1.1666666666666667,L,1,4,,
3,109,2012-08-05,NYM,SDP,GS-5,L(1-2),4,5.0,8,5,5,1,5,2,0,3.86,24,81,50,6,16,5,13,4,1,0,35,,,0,0,0,23,4,1,0,0,0,0,.48,-0.286,.15,-0.05%,-2.84,1b start tie,5b 3 out d5,,SDP,1.8,L,3,7,,
4,113,2012-08-10,NYM,ATL,GS-6,L(1-3),4,6.0,2,2,2,5,3,1,0,3.63,25,101,64,15,7,7,10,3,0,0,58,,,0,0,0,19,1,0,0,0,0,0,.72,0.008,.10,0.00%,0.71,1t start tie,6t 3 out d2,,NYM,1.1666666666666667,L,0,4,,
5,118,2012-08-16,NYM,CIN,GS-8,W(2-3),5,7.2,4,1,1,1,8,0,1,3.00,29,89,63,10,13,8,11,3,4,0,74,,,0,0,0,27,2,0,0,0,0,0,.65,0.275,.03,0.01%,2.52,1b start tie,8b 12- 2 out a5,,CIN,0.6944444444444444,W,8,4,,
6,124,2012-08-22,NYM,COL,GS-6,,5,6.0,3,1,1,2,9,0,0,2.75,22,102,63,16,15,5,6,4,0,0,69,,,0,0,0,19,0,0,0,1,1,0,1.08,0.210,.02,0.00%,1.71,1t start tie,6t 3 out tie,,NYM,0.8333333333333334,L,2,5,,
7,130,2012-08-29,NYM,PHI,GS-7,W(3-3),6,6.1,6,2,2,2,6,0,1,2.76,27,98,68,17,7,4,14,8,1,0,57,,,0,0,0,23,2,0,0,1,1,0,1.49,0.207,.01,0.00%,1.14,1b start tie,7b --- 1 out a1,,PHI,1.3114754098360657,W,3,2,,
8,136,2012-09-04,NYM,STL,GS-5,L(3-4),5,5.0,6,3,3,3,4,0,1,3.04,25,92,55,13,8,9,8,2,3,0,44,,,0,0,0,18,0,0,0,0,1,0,.87,-0.151,.01,0.00%,-0.67,1b start tie,5b 3 out d3,,STL,1.8,L,1,5,,
9,143,2012-09-12,NYM,WSN,GS-6,L(3-5),7,5.0,5,1,1,3,10,1,0,2.92,23,106,66,14,12,3,8,2,1,0,60,,,0,0,0,20,0,0,0,0,0,0,.92,-0.053,.00,0.00%,-0.56,1t start tie,6t 123 0 out d1,,NYM,1.6,L,0,2,,
10,148,2012-09-19,NYM,PHI,GS-7,,6,7.0,1,1,1,3,7,1,0,2.73,23,112,69,15,12,9,5,1,0,0,75,,,0,0,0,20,0,0,0,2,0,0,1.07,0.309,.00,0.00%,2.16,1t start tie,7t 3 out a1,,NYM,0.5714285714285714,L,2,3,,
11,2,2013-04-03,NYM,SDP,GS-7,W(1-0),99,7.0,1,0,0,2,10,0,0,0.00,22,94,63,17,21,3,7,2,1,0,83,,,0,0,1,20,0,0,0,1,0,0,.53,0.221,.53,0.13%,2.92,1t start tie,7t 3 out a8,,NYM,0.42857142857142855,W,8,4,,
12,7,2013-04-08,NYM,PHI,GS-7,W(2-0),4,7.0,3,1,1,2,9,0,0,0.64,26,110,66,14,15,7,8,1,2,0,74,,,1,0,0,23,1,0,0,1,1,1,.73,0.134,.80,0.09%,2.10,1b start tie,7b 3 out a6,,PHI,0.7142857142857143,W,7,2,,
13,11,2013-04-13,NYM,MIN,GS-8,W(3-0),4,8.0,2,1,1,2,6,1,0,0.82,27,107,67,18,13,8,11,1,3,0,78,,,0,0,0,25,0,0,0,1,0,0,.68,0.334,.65,0.19%,2.91,1b start tie,8b 3 out a3,,MIN,0.5,W,4,2,,
14,15,2013-04-19,NYM,WSN,GS-7,W(4-0),5,7.0,4,1,1,3,7,0,0,0.93,28,105,68,26,9,8,10,3,2,0,69,,,0,0,0,25,1,0,0,1,0,1,1.29,0.297,1.26,0.17%,1.92,1t start tie,7t 3 out a3,,NYM,1.0,W,7,1,,
15,19,2013-04-24,NYM,LAD,GS-6,,4,6.0,4,3,3,1,7,1,0,1.54,23,90,66,20,14,8,7,2,2,0,58,,,0,0,0,22,0,0,0,0,0,0,.80,-0.177,.74,-0.10%,-0.50,1t start tie,6t 3 out d2,,NYM,0.8333333333333334,W,7,3,,
16,24,2013-04-29,NYM,MIA,GS-6,,4,5.1,7,1,1,2,7,0,0,1.56,24,121,78,15,14,8,7,4,1,0,55,,,0,0,0,22,1,0,0,1,0,0,1.22,0.079,1.01,0.04%,0.85,1b start tie,6b 12- 1 out a1,,MIA,1.7647058823529413,L,3,4,,
17,29,2013-05-07,NYM,CHW,GS-9,,7,9.0,1,0,0,0,12,0,0,1.28,28,105,76,18,16,8,8,1,0,0,97,,,0,0,0,28,0,0,0,0,0,0,.99,0.625,.76,0.29%,3.75,1t start tie,9t 3 out tie,,NYM,0.1111111111111111,W,1,0,,
18,34,2013-05-12,NYM,PIT,GS-7,,4,7.0,5,2,2,2,4,1,1,1.44,28,101,64,15,11,9,12,2,6,0,61,,,0,0,0,24,1,0,0,0,1,0,1.01,0.059,.74,0.03%,0.92,1t start tie,7t 3 out d1,,NYM,1.0,L,2,3,,
19,39,2013-05-17,NYM,CHC,GS-8,W(5-0),4,7.1,5,2,2,0,6,0,0,1.55,27,106,78,19,10,10,11,7,0,0,66,,,0,0,0,26,1,0,0,0,0,0,1.09,0.144,.61,0.05%,0.98,1b start a 1,8b -2- 1 out a1,,CHC,0.7042253521126761,W,3,2,,
20,44,2013-05-22,NYM,CIN,GS-7,,4,6.1,9,4,4,3,6,1,0,1.93,31,116,68,14,10,9,13,7,1,0,42,,,0,0,0,28,2,0,1,0,0,0,1.11,-0.256,.49,-0.07%,-1.19,1t start tie,7t 1-3 1 out d1,,NYM,1.9672131147540985,L,4,7,,
21,49,2013-05-28,NYM,NYY,GS-8,,5,8.0,6,1,1,0,10,0,0,1.85,31,114,80,19,13,9,12,5,2,0,76,,,0,0,0,31,0,0,0,0,0,1,1.10,0.209,.34,0.04%,2.33,1t start tie,8t 3 out d1,,NYM,0.75,W,2,1,,
22,54,2013-06-02,NYM,MIA,GS-5,,4,5.0,10,4,4,2,5,0,0,2.17,26,100,62,11,10,9,10,5,2,0,34,,,0,0,0,23,1,1,0,1,0,0,1.10,-0.151,.39,-0.03%,-1.74,1b start tie,5b 3 out a2,,MIA,2.4,L,6,11,,
23,57,2013-06-08,NYM,MIA,GS-7,,5,7.0,6,1,1,0,6,0,0,2.10,25,93,61,18,11,11,9,3,1,0,67,,,0,1,1,24,0,0,0,0,1,0,1.20,0.269,.36,0.05%,1.92,1t start tie,7t 3 out tie,,NYM,0.8571428571428571,L,1,2,,
24,61,2013-06-13,NYM,STL,GS-7,L(5-1),4,7.0,5,1,1,1,7,0,0,2.04,26,97,67,16,13,13,5,2,1,0,69,,,0,0,0,24,1,1,0,1,0,0,.85,0.188,.18,0.02%,1.92,1t start tie,7t 3 out d1,,NYM,0.8571428571428571,L,1,2,,
25,66,2013-06-18,NYM,ATL,GS-8,W(6-1),4,7.0,3,3,3,3,13,0,0,2.16,26,116,74,14,23,6,4,0,2,0,69,,,0,1,0,23,0,0,0,0,0,0,1.05,0.246,.15,0.02%,1.31,1b start tie,8b 123 0 out a4,1,ATL,0.8571428571428571,W,4,3,,
26,72,2013-06-23,NYM,PHI,GS-6,W(7-1),4,6.0,2,0,0,1,6,0,0,2.05,21,72,51,12,10,8,6,3,0,0,73,,,0,0,0,20,1,0,0,0,0,0,1.01,0.266,.22,0.03%,2.66,1b start a 1,6b 3 out a6,,PHI,0.5,W,8,0,,
27,76,2013-06-28,NYM,WSN,GS-7,,4,7.0,3,1,1,0,11,1,0,2.00,24,109,70,20,16,3,10,3,2,0,78,,,0,0,0,24,0,1,0,0,0,0,.92,0.219,.28,0.04%,1.92,1t start tie,7t 3 out a2,,NYM,0.42857142857142855,L,4,6,,
28,81,2013-07-03,NYM,ARI,GS-7,L(7-2),4,6.0,9,5,5,3,9,1,0,2.27,30,110,74,15,21,8,10,4,1,0,40,,,1,0,0,27,1,0,0,1,0,1,1.22,-0.398,.26,-0.05%,-2.97,1t start tie,7t -23 0 out d2,,NYM,2.0,L,3,5,,
29,86,2013-07-08,NYM,SFG,GS-7,,4,7.0,6,3,3,1,6,1,0,2.35,28,121,85,15,15,10,11,3,3,0,58,,,0,0,0,26,1,1,0,0,0,0,.98,-0.149,.17,-0.02%,-0.12,1b start tie,7b 3 out tie,,SFG,1.0,W,4,3,,
30,94,2013-07-21,NYM,PHI,GS-7,W(8-2),12,7.0,3,0,0,0,10,0,1,2.23,25,112,75,16,22,7,7,5,0,0,81,,,0,0,0,24,1,0,0,0,0,0,.55,0.232,.15,0.04%,2.92,1t start tie,7t 3 out a5,,NYM,0.42857142857142855,W,5,0,,
31,100,2013-07-26,NYM,WSN,GS-8,,4,8.0,5,1,0,1,7,0,0,2.11,28,99,66,18,10,12,8,3,1,0,76,,,0,0,0,27,1,0,0,2,0,0,1.27,0.369,.41,0.07%,2.65,1b start tie,8b 3 out tie,2,WSN,0.75,L,1,2,,
32,106,2013-08-01,NYM,MIA,GS-6,L(8-3),5,5.2,5,3,3,0,8,0,1,2.21,24,110,71,20,11,8,7,3,0,0,55,,,0,0,0,23,0,0,0,0,0,1,1.24,-0.082,.16,-0.01%,-0.76,1b start tie,6b 1-3 2 out d3,,MIA,0.9615384615384615,L,0,3,,
33,111,2013-08-07,NYM,COL,SHO,W(9-3),5,9.0,4,0,0,0,6,0,0,2.09,30,106,78,20,17,14,10,4,3,0,85,,,0,0,0,30,0,0,0,1,0,0,.71,0.443,.04,0.01%,3.75,1t start tie,9t 3 out a5,,NYM,0.4444444444444444,W,5,0,,
34,117,2013-08-13,NYM,LAD,GS-6,L(9-4),5,6.0,8,4,4,2,3,0,0,2.23,25,95,61,13,5,12,8,5,1,0,41,,,0,0,0,23,1,0,0,2,0,0,1.36,-0.232,.09,-0.01%,-1.45,1b start a 1,6b 3 out d3,,LAD,1.6666666666666667,L,2,4,,
35,122,2013-08-18,NYM,SDP,GS-6,,4,6.0,6,2,2,0,6,0,1,2.25,25,86,55,12,13,6,12,6,0,0,58,,,0,0,0,22,1,0,0,0,1,0,1.44,0.020,.03,0.00%,0.42,1b start a 1,6b 3 out tie,,SDP,1.0,L,3,4,,
36,127,2013-08-24,NYM,DET,GS-7,L(9-5),5,6.2,13,2,2,0,4,0,0,2.27,32,102,70,16,8,16,12,6,1,0,44,,,0,0,0,32,2,0,0,0,0,0,.98,-0.033,.00,0.00%,0.20,1t start tie,7t 123 2 out d2,,NYM,2.096774193548387,L,0,3,,
37,3,2015-04-09,NYM,WSN,GS-6,W(1-0),99,6.0,4,0,0,1,9,0,0,0.00,23,91,63,15,14,7,6,3,0,0,72,,,0,1,0,22,1,0,0,0,0,1,.64,0.220,.70,0.15%,2.84,1b start tie,6b 3 out a6,,WSN,0.8333333333333334,W,6,3,,
38,8,2015-04-14,NYM,PHI,GS-6,W(2-0),4,6.0,5,3,3,0,8,2,2,2.25,26,96,65,20,12,5,10,4,1,0,58,,,1,0,0,22,1,0,0,0,0,0,1.28,0.025,1.50,0.02%,-0.30,1t start tie,6t 3 out a2,,NYM,0.8333333333333334,W,6,5,,
39,13,2015-04-19,NYM,MIA,GS-7,W(3-0),4,6.0,8,4,4,0,7,0,0,3.50,26,84,63,22,12,9,10,5,1,0,47,,,0,0,0,26,0,0,0,0,0,0,.71,-0.036,.89,-0.03%,-1.64,1t start tie,7t 1-3 0 out a4,,NYM,1.3333333333333333,W,7,6,,
40,18,2015-04-25,NYM,NYY,GS-9,W(4-0),5,8.2,5,2,2,2,7,1,0,3.04,32,107,67,20,10,11,12,4,0,0,71,,,0,0,0,30,1,0,0,1,0,0,.58,0.137,.68,0.10%,1.99,1b start a 1,9b 12- 2 out a6,,NYY,0.853658536585366,W,8,2,,
