Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,91,2014-07-10,CHC,CIN,GS-6,,99,6.0,5,4,4,3,7,1,1,6.00,27,95,63,15,11,6,10,6,2,0,50,,,0,0,0,23,1,0,1,0,0,0,.87,-0.182,.09,-0.01%,-1.35,1b start tie,6b 3 out d1,,CIN,1.3333333333333333,W,6,4,,
2,98,2014-07-22,CHC,SDP,GS-7,W(1-0),11,7.0,5,0,0,3,5,0,0,2.77,27,83,55,18,7,12,7,5,0,0,69,,,0,0,0,24,1,0,0,3,0,1,1.09,0.345,.03,0.01%,3.16,1t start tie,7t 3 out a3,,CHC,1.1428571428571428,W,6,0,,
3,103,2014-07-27,CHC,STL,GS-7,L(1-1),4,6.1,7,1,1,0,2,1,0,2.33,23,94,57,15,6,11,10,7,0,0,57,,,0,0,0,23,1,0,0,2,0,0,.85,0.168,.01,0.00%,1.67,1t start tie,7t 1-- 1 out d1,,CHC,1.1475409836065575,L,0,1,,
4,108,2014-08-01,CHC,LAD,GS-7,W(2-1),4,7.0,4,2,1,1,3,0,0,2.05,26,107,67,22,7,14,8,4,0,0,65,,,2,0,0,25,0,0,1,1,0,2,.69,0.083,.01,0.00%,0.97,1b start tie,7b 3 out a6,,LAD,0.7142857142857143,W,8,2,,
5,113,2014-08-07,CHC,COL,GS-8,W(3-1),5,8.0,5,2,1,1,4,0,0,1.83,31,107,71,17,9,12,14,7,4,0,69,,,0,0,0,29,2,0,0,0,0,1,1.20,0.275,.02,0.00%,2.11,1b start tie,8b 3 out a4,,COL,0.75,W,6,2,,
6,118,2014-08-12,CHC,MIL,GS-8,W(4-1),4,7.1,6,0,0,1,5,0,1,1.51,28,96,61,17,8,11,10,5,3,0,70,,,0,1,0,26,0,0,0,1,0,0,1.04,0.240,.01,0.00%,2.10,1t start tie,8t 123 1 out a3,,CHC,0.9859154929577465,W,3,0,,
7,124,2014-08-18,CHC,NYM,GS-7,W(5-1),5,7.0,3,1,1,2,3,1,0,1.48,25,94,59,16,5,9,11,1,2,0,68,,,0,1,0,23,0,0,0,0,0,0,.89,0.228,.00,0.00%,1.91,1b start tie,7b 3 out tie,,NYM,0.7142857142857143,W,4,1,,
8,129,2014-08-23,CHC,BAL,GS-2,,4,2.0,5,2,2,0,2,0,0,1.78,11,46,33,6,6,5,4,2,0,0,40,,,0,0,0,11,3,0,0,0,0,0,1.11,-0.130,.00,0.00%,-1.10,1t start tie,2t 3 out d2,,CHC,2.5,W,7,2,,
9,134,2014-08-29,CHC,STL,GS-6,,5,6.0,5,2,2,1,3,0,1,1.91,25,89,58,19,7,8,12,5,2,0,56,,,1,0,0,22,0,0,0,0,0,0,.98,0.040,.00,0.00%,0.65,1b start tie,6b 3 out d1,,STL,1.0,W,7,2,,
10,140,2014-09-03,CHC,MIL,GS-6,W(6-1),4,5.2,9,2,2,0,0,0,0,2.02,25,80,54,13,2,13,12,4,3,0,43,,,0,1,0,25,0,0,0,1,0,1,.86,0.014,.00,0.00%,-0.03,1t start tie,6t 123 2 out a4,,CHC,1.7307692307692306,W,6,2,,
