,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,28,2005-05-04,NYA,TBD,GS-3,L(0-1),99,2.1,7,6,5,2,0,0,0,19.29,15,72,42,10,2,6,7,4,0,0,19.0,,,1,0,0,13,2,0,0,1,0,1,1.31,-0.465,0.85,-0.18%,-5.14,1b start tie,3b -2- 1 out d4,,TBD,4.285714285714286,L,8,11
1,2,69,2005-06-20,NYA,TBD,GS-5,L(0-2),46,4.2,4,4,3,7,1,0,0,10.29,24,98,46,16,6,10,6,2,2,0,36.0,,,1,0,0,17,0,0,0,1,0,0,1.02,-0.13699999999999998,1.05,-0.09%,-0.92,1t start tie,5t 1-3 2 out d3,,NYY,2.619047619047619,L,4,5
2,3,74,2005-06-25,NYA,NYM,GS-5,L(0-3),4,4.1,7,6,6,2,2,3,0,11.12,22,86,53,14,7,4,14,4,0,0,25.0,,,1,0,0,20,3,0,0,0,0,0,0.97,-0.34600000000000003,0.76,-0.16%,-3.69,1t start tie,5t --- 1 out d4,,NYY,2.1951219512195124,L,3,10
3,4,137,2006-09-05,NYA,KCR,7-7,,99,1.0,1,1,1,0,0,0,0,9.0,4,11,9,2,0,1,3,0,0,0,,0.0,0.0,0,0,0,3,1,0,0,0,1,0,0.11,-0.013000000000000001,0.02,0.00%,-0.44,7b --- 0 out d4,7b 3 out d5,,KCR,1.0,L,0,5
4,5,139,2006-09-08,NYA,BAL,3-3,,2,1.0,1,1,1,0,0,1,1,9.0,4,14,8,2,0,2,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,1,0,0,0.24,-0.018000000000000002,0.02,0.00%,-0.45,3b --- 0 out d5,3b 3 out d6,,BAL,1.0,L,4,9
5,6,152,2006-09-20,NYA,TOR,GS-4,L(0-1),11,3.2,4,3,3,3,4,1,0,7.94,18,82,44,11,4,5,6,1,1,0,42.0,,,0,0,0,15,1,0,0,0,0,0,1.24,0.049,0.0,0.00%,0.75,1b start tie,4b 12- 2 out tie,,TOR,2.1875,L,2,3
6,7,159,2006-09-28,NYA,BAL,3-6,,7,3.2,5,0,0,2,3,0,0,4.82,18,66,37,11,8,1,12,5,2,0,,0.0,0.0,0,0,0,16,0,0,0,0,0,0,0.28,0.051,0.0,0.00%,1.97,3t --- 1 out d5,6t 3 out d5,,NYY,2.1875,L,1,7
7,8,1,2007-04-02,NYA,TBD,6-6,,99,1.0,1,0,0,0,0,0,0,0.0,3,16,10,3,0,1,2,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,1,0,0,0.72,0.043,0.78,0.03%,0.56,6t --- 0 out d2,6t 3 out d2,,NYY,1.0,W,9,5
8,9,3,2007-04-06,NYA,BAL,5-7,,3,3.0,1,0,0,0,0,0,0,0.0,10,41,27,4,2,5,5,0,2,0,,0.0,0.0,0,0,0,10,0,0,0,0,0,0,0.3,0.064,0.32,0.04%,1.67,5t --- 0 out d4,7t 3 out d3,,NYY,0.3333333333333333,L,4,6
9,10,5,2007-04-08,NYA,BAL,5-5,,1,0.2,0,0,0,1,0,0,0,0.0,3,16,7,1,0,0,2,1,1,0,,2.0,0.0,0,0,0,2,0,0,0,0,0,0,1.7,0.07200000000000001,1.86,0.05%,0.97,5t 12- 1 out d2,5t 3 out d2,,NYY,5.0,L,4,6
