Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,18,2001-04-21,NYY,BOS,5-8,,99,3.0,2,1,1,1,0,1,0,3.00,12,44,24,5,4,4,7,0,1,0,,0,0,0,0,0,11,0,0,0,0,0,0,.45,0.046,.59,0.04%,0.66,5t --- 0 out d3,8t --- 0 out d4,,NYY,1.0,L,3,8
2,70,2001-06-20,NYY,DET,GS-5,L(0-1),59,4.2,4,2,1,3,3,1,0,2.35,20,93,51,9,10,6,8,5,0,0,50,,,0,1,1,17,0,0,1,1,0,2,1.35,-0.044,2.04,-0.04%,-0.06,1b start tie,5b -23 2 out d1,,DET,1.6666666666666665,L,2,5
3,75,2001-06-26,NYY,CLE,GS-5,L(0-2),5,4.1,5,4,4,4,2,2,0,4.50,21,85,46,10,6,6,9,3,2,0,35,,,1,1,0,17,1,0,0,0,0,0,1.05,-0.249,1.84,-0.26%,-1.53,1t start tie,5t --- 1 out d2,,NYY,2.1951219512195124,L,3,5
4,148,2001-09-22,NYY,BAL,5-7,,87,3.0,0,0,0,1,3,0,1,3.60,11,42,27,7,8,4,2,1,0,0,,0,0,0,0,0,9,0,0,0,1,0,1,.02,0.002,.00,0.00%,1.56,5b --- 0 out d9,7b 3 out d8,,BAL,0.3333333333333333,L,2,11
5,154,2001-09-30,NYY,BAL,15-GF(15),,7,1.0,0,0,0,0,1,0,0,3.38,3,13,9,3,4,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.89,0.148,.00,0.00%,0.55,15t --- 0 out tie,15t end tie,,NYY,0.0,T,1,1
6,158,2001-10-04,NYY,TBD,GS-6,L(0-3),3,6.0,4,3,3,1,1,3,1,3.68,24,85,48,14,1,11,10,2,0,0,52,,,0,0,0,22,0,0,0,0,0,1,.82,-0.067,.00,0.00%,0.19,1b start tie,6b 3 out d2,,TBD,0.8333333333333334,L,1,4
7,14,2002-04-15,NYY,BOS,4-6,,99,2.0,5,2,2,2,4,0,0,9.00,13,51,33,9,7,1,6,5,0,0,,0,0,0,0,0,11,1,0,0,0,0,0,.97,-0.129,1.28,-0.10%,-1.90,4b --- 0 out d1,6b 12- 0 out d3,,BOS,3.5,L,3,4
8,47,2002-05-22,NYY,TOR,GS-5,L(0-1),36,4.0,5,6,6,4,5,2,0,12.00,21,73,40,17,6,4,8,2,1,0,29,,,0,0,0,17,2,0,0,0,0,0,.95,-0.332,1.14,-0.24%,-3.83,1t start tie,5t --- 0 out d5,,NYY,2.25,L,3,8
9,3,2004-04-07,MIL,STL,7-7,BL(0-1),99,1.0,5,5,5,0,0,1,0,45.00,8,24,16,3,3,5,3,1,0,0,,0,0,0,0,0,7,0,0,0,0,1,0,2.77,-0.600,3.13,-0.41%,-4.49,7b --- 0 out a1,7b 3 out d4,,STL,5.0,L,4,9
10,5,2004-04-09,MIL,HOU,8-GF,,1,2.0,3,2,2,3,3,0,0,21.00,13,51,28,8,5,2,5,2,1,0,,0,0,0,0,0,10,0,0,0,0,0,1,.02,-0.002,.02,0.00%,-0.96,8t --- 0 out d7,9t end d 6,,MIL,3.0,L,7,13
11,13,2004-04-17,MIL,HOU,5-6,,7,2.0,3,3,2,1,2,0,0,16.20,10,36,21,4,6,3,4,0,0,0,,0,0,0,1,0,9,2,0,0,0,0,0,.25,-0.054,.25,-0.03%,-1.95,5b --- 0 out d4,6b 3 out d6,,HOU,2.0,L,5,14
12,17,2004-04-22,MIL,ARI,11-GF(15),L(0-2),4,5.0,6,2,2,2,3,0,0,9.90,22,82,47,9,6,8,9,4,3,0,,0,0,0,1,0,19,1,0,0,0,0,0,2.82,0.159,2.65,0.09%,0.60,11t --- 0 out tie,15t end d 2,,MIL,1.6,L,9,11
13,22,2004-04-28,MIL,CIN,3-4,,5,1.2,3,3,2,1,2,0,0,10.03,10,41,23,6,6,3,4,2,1,0,,3,2,0,0,0,9,1,0,0,0,0,1,.34,-0.067,.37,-0.04%,-2.89,3t 123 1 out d4,4t 3 out d9,,MIL,3.3333333333333335,W,10,9
14,30,2004-05-08,MIL,NYM,GS-5,,9,4.1,0,3,2,7,4,0,0,8.44,21,79,34,13,4,7,3,0,0,0,50,,,0,0,0,14,0,0,0,0,0,1,1.22,0.008,1.07,0.00%,-0.04,1b start tie,5b 123 1 out a4,,NYM,1.707317073170732,W,6,4
