,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,48,2009-05-28,BAL,DET,GS-6,W(1-0),99,5.2,5,1,1,4,3,0,0,1.59,25,108,63,12,12,8,10,3,3,0,54.0,,,1,0,0,21,1,0,0,1,0,0,1.52,0.16399999999999998,0.99,0.06%,1.76,1t start tie,6t 1-3 2 out a1,,BAL,1.7307692307692306,W,5,1,,
1,2,53,2009-06-02,BAL,SEA,GS-6,L(1-1),4,5.1,10,5,5,1,2,0,0,4.91,27,90,54,5,7,8,16,7,6,0,29.0,,,1,0,0,25,4,0,0,0,0,0,0.78,-0.175,0.53,-0.07%,-1.47,1b start tie,6b 1-- 1 out d4,,SEA,2.1568627450980395,L,2,8,,
2,3,56,2009-06-06,BAL,OAK,4-6,,3,2.2,4,0,0,0,4,0,0,3.95,12,59,36,11,6,4,4,2,0,0,,1.0,1.0,0,0,0,12,1,0,0,0,0,0,0.03,-0.002,0.01,0.00%,0.77,4b -2- 1 out d8,6b 3 out d9,,OAK,1.818181818181818,L,4,9,,
3,4,75,2009-06-28,BAL,WSN,GS-6,L(1-2),21,5.2,8,3,3,3,3,1,0,4.19,26,110,69,16,9,8,12,4,1,0,41.0,,,1,1,0,23,2,0,0,1,0,0,1.16,-0.075,0.29,-0.01%,-0.17,1t start tie,6t 12- 2 out d2,,BAL,2.1153846153846154,L,3,5,,
4,5,80,2009-07-03,BAL,LAA,GS-7,W(2-2),4,6.2,6,3,3,2,2,1,0,4.15,28,107,73,23,5,9,15,3,4,0,50.0,,,0,0,0,26,2,0,0,0,0,0,0.66,0.145,0.07,0.01%,0.52,1b start a 2,7b 1-- 2 out a3,,LAA,1.2903225806451613,W,6,4,,
5,6,85,2009-07-08,BAL,SEA,GS-6,,4,6.0,5,2,2,2,3,1,0,3.94,25,111,69,14,12,2,18,6,5,0,55.0,,,0,0,0,23,1,0,0,0,0,0,0.58,0.017,0.06,0.00%,1.06,1b start tie,6b 3 out d2,,SEA,1.1666666666666667,W,5,3,,
6,7,92,2009-07-20,BAL,NYY,GS-6,,11,6.0,3,1,1,3,4,1,0,3.55,24,103,61,16,3,3,14,3,3,0,63.0,,,0,0,0,21,0,0,0,0,0,0,1.02,0.276,0.08,0.01%,2.42,1b start a 1,6b 3 out tie,,NYY,1.0,L,1,2,,
7,8,97,2009-07-26,BAL,BOS,GS-7,W(3-2),5,7.0,5,1,1,0,2,0,0,3.2,26,110,66,18,3,5,19,3,5,0,65.0,,,1,0,0,25,0,0,0,0,1,0,0.61,0.242,0.01,0.00%,2.98,1b start a 1,7b 3 out a5,,BOS,0.7142857142857143,W,6,2,,
8,9,103,2009-08-01,BAL,BOS,GS-5,L(3-3),5,4.1,7,2,2,4,4,2,0,3.28,23,102,57,15,5,8,7,2,2,0,41.0,,,0,0,0,19,2,0,0,1,0,0,0.92,-0.02,0.01,0.00%,0.02,1t start tie,5t -2- 1 out d2,,BAL,2.6829268292682933,L,0,4,,
9,10,108,2009-08-06,BAL,DET,GS-3,L(3-4),4,3.0,7,5,5,2,1,1,0,3.96,18,81,48,10,3,5,10,5,1,0,24.0,,,0,0,0,16,2,1,0,0,0,0,0.58,-0.27399999999999997,0.0,0.00%,-3.36,1b start tie,3b 3 out d5,,DET,3.0,L,3,7,,
