Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,156,2011-09-21,KCR,DET,8-8,L(0-1),99,1.0,2,3,3,0,0,1,1,27.00,6,13,9,2,0,2,3,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.51,-0.417,.00,0.00%,-2.51,8t --- 0 out tie,8t 3 out d3,,KCR,2.0,L,3,6,,
2,160,2011-09-26,KCR,MIN,8-8,H(1),4,1.0,0,0,0,0,0,0,0,13.50,3,19,13,4,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.66,0.051,.00,0.00%,0.50,8b --- 0 out a3,8b 3 out a3,,MIN,0.0,W,7,3,,
3,3,2012-04-08,KCR,LAA,7-8,,99,1.1,5,1,1,0,0,1,0,6.75,8,23,15,5,2,5,3,1,0,0,,0,0,0,0,0,8,2,0,0,1,0,0,.41,-0.059,.41,-0.04%,-1.43,7b --- 0 out a5,8b -23 1 out a4,,LAA,4.545454545454545,W,7,3,,
4,6,2012-04-11,KCR,OAK,6-6,,2,1.0,0,0,0,1,1,0,0,3.86,4,13,8,3,1,2,0,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,.95,0.045,.98,0.03%,0.47,6b --- 0 out d1,6b 3 out d1,,OAK,1.0,L,4,5,,
5,7,2012-04-13,KCR,CLE,9-GF,,1,1.0,1,1,1,0,2,1,0,5.40,4,15,12,1,5,0,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.03,-0.007,.03,-0.01%,-0.49,9t --- 0 out d4,9t end d 5,,KCR,1.0,L,3,8,,
6,8,2012-04-14,KCR,CLE,6-6,,0,1.0,0,0,0,0,1,0,0,4.15,3,11,9,2,2,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.12,0.009,.12,0.01%,0.51,6t --- 0 out d5,6t 3 out d5,,KCR,0.0,L,9,11,,
7,11,2012-04-17,KCR,DET,9-GF,,2,1.0,1,0,0,0,0,0,0,3.38,3,9,6,0,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.31,0.018,.28,0.01%,0.51,9t --- 0 out d2,9t end d 2,,KCR,1.0,L,1,3,,
8,12,2012-04-18,KCR,DET,6-7,H(1),0,1.1,1,1,1,0,2,0,0,4.05,5,22,15,3,4,2,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.54,0.075,1.24,0.04%,0.48,6t --- 0 out a1,7t 1-- 1 out a1,,KCR,0.9090909090909091,L,3,4,,
9,14,2012-04-21,KCR,TOR,7-8,,2,1.2,2,2,2,0,1,2,0,5.40,7,32,21,8,3,4,2,0,0,0,,1,1,0,0,0,7,0,0,0,0,0,0,.34,-0.227,.20,-0.08%,-1.97,7t 1-- 1 out d1,8t 3 out d4,,KCR,1.6666666666666667,L,5,9,,
10,17,2012-04-24,KCR,CLE,7-7,,2,1.0,1,0,0,0,1,0,0,4.82,4,17,10,3,3,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.15,0.011,.08,0.00%,0.47,7b --- 0 out d3,7b 3 out d3,,CLE,1.0,L,3,4,,
