,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,502,3,2000-04-05,LAN,MON,GS-5,,99,5.0,7,4,4,2,4,0,1,7.2,24,86,53,15,9,11,6,4,1,0,39.0,,,0,0,0,21,2,0,1,1,0,0,1.15,-0.13699999999999998,1.19,-0.09%,-1.12,1b start a 1,5b 3 out d3,,MON,1.8,L,5,6
1,503,10,2000-04-14,LAN,CIN,GS-6,W(1-0),8,6.0,6,1,1,2,2,1,0,4.09,24,95,57,13,7,10,10,4,1,0,56.0,,,1,0,0,22,1,0,0,2,0,0,1.26,0.264,1.41,0.18%,2.16,1t start tie,6t 3 out a1,,LAD,1.3333333333333333,W,8,1
2,504,14,2000-04-19,LAN,HOU,GS-2,L(1-1),4,1.1,4,7,7,2,0,0,4,8.76,14,54,23,5,2,3,5,3,0,0,16.0,,,1,0,0,7,2,0,0,0,1,0,1.04,-0.34299999999999997,1.18,-0.23%,-4.55,1t start tie,2t 123 1 out d4,,LAD,5.454545454545454,L,3,10
3,505,17,2000-04-23,LAN,CIN,8-8,,3,1.0,2,1,1,0,1,0,1,8.78,6,18,11,1,1,3,1,1,0,0,,0.0,0.0,0,0,0,5,0,0,0,0,0,0,0.05,0.001,0.06,0.00%,-0.43,8b --- 0 out a9,8b 3 out a8,,CIN,2.0,W,11,3
4,506,23,2000-04-29,LAN,FLA,8-8,H(1),5,1.0,0,0,0,0,1,0,0,8.16,3,11,8,3,1,2,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,1.6,0.124,1.82,0.08%,0.53,8t --- 0 out a1,8t 3 out a1,,LAD,0.0,W,13,12
5,507,30,2000-05-07,LAN,HOU,4-7,,7,3.0,5,3,3,1,2,0,2,8.31,17,67,40,10,4,6,6,2,1,0,,2.0,0.0,1,0,0,14,0,0,0,0,0,0,1.31,0.031,1.55,0.02%,0.31,4t 1-3 2 out a2,7t 123 2 out a2,,LAD,2.0,L,8,14
6,508,32,2000-05-09,LAN,ARI,12-GF(12),BL(1-2),1,0.1,3,5,5,1,0,1,1,10.7,6,26,13,2,0,1,3,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,1,0,4.95,-0.772,6.5,-0.61%,-4.73,12b --- 0 out a1,12b end d 4,,ARI,40.0,L,7,11
7,509,65,2000-06-16,LAN,STL,GS-5,L(1-3),37,4.0,6,5,5,3,1,1,1,10.8,21,76,42,13,5,5,11,5,0,0,28.0,,,0,0,0,17,1,0,0,0,0,0,0.76,-0.233,1.01,-0.19%,-1.9,1t start tie,5t 12- 0 out tie,,LAD,2.25,L,3,6
8,510,72,2000-06-24,LAN,STL,GS-2,L(1-4),7,1.1,3,2,2,0,1,1,0,10.96,7,26,15,2,2,3,3,2,0,0,41.0,,,0,0,0,7,1,0,0,0,0,0,0.7,-0.149,0.92,-0.12%,-1.6,1b start tie,2b -2- 1 out d2,,STL,2.727272727272727,L,1,6
9,511,74,2000-06-26,LAN,SDP,GS-2,L(1-5),1,1.2,6,8,8,3,1,1,1,13.14,14,54,24,8,3,3,6,3,0,0,9.0,,,2,0,0,9,1,0,0,1,1,0,1.09,-0.501,1.27,-0.35%,-7.28,1t start tie,2t -2- 2 out d7,,LAD,7.5,L,5,9
