,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,71,2017-06-23,MIN,CLE,9-GF,,99,1.0,1,0,0,0,1,0,0,0.0,4,18,11,2,2,2,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,0.16,0.009000000000000001,0.26,0.01%,0.56,9b --- 0 out a5,9b end a 5,,CLE,1.0,W,5,0,,
1,2,75,2017-06-27,MIN,BOS,7-GF(8),,3,2.0,1,0,0,2,2,0,0,0.0,9,40,22,6,3,5,0,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,0.01,0.001,0.01,0.00%,1.11,7b --- 0 out d8,8b end d 7,,BOS,1.5,L,2,9,,
2,3,81,2017-07-02,MIN,KCR,7-GF(8),,4,2.0,1,0,0,1,3,0,0,0.0,8,36,19,4,5,3,1,1,0,0,,0,0,2,0,0,7,0,0,0,0,0,0,0.06,0.011000000000000001,0.1,0.01%,1.07,7b --- 0 out d4,8b end d 4,,KCR,1.0,L,2,6,,
3,4,86,2017-07-07,MIN,BAL,3-6,W(1-0),4,2.1,2,0,0,0,3,0,0,0.0,9,34,24,7,4,5,1,1,0,0,,1,0,0,0,0,9,0,0,0,1,0,1,0.37,-0.024,0.52,-0.02%,0.91,3t 1-- 2 out d6,6t 1-- 0 out a1,,MIN,0.9523809523809524,W,9,6,,
4,5,88,2017-07-09,MIN,BAL,8-8,,1,1.0,3,2,2,0,0,0,0,2.16,6,19,13,3,0,1,5,3,1,0,,0,0,0,0,0,5,0,0,0,0,1,0,0.06,-0.013000000000000001,0.08,-0.01%,-1.47,8t --- 0 out d5,8t 3 out d7,,MIN,3.0,L,5,11,,
5,6,89,2017-07-14,MIN,HOU,6-7,,4,1.1,1,0,0,0,0,0,0,1.86,5,12,10,2,1,3,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.05,0.004,0.06,0.00%,0.6,6b --- 2 out d5,7b 3 out d5,,HOU,0.9090909090909092,L,5,10,,
6,7,91,2017-07-16,MIN,HOU,7-7,,1,0.1,1,1,1,0,0,0,0,2.7,2,5,3,1,0,1,0,0,0,1,,1,1,1,0,0,2,1,0,0,0,0,0,0.8,-0.08,1.18,-0.07%,-0.8,7b 1-- 0 out d1,7b -2- 1 out d2,,HOU,10.0,L,3,5,,
7,8,93,2017-07-18,MIN,NYY,6-7,,1,1.1,0,0,0,0,1,0,0,2.38,4,19,12,2,2,3,0,0,0,0,,3,0,0,0,0,4,0,0,0,0,0,0,0.57,0.057999999999999996,0.86,0.05%,1.32,6t 123 2 out d3,7t 3 out d3,,MIN,0.0,L,3,6,,
8,9,94,2017-07-19,MIN,NYY,9-GF,,0,1.0,0,0,0,0,1,0,1,2.19,4,17,12,4,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.09,0.006999999999999999,0.13,0.01%,0.53,9t --- 0 out a5,9t end a 5,,MIN,0.0,W,6,1,,
9,10,97,2017-07-23,MIN,DET,5-7,L(1-1),3,1.2,4,2,2,0,2,1,0,3.21,8,26,18,5,1,2,4,3,0,0,,1,0,0,0,0,8,1,0,0,1,0,0,1.42,-0.209,2.21,-0.19%,-1.55,5t 1-- 1 out tie,7t -2- 0 out d2,,MIN,3.333333333333333,L,6,9,,
10,11,99,2017-07-25,MIN,LAD,5-6,,1,1.1,0,1,1,0,1,0,1,3.52,5,24,13,4,1,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.51,0.02,0.62,0.02%,0.32,5b --- 0 out d2,6b -2- 1 out d2,,LAD,0.0,L,2,6,,
11,12,103,2017-07-30,MIN,OAK,9-10,,4,2.0,2,0,0,0,5,0,0,3.12,8,34,22,6,8,0,3,2,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,3.02,0.275,2.51,0.14%,1.0,9b --- 0 out tie,10b 3 out tie,,OAK,1.0,L,5,6,,
12,13,109,2017-08-06,MIN,TEX,6-7,H(1),6,2.0,1,0,0,0,1,0,1,2.79,8,29,18,7,4,2,4,2,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,1.88,0.179,1.23,0.07%,1.06,6t --- 0 out a1,7t 3 out a1,,MIN,0.5,W,6,5,,
13,14,110,2017-08-07,MIN,MIL,7-7,,0,0.2,1,0,0,0,2,0,0,2.7,3,10,7,4,1,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.76,0.031,0.59,0.02%,0.29,7t --- 0 out d1,7t 1-- 2 out d1,,MIN,5.0,W,5,4,,
14,15,114,2017-08-11,MIN,DET,7-7,,3,1.0,3,1,1,0,1,0,0,3.0,6,21,14,6,1,5,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.86,0.001,1.29,0.00%,-0.47,7b --- 0 out a4,7b 3 out a3,,DET,3.0,W,9,4,,
15,16,115,2017-08-12,MIN,DET,8-8,H(2),0,0.2,1,1,1,0,0,1,0,3.32,3,5,4,1,0,2,1,0,0,0,,2,2,0,0,0,3,0,0,0,0,0,0,1.53,-0.052000000000000005,2.35,-0.05%,-1.23,8b 1-3 0 out a4,8b --- 2 out a1,,DET,5.0,L,11,12,,
16,17,116,2017-08-13,MIN,DET,8-GF,S(1),0,1.1,1,0,0,0,3,0,0,3.13,5,17,15,6,6,2,0,0,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,1.39,0.14300000000000002,1.95,0.12%,0.78,8b 1-- 2 out a2,9b end a 2,,DET,0.9090909090909092,W,6,4,,
17,18,119,2017-08-17,MIN,CLE,7-8,BW(2-1),3,1.1,1,0,0,0,1,0,0,2.96,5,12,11,5,0,4,0,0,0,0,,1,1,0,0,0,5,0,1,0,0,0,0,2.23,0.002,2.66,0.00%,-0.04,7t 1-- 1 out a1,8t --- 2 out a1,2.0,MIN,0.9090909090909092,W,4,2,,
18,19,120,2017-08-18,MIN,ARI,7-7,H(3),0,0.2,0,0,0,0,0,0,0,2.88,1,2,2,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,1,0,0,3.47,0.198,3.71,0.13%,1.16,7t 12- 0 out a1,7t --3 2 out a1,,MIN,0.0,W,10,3,,
19,20,125,2017-08-22,MIN,CHW,8-8,H(4),3,1.0,0,0,0,0,1,0,0,2.77,3,14,10,4,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.69,0.053,0.95,0.04%,0.51,8b --- 0 out a3,8b 3 out a3,,CHW,0.0,W,4,1,,
20,21,126,2017-08-23,MIN,CHW,9-GF,L(2-2),0,0.1,2,1,1,1,0,0,0,3.08,4,9,5,0,2,2,1,1,0,0,,0,0,0,0,0,2,0,0,1,0,0,0,3.23,-0.36,5.16,-0.35%,-1.41,9b --- 0 out tie,9b end d 1,,CHW,30.0,L,3,4,,
21,22,128,2017-08-25,MIN,TOR,8-8,H(5),1,0.1,0,0,0,0,0,0,0,3.04,1,1,1,0,0,0,1,1,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,0.99,0.026000000000000002,1.33,0.02%,0.46,8b 12- 2 out a4,8b 3 out a4,,TOR,0.0,W,6,1,,
22,23,129,2017-08-26,MIN,TOR,8-GF(8),,0,0.2,0,0,0,0,2,0,0,2.96,2,8,6,2,3,0,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,0.14,0.006999999999999999,0.21,0.01%,0.55,8b 1-- 1 out d3,8b end d 3,,TOR,0.0,L,9,10,,
23,24,130,2017-08-27,MIN,TOR,7-8,,0,1.0,0,0,0,0,0,0,0,2.86,3,15,9,2,0,2,1,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,0.52,0.042,0.69,0.03%,0.66,7b 1-- 2 out a4,8b --- 2 out a4,,TOR,0.0,W,7,2,,
24,25,131,2017-08-29,MIN,CHW,7-8,H(6),1,1.1,2,0,0,0,4,0,0,2.73,6,26,19,7,5,0,2,1,1,0,,1,1,0,0,0,6,2,0,0,0,0,0,1.0,0.02,1.39,0.02%,-0.1,7t --3 2 out a3,8t 3 out a3,,MIN,1.818181818181818,W,6,4,,
25,26,136,2017-09-03,MIN,KCR,8-GF,,4,1.2,0,0,0,0,0,0,1,2.59,6,20,14,2,2,3,2,1,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,1.09,0.09699999999999999,1.67,0.09%,1.08,8t 1-- 1 out d1,9t end d 1,,MIN,0.0,L,4,5,,
