Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,139,2008-09-02,WSN,PHI,7-8,,99,1.2,0,0,0,0,2,0,0,0.00,4,17,11,4,0,2,0,0,0,0,,2,1,0,0,0,4,0,0,0,1,0,0,.27,0.001,.00,0.00%,0.69,7t 1-3 1 out d3,8t 3 out d4,,WSN,0.0,L,0,4
2,140,2008-09-03,WSN,PHI,7-7,,0,0.2,1,0,0,0,0,0,0,0.00,3,9,5,2,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.26,0.029,.00,0.00%,0.27,7t --- 0 out d1,7t 1-- 2 out d1,,WSN,5.0,W,9,7
3,143,2008-09-06,WSN,ATL,7-7,H(1),2,1.0,1,0,0,0,0,0,0,0.00,4,10,6,1,0,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.76,0.081,.00,0.00%,0.50,7b --- 0 out a2,7b 3 out a2,,ATL,1.0,W,8,5
4,144,2008-09-07,WSN,ATL,9-9,,0,1.0,0,0,0,0,0,0,1,0.00,4,20,10,4,1,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.32,0.137,.00,0.00%,0.50,9b --- 0 out tie,9b 3 out tie,,ATL,0.0,W,7,4
5,145,2008-09-09,WSN,NYM,8-GF(8),,1,1.0,0,0,0,1,1,0,0,0.00,3,16,8,1,2,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.25,0.014,.00,0.00%,0.50,8b --- 0 out d2,8b end d 2,,NYM,1.0,L,8,10
6,146,2008-09-10,WSN,NYM,6-6,,0,1.0,0,0,0,0,2,0,0,0.00,3,14,9,4,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.99,0.075,.00,0.00%,0.50,6b --- 0 out tie,6b 3 out tie,,NYM,0.0,L,10,13
7,147,2008-09-12,WSN,FLA,8-GF(8),,1,1.0,1,0,0,0,0,0,0,0.00,3,17,10,2,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.42,0.032,.00,0.00%,0.52,8b --- 0 out d1,8b end d 1,,FLA,1.0,L,1,2
8,149,2008-09-14,WSN,FLA,7-7,H(2),1,0.1,0,0,0,0,1,0,0,0.00,1,8,5,0,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.00,0.056,.00,0.00%,0.37,7b --3 2 out a2,7b 3 out a2,,FLA,0.0,L,7,8
9,150,2008-09-15,WSN,NYM,8-8,,0,0.2,1,0,0,0,0,0,0,0.00,2,5,2,0,0,1,1,1,0,0,,2,0,0,0,0,2,0,0,0,1,0,0,1.07,0.026,.00,0.00%,0.91,8t 12- 1 out a5,8t 3 out a5,,WSN,5.0,W,7,2
10,151,2008-09-16,WSN,NYM,8-8,H(3),0,0.2,0,0,0,0,1,0,0,0.00,2,9,6,3,2,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,4.54,0.212,.00,0.00%,0.91,8t 12- 1 out a1,8t 3 out a1,,WSN,0.0,W,1,0
11,154,2008-09-19,WSN,SDP,7-7,,2,0.2,1,0,0,1,0,0,0,0.00,4,18,7,1,1,1,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.00,-0.014,.00,0.00%,-0.10,7t --- 0 out tie,7t -23 2 out tie,,WSN,10.0,L,6,11
12,157,2008-09-23,WSN,FLA,7-8,H(4),3,2.0,2,0,0,0,1,0,0,0.00,8,29,19,7,1,3,4,2,1,0,,0,0,0,0,0,8,1,0,0,0,0,0,1.04,0.145,.00,0.00%,1.00,7t --- 0 out a2,8t 3 out a2,,WSN,1.0,W,9,4
13,159,2008-09-26,WSN,PHI,7-7,,2,0.2,1,1,0,1,1,0,0,0.00,4,10,6,2,1,1,1,1,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,.32,0.000,.00,0.00%,0.01,7b --- 0 out d3,7b 1-3 2 out d3,,PHI,10.0,L,4,8
