,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,106,2010-08-02,KCA,OAK,8-GF(8),,99,1.0,2,1,1,2,0,0,0,9.00,6,31,17,4,0,2,2,2,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,0.03,-0.002,0.0,0.00%,-0.51,8b --- 0 out d5,8b end d 6,,OAK,4.0,L,0,6,,
1,2,115,2010-08-12,KCA,NYY,8-8,,9,1.0,1,0,0,1,1,0,0,4.50,5,18,10,3,2,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.31,0.015,0.0,0.00%,0.49,8t --- 0 out d3,8t 3 out d3,,KCR,2.0,L,3,4,,
2,3,117,2010-08-14,KCA,NYY,8-GF,,1,2.0,2,2,2,0,1,1,0,6.75,8,26,13,2,1,2,5,2,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,0.12,-0.01,0.0,0.00%,-1.02,8t --- 0 out d3,9t end d 5,,KCR,1.0,L,3,8,,
3,4,121,2010-08-19,KCA,CLE,9-GF,,4,1.0,2,2,2,1,0,0,0,9.00,6,22,12,3,1,3,2,0,0,0,,0,0,1,0,0,5,1,0,0,0,0,0,0.39,-0.055,0.0,0.00%,-1.51,9t --- 0 out d2,9t end d 4,,KCR,3.0,L,3,7,,
4,5,123,2010-08-21,KCA,CHW,9-GF(10),L(0-1),1,2.0,3,1,1,0,1,0,0,7.71,9,28,19,5,1,1,7,3,2,0,,0,0,0,0,0,8,1,0,0,0,0,0,1.81,-0.266,0.0,0.00%,-0.02,9t --- 0 out d1,10t end d 1,2.0,KCR,1.5,L,6,7,,
5,6,125,2010-08-23,KCA,DET,6-GF(8),,1,2.2,1,0,0,2,4,0,0,5.59,11,44,25,4,7,2,3,1,0,0,,1,1,0,0,0,9,0,0,0,0,0,0,0.0,-0.001,0.0,0.00%,0.7,6b -2- 1 out d9,8b end d10,,DET,1.3636363636363635,L,3,12,,
6,7,128,2010-08-27,KCA,CLE,6-8,,3,2.1,5,5,5,2,3,1,0,8.25,14,52,30,6,7,1,8,3,0,0,,0,0,0,0,0,12,2,0,0,0,0,0,0.01,0.001,0.0,0.00%,-3.13,6b --- 0 out d7,8b 123 1 out d10,,CLE,3.333333333333333,L,4,15,,
7,8,135,2010-09-04,KCA,DET,9-GF,,7,1.0,1,0,0,0,1,0,0,7.62,4,8,6,1,1,0,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.35,0.017,0.0,0.00%,0.49,9t --- 0 out d2,9t end d 2,,KCR,1.0,L,4,6,,
8,9,138,2010-09-07,KCA,MIN,3-3,,2,0.1,0,0,0,0,0,0,0,7.43,1,2,1,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.13,0.003,0.0,0.00%,0.36,3b --3 2 out d7,3b 3 out d7,,MIN,0.0,L,3,10,,
9,10,142,2010-09-12,KCA,CHW,8-GF(8),,4,1.0,0,0,0,0,3,0,0,6.91,3,12,9,3,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.01,0.001,0.0,0.00%,0.51,8b --- 0 out d6,8b end d 6,,CHW,0.0,L,6,12,,
10,11,146,2010-09-17,KCA,CLE,7-8,,4,2.0,2,1,1,0,3,1,0,6.61,8,29,23,8,2,3,2,1,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,0.05,-0.004,0.0,0.00%,-0.02,7t --- 0 out d6,8t 3 out d6,,KCR,1.0,L,4,11,,
11,12,150,2010-09-21,KCA,DET,9-9,,3,0.1,4,3,2,0,0,0,0,7.56,5,16,8,1,1,2,3,3,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.18,-0.04,0.0,0.00%,-2.41,9b --- 0 out a6,9b 12- 1 out a4,,DET,40.0,W,9,6,,
12,13,157,2010-09-28,KCA,MIN,9-GF,,6,1.0,0,0,0,0,3,0,0,7.13,3,13,9,4,4,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.49,9t --- 0 out a9,9t end a 9,,KCR,0.0,W,10,1,,
13,14,161,2010-10-02,KCA,TBR,9-GF,,3,0.2,0,0,0,0,2,0,0,6.87,2,7,6,1,3,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0.04,0.002,0.0,0.00%,0.26,9t --- 1 out d4,9t end d 4,,KCR,0.0,L,0,4,,
14,15,162,2010-10-03,KCA,TBR,12-GF(12),,0,0.1,0,0,0,0,1,0,0,6.75,2,7,5,1,1,1,0,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,1,2.14,-0.336,0.0,0.00%,-0.68,12t -2- 2 out tie,12t end d 1,,KCR,0.0,L,2,3,,
15,16,43,2011-05-19,KCA,TEX,9-GF(10),W(1-0),99,1.1,0,0,0,0,0,0,0,0.00,4,15,11,5,1,2,2,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,1.66,0.168,1.44,0.09%,0.93,9t 12- 2 out d1,10t end tie,,KCR,0.0,W,2,1,,
16,17,46,2011-05-22,KCA,STL,5-6,,2,1.2,0,0,0,3,3,0,0,0.00,8,37,21,6,4,1,1,0,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,0.25,0.02,0.23,0.01%,1.4,5t 12- 1 out d6,6t 3 out d5,,KCR,2.5,L,8,9,,
17,18,49,2011-05-26,KCA,BAL,7-8,,3,2.0,1,0,0,1,2,0,0,0.00,8,32,21,6,4,3,2,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.67,0.19699999999999998,1.31,0.09%,1.02,7b --- 0 out tie,8b 3 out tie,,BAL,1.0,L,5,6,,
18,19,52,2011-05-29,KCA,TEX,7-7,H(1),2,0.2,0,0,0,0,1,0,0,0.00,2,8,5,3,1,1,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,2.39,0.102,1.67,0.04%,0.6,7b 1-- 0 out a2,7b -2- 2 out a2,,TEX,0.0,L,6,7,,
19,20,53,2011-05-30,KCA,LAA,6-6,H(2),0,1.0,1,0,0,0,1,0,0,0.00,4,10,7,2,0,0,3,1,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.3,0.065,0.8,0.02%,0.5,6t --- 0 out a2,6t 3 out a2,,KCR,1.0,L,8,10,,
20,21,55,2011-06-01,KCA,LAA,6-8,,1,2.2,2,0,0,0,6,0,0,0.00,10,43,33,8,11,2,2,0,0,0,,0,0,0,0,0,10,0,0,0,0,0,0,1.21,0.218,0.72,0.08%,1.26,6t --- 0 out tie,8t 1-- 2 out tie,,KCR,0.9090909090909092,W,2,0,,
21,22,60,2011-06-06,KCA,TOR,7-8,,4,0.2,1,0,0,1,0,0,0,0.00,4,17,7,3,1,0,3,2,0,0,,2,0,0,0,0,3,0,0,0,0,0,0,1.88,-0.022000000000000002,0.67,-0.01%,0.02,7t 12- 2 out d1,8t 12- 1 out tie,,KCR,10.0,W,3,2,,
22,23,62,2011-06-08,KCA,TOR,9-GF,,1,1.0,0,0,0,0,3,0,0,0.00,3,17,13,4,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.22,0.017,0.08,0.00%,0.5,9t --- 0 out d2,9t end d 2,,KCR,0.0,L,8,9,,
23,24,64,2011-06-10,KCA,LAA,7-8,H(3),1,1.2,0,0,0,0,1,0,0,0.00,5,25,17,3,3,2,2,0,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,1.33,0.166,0.41,0.03%,0.95,7b 1-- 1 out a2,8b 3 out a2,,LAA,0.0,W,4,2,,
24,25,67,2011-06-14,KCA,OAK,7-8,H(4),3,1.2,3,2,1,0,1,0,0,0.63,8,31,19,6,2,6,1,0,0,0,,0,0,0,0,0,8,0,0,0,1,0,1,1.01,-0.002,0.39,0.00%,-1.34,7b --- 0 out a2,8b -2- 2 out a2,,OAK,2.5,W,7,4,,
25,26,71,2011-06-18,KCA,STL,8-GF(8),BL(1-1),3,1.0,1,1,1,0,2,1,0,1.17,4,11,9,3,4,1,1,0,0,0,,1,1,0,0,0,4,0,0,0,0,0,0,2.05,-0.46799999999999997,0.81,-0.11%,-1.18,8b 1-- 0 out a1,8b end d 1,,STL,1.0,L,4,5,,
26,27,75,2011-06-23,KCA,ARI,9-GF,,4,0.1,0,0,0,0,1,0,0,1.15,1,5,3,0,3,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.53,0.013999999999999999,0.09,0.00%,0.36,9t --3 2 out d2,9t end d 2,,KCR,0.0,L,3,5,,
27,28,77,2011-06-25,KCA,CHC,8-8,W(2-1),1,1.0,0,0,0,0,0,0,0,1.08,3,12,8,0,1,0,3,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.41,0.106,0.2,0.01%,0.5,8t --- 0 out tie,8t 3 out tie,,KCR,0.0,W,3,2,,
28,29,79,2011-06-27,KCA,SDP,8-GF(8),,1,1.0,1,0,0,1,2,0,0,1.02,5,20,11,3,5,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.73,0.025,0.12,0.00%,0.43,8b --- 0 out d1,8b end d 1,,SDP,2.0,L,3,4,,
29,30,83,2011-07-02,KCA,COL,6-7,,4,2.0,3,1,1,0,1,1,0,1.37,8,31,21,4,6,1,6,3,0,0,,0,0,0,0,0,8,0,1,0,1,0,0,0.2,-0.022000000000000002,0.01,0.00%,0.09,6b --- 0 out d3,7b 3 out d4,,COL,1.5,L,6,9,,
30,31,85,2011-07-04,KCA,CHW,7-7,H(5),1,1.0,0,0,0,0,1,0,0,1.31,3,12,8,1,4,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.43,0.111,0.11,0.01%,0.53,7b --- 0 out a1,7b 3 out a1,,CHW,0.0,L,4,5,,
