Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,60,2004-06-12,MON,SEA,7-GF(8),,99,2.0,0,0,0,0,1,0,0,0.00,6,21,13,1,1,3,2,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.14,0.022,.01,0.00%,1.09,7b --- 0 out d3,8b end d 3,,SEA,0.0,L,0,3
2,62,2004-06-15,MON,MIN,6-6,,2,1.0,2,2,2,1,2,1,0,6.00,6,29,19,5,3,1,2,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.19,-0.052,.01,0.00%,-1.46,6t --- 0 out d4,6t 3 out d6,,MON,3.0,L,2,8
3,63,2004-06-16,MON,MIN,7-7,H(1),0,0.1,0,0,0,0,0,0,1,5.40,2,7,4,2,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.80,-0.003,.03,0.00%,-0.02,7t --- 0 out a3,7t 1-- 1 out a3,,MON,0.0,L,4,5
4,64,2004-06-17,MON,MIN,9-GF,,0,0.2,0,0,0,0,1,0,0,4.50,1,6,3,2,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.43,0.020,.01,0.00%,0.56,9t 1-- 1 out d2,9t end d 2,,MON,0.0,L,4,6
5,65,2004-06-18,MON,CHW,7-7,,0,0.1,0,0,0,0,0,0,0,4.15,1,3,2,1,0,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,4.73,0.122,.07,0.00%,0.80,7t 123 2 out tie,7t 3 out tie,,MON,0.0,L,7,11
6,68,2004-06-22,MON,PHI,8-8,H(2),3,0.2,0,0,0,0,2,0,1,3.60,3,16,10,3,3,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.90,0.028,.03,0.00%,0.30,8t --- 0 out a3,8t 1-- 2 out a3,,MON,0.0,W,5,2
7,70,2004-06-24,MON,PHI,8-8,H(3),1,0.1,1,2,2,2,0,0,0,6.75,4,19,9,3,0,1,1,0,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,1.27,-0.215,.03,0.00%,-1.91,8t --- 0 out a3,8t -23 1 out a2,,MON,30.0,W,3,2
8,73,2004-06-27,MON,TOR,8-GF,,2,1.1,0,0,0,0,0,0,0,5.40,4,15,9,4,1,2,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.13,0.013,.00,0.00%,0.71,8b --- 2 out a5,9b end a 5,,TOR,0.0,W,9,4
9,75,2004-06-29,MON,PHI,8-GF(8),,1,1.0,5,4,4,0,0,2,0,9.39,8,24,15,3,0,2,6,4,0,0,,0,0,0,0,0,8,2,0,0,0,0,0,.00,-0.002,.00,0.00%,-3.46,8b --- 0 out d6,8b end d10,,PHI,5.0,L,7,17
10,76,2004-06-30,MON,PHI,7-7,W(1-0),0,0.1,0,0,0,0,0,0,0,9.00,1,1,1,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.77,0.022,.01,0.00%,0.25,7b 1-- 2 out d1,7b 3 out d1,,PHI,0.0,W,6,3
11,79,2004-07-03,MON,TOR,8-8,,2,0.2,1,0,0,0,0,0,0,8.31,3,11,7,3,1,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.55,0.017,.01,0.00%,0.30,8t --- 0 out d2,8t 1-- 2 out d2,,MON,5.0,L,0,2
12,80,2004-07-04,MON,TOR,9-GF,S(1),0,0.1,0,0,0,0,1,0,0,8.00,1,5,5,1,2,0,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,5.71,0.149,.06,0.00%,0.80,9t 123 2 out a2,9t end a 2,,MON,0.0,W,6,4
13,82,2004-07-06,MON,ATL,7-7,,1,0.1,0,0,0,1,1,0,0,7.71,3,17,9,1,2,1,0,0,0,0,,2,1,0,0,0,2,0,0,1,0,0,1,3.02,-0.062,.02,0.00%,-0.35,7t -23 1 out tie,7t 123 2 out d1,,MON,10.0,L,0,1
14,83,2004-07-07,MON,ATL,9-GF,,0,0.2,1,0,0,0,0,0,0,7.20,3,11,8,2,0,1,2,1,0,0,,1,1,0,0,0,3,1,0,0,0,0,0,.00,0.000,.00,0.00%,-0.29,9t -2- 1 out d11,9t end d12,,MON,5.0,L,2,14
15,86,2004-07-10,MON,PIT,7-8,H(4),2,0.2,0,0,0,1,1,0,0,6.75,3,13,7,1,1,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.55,0.021,.00,0.00%,0.10,7t --- 2 out a1,8t 1-- 1 out a4,,MON,5.0,W,4,0
16,89,2004-07-16,MON,ATL,6-8,W(2-0),5,2.2,0,0,0,0,1,0,0,5.40,7,18,15,3,1,3,3,0,0,0,,3,0,0,0,0,7,0,0,0,1,0,0,1.26,0.350,.00,0.00%,2.65,6b 123 1 out a2,8b 3 out a4,,ATL,0.0,W,5,1
17,92,2004-07-19,MON,PIT,6-6,W(3-0),2,0.1,0,0,0,0,0,0,0,5.27,1,1,1,0,0,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.27,0.036,.00,0.00%,0.24,6b 1-- 2 out tie,6b 3 out tie,,PIT,0.0,W,6,2
18,94,2004-07-21,MON,NYM,8-8,L(3-1),1,0.2,0,1,0,1,0,0,0,5.02,3,13,5,3,0,1,1,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.42,0.057,.00,0.00%,0.28,8b --- 0 out tie,8b 1-- 2 out tie,,NYM,5.0,L,4,5
19,95,2004-07-22,MON,NYM,8-8,H(5),0,1.0,1,0,0,0,2,0,0,4.70,4,19,14,2,2,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.69,0.090,.00,0.00%,0.51,8b --- 0 out a2,8b 3 out a2,,NYM,1.0,W,4,1
20,96,2004-07-23,MON,FLA,8-8,H(6),0,0.1,0,0,0,0,0,0,0,4.60,1,2,1,0,0,0,1,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.05,0.028,.00,0.00%,0.11,8t --- 2 out a1,8t 3 out a1,,MON,0.0,W,2,1
21,97,2004-07-24,MON,FLA,7-7,H(7),0,0.2,0,0,0,1,0,0,0,4.41,3,13,6,2,1,2,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.27,0.034,.01,0.00%,0.20,7t --- 0 out a1,7t -2- 2 out a1,,MON,5.0,W,6,2
22,99,2004-07-26,MON,NYM,6-6,,1,0.2,0,0,0,0,0,0,0,4.24,2,4,3,1,0,2,0,0,0,0,,2,1,1,0,0,2,0,0,0,0,0,0,.56,0.015,.00,0.00%,-0.05,6t 12- 1 out a6,6t 3 out a5,,MON,0.0,W,19,10
23,100,2004-07-27,MON,NYM,9-9,,0,0.2,1,0,0,1,2,0,0,4.08,4,20,12,2,2,0,1,0,0,0,,0,0,0,0,0,3,1,0,1,0,0,0,.42,0.004,.00,0.00%,0.08,9t --- 0 out d2,9t 12- 2 out d2,,MON,10.0,L,2,4
24,104,2004-07-31,MON,FLA,8-9,H(8),3,0.1,2,0,0,0,0,0,0,4.00,3,10,8,2,2,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.01,-0.132,.00,0.00%,-0.89,8b --- 2 out a3,9b 12- 0 out a3,,FLA,20.0,W,8,5
