Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,5,2005-04-09,LAD,ARI,5-5,,99,0.2,3,1,1,0,0,0,0,13.50,5,16,11,3,0,2,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,1,0,.46,-0.043,.54,-0.03%,-0.72,5b --- 1 out d3,5b 3 out d4,,ARI,15.0,W,12,10
2,6,2005-04-10,LAD,ARI,5-5,,0,0.2,0,0,0,0,1,0,0,6.75,2,7,5,0,2,0,1,0,0,0,,3,0,0,0,0,2,0,0,0,0,0,0,1.66,0.092,2.03,0.07%,1.60,5b 123 1 out d2,5b 3 out d2,,ARI,0.0,L,4,5
3,7,2005-04-12,LAD,SFG,6-7,,1,2.0,3,0,0,0,3,0,0,2.70,9,33,24,10,1,2,4,1,0,0,,0,0,0,0,0,9,1,0,0,0,0,0,.27,0.029,.34,0.02%,0.99,6t --- 0 out d5,7t 3 out d3,,LAD,1.5,W,9,8
4,13,2005-04-19,LAD,MIL,6-6,,6,1.0,1,0,0,0,0,0,0,2.08,3,14,10,2,1,2,1,1,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,.07,0.006,.08,0.00%,0.51,6b --- 0 out d5,6b 3 out d5,,MIL,1.0,W,8,6
5,15,2005-04-21,LAD,SDP,7-GF(8),,1,2.0,4,0,0,1,1,0,0,1.42,9,24,17,5,3,2,5,3,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,.03,0.004,.04,0.00%,0.92,7b --- 0 out d5,8b end d 5,,SDP,2.5,L,1,6
6,20,2005-04-26,LAD,ARI,6-7,,4,1.2,1,0,0,1,3,0,0,1.13,7,27,17,3,6,0,3,2,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,1.25,0.084,1.86,0.08%,0.77,6t --- 0 out d1,7t 1-- 2 out d1,,LAD,1.6666666666666667,L,2,3
7,23,2005-04-30,LAD,COL,9-9,,3,0.2,2,1,1,0,0,0,1,2.08,5,23,17,7,2,2,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.19,-0.005,.25,0.00%,-1.00,9t --- 0 out a5,9t 1-3 2 out a4,,LAD,10.0,W,6,2
8,28,2005-05-06,LAD,CIN,8-9,,5,1.2,7,6,6,2,1,1,0,6.97,14,50,27,8,2,4,7,3,1,0,,0,0,0,0,0,12,3,0,0,0,0,0,.01,0.000,.01,0.00%,-5.31,8b --- 0 out a13,9b -2- 2 out a7,,CIN,7.5,W,13,6
9,33,2005-05-11,LAD,STL,8-GF(8),,4,1.0,3,2,2,1,2,0,1,7.94,8,29,18,6,4,1,3,3,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.04,-0.009,.05,-0.01%,-1.49,8b --- 0 out d4,8b end d 6,,STL,4.0,L,3,9
10,34,2005-05-12,LAD,STL,6-7,,0,1.0,2,4,4,3,1,0,0,10.22,7,30,16,6,1,2,1,0,0,0,,0,0,0,0,0,4,2,0,0,1,0,0,.28,-0.036,.37,-0.03%,-3.11,6b --- 0 out d3,7b -2- 0 out d6,,STL,5.0,L,3,10
11,38,2005-05-16,LAD,FLA,8-GF,,3,1.2,2,0,0,1,1,0,0,9.00,7,25,16,5,1,3,2,1,1,0,,2,0,0,0,0,6,0,0,0,1,0,0,.13,0.016,.17,0.01%,1.41,8t 12- 1 out d4,9t end d 4,,LAD,2.5,L,2,6
12,44,2005-05-24,LAD,SFG,5-6,,7,2.0,1,0,0,0,1,0,0,7.88,6,24,15,4,2,1,4,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.42,0.063,.50,0.05%,1.03,5b --- 0 out d2,6b 3 out d2,,SFG,0.5,L,3,5
13,50,2005-05-30,LAD,CHC,9-GF,,5,1.0,0,0,0,0,0,0,0,7.41,3,11,7,0,0,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.10,0.008,.12,0.01%,0.50,9t --- 0 out d3,9t end d 3,,LAD,0.0,L,3,5
14,55,2005-06-04,LAD,MIL,GS-6,W(1-0),4,5.1,4,1,1,1,2,0,1,6.04,20,74,45,18,1,12,4,1,2,0,57,,,0,0,0,18,1,0,0,2,0,0,1.23,0.147,1.17,0.08%,1.46,1t start tie,6t 1-- 1 out a1,,LAD,0.9803921568627452,W,2,1
15,62,2005-06-12,LAD,MIN,GS-6,W(2-0),7,6.0,7,3,3,2,8,0,0,5.72,27,101,70,12,13,5,12,2,1,0,52,,,2,0,0,22,4,1,0,0,2,0,1.46,-0.040,1.65,-0.03%,-0.02,1t start tie,6t 3 out tie,,LAD,1.5,W,4,3
16,66,2005-06-17,LAD,CHW,GS-6,L(2-1),4,6.0,5,4,4,4,6,1,1,5.77,27,109,64,15,8,7,9,0,2,0,48,,,4,0,0,22,1,0,1,1,0,0,.63,-0.161,.71,-0.11%,-0.74,1b start tie,6b 3 out d4,,CHW,1.5,L,0,6
