Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,104,2018-07-28,STL,CHC,7-7,,99,1.0,0,0,0,0,2,0,0,0.00,3,13,7,1,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.35,0.026,.28,0.01%,0.47,6.25,9.00,7t --- 0 out a4,7t 3 out a4,,STL,0.0,W,6,2
2,106,2018-07-30,STL,COL,10-GF(10),W(1-0),1,1.0,1,0,0,1,1,0,0,0.00,5,19,10,2,4,1,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,3.08,0.131,2.10,0.05%,0.47,7.05,18.00,10t --- 0 out tie,10t end tie,,STL,2.0,W,5,4
3,108,2018-08-01,STL,COL,7-7,H(1),1,1.0,0,0,0,0,0,0,0,0.00,3,8,7,3,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.25,0.093,.77,0.04%,0.47,2.25,3.00,7t --- 0 out a1,7t 3 out a1,,STL,0.0,W,6,3
4,111,2018-08-04,STL,PIT,5-7,W(2-0),2,3.0,0,0,0,0,1,0,0,0.00,9,28,22,5,3,4,4,1,1,0,,0,0,0,0,0,9,0,0,0,0,0,0,.74,0.165,.52,0.07%,1.39,12.75,24.00,5b --- 0 out a2,7b 3 out a3,,PIT,0.0,W,8,4
5,114,2018-08-07,STL,MIA,8-8,H(2),2,1.0,1,0,0,0,0,0,0,0.00,4,8,7,1,1,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.96,0.134,1.44,0.06%,0.45,1.65,3.00,8b --- 0 out a1,8b 3 out a1,,MIA,1.0,W,3,2
6,115,2018-08-08,STL,MIA,7-8,H(3),0,1.2,0,0,0,0,0,0,0,0.00,5,18,11,4,1,2,3,3,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.50,0.062,.43,0.03%,0.69,3.75,5.00,7b --- 1 out a2,8b 3 out a4,,MIA,0.0,W,7,1
7,117,2018-08-11,STL,KCR,8-8,,2,0.2,1,1,1,2,0,0,0,0.96,4,17,9,3,1,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.11,-0.012,1.28,-0.01%,-0.72,-2.30,-1.00,8b --- 0 out a4,8b 1-- 2 out a3,,KCR,15.0,W,8,3
8,119,2018-08-13,STL,WSN,9-GF,W(3-0),1,0.2,0,0,0,0,1,0,0,0.90,2,5,4,1,1,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,4.53,0.351,6.54,0.30%,1.37,7.50,17.00,9t -23 1 out tie,9t end tie,,STL,0.0,W,7,6
9,120,2018-08-14,STL,WSN,8-8,H(4),0,0.1,1,0,0,1,1,0,0,0.87,3,10,6,3,1,1,0,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,1.65,-0.011,2.56,-0.01%,-0.69,1.55,4.00,8t -2- 2 out a3,8t 3 out a2,,STL,20.0,W,6,4
10,123,2018-08-17,STL,MIL,7-7,H(5),2,1.0,1,0,0,0,0,0,0,0.79,3,11,8,2,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.95,0.043,1.79,0.05%,0.47,1.65,3.00,7t --- 0 out a3,7t 3 out a3,,STL,1.0,W,5,2
11,126,2018-08-20,STL,LAD,6-7,H(6),2,1.2,0,1,1,3,2,0,0,1.38,8,37,19,7,2,3,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.38,0.098,2.65,0.11%,0.53,3.95,8.00,6b --- 0 out a1,7b 12- 2 out a1,,LAD,2.5,W,5,3
12,128,2018-08-22,STL,LAD,8-8,W(4-0),1,1.0,1,0,0,1,0,0,0,1.29,6,27,16,2,3,5,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,1,3.08,0.103,6.41,0.13%,0.47,5.05,15.00,8b --- 0 out tie,8b 3 out tie,,LAD,2.0,W,3,1
13,130,2018-08-25,STL,COL,8-8,L(4-1),2,0.1,3,3,3,0,0,0,0,3.14,4,7,7,2,0,3,1,1,0,0,,0,0,0,0,0,4,2,0,0,0,0,0,1.35,-0.337,2.76,-0.41%,-2.43,-7.05,-8.00,8b --- 0 out tie,8b --3 1 out d2,,COL,30.0,L,1,9
14,132,2018-08-28,STL,PIT,8-8,H(7),2,0.1,0,0,0,0,0,0,0,3.07,1,4,3,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,2.68,0.068,4.49,0.07%,0.42,0.75,1.00,8t 12- 2 out a2,8t 3 out a2,,STL,0.0,W,5,2
