,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,39,2009-05-17,CLE,TBR,GS-4,L(0-1),99,3.2,7,7,7,4,2,0,0,17.18,22,97,52,20,2,5,11,5,2,0,17.0,,,1,0,0,18,2,2,1,0,0,0,1.03,-0.512,0.51,-0.15%,-5.33,1b start tie,4b 12- 2 out d4,,TBR,3.4375,L,5,7
1,2,44,2009-05-23,CLE,CIN,GS-3,,5,3.0,7,6,6,1,3,3,0,17.55,17,63,39,8,6,5,8,1,2,0,23.0,,,0,0,0,16,0,0,0,0,0,0,0.84,-0.49200000000000005,0.33,-0.12%,-4.51,1b start tie,3b 3 out d2,,CIN,2.6666666666666665,W,7,6
2,3,49,2009-05-28,CLE,TBR,GS-4,,4,4.0,4,0,0,1,2,0,0,10.97,17,71,42,14,2,8,6,1,2,0,55.0,,,0,0,0,16,1,0,0,0,0,0,1.26,0.218,0.71,0.07%,2.06,1t start tie,4t 3 out a1,,CLE,1.25,W,2,1
3,4,54,2009-06-02,CLE,MIN,GS-5,L(0-2),4,5.0,9,4,4,0,5,1,0,9.77,23,98,64,16,6,9,9,5,1,0,38.0,,,1,0,0,23,2,0,0,1,0,0,0.74,-0.13699999999999998,0.39,-0.04%,-1.34,1b start tie,5b 3 out d4,,MIN,1.8,L,3,4
4,5,59,2009-06-07,CLE,CHW,GS-5,W(1-2),4,5.0,4,3,3,3,3,1,0,8.71,21,96,58,19,4,7,8,2,1,0,47.0,,,1,0,0,18,1,0,0,1,0,0,0.9,0.105,0.54,0.04%,-0.15,1b start a 1,5b 3 out a3,,CHW,1.4,W,8,4
5,6,63,2009-06-12,CLE,STL,GS-8,W(2-2),4,7.1,6,3,3,2,5,1,0,7.39,29,112,74,20,8,6,16,7,4,0,57.0,,,0,0,0,27,0,0,0,1,0,0,1.05,0.317,0.66,0.12%,2.2,1t start tie,8t 12- 1 out a4,,CLE,1.1267605633802815,W,7,3
6,7,68,2009-06-17,CLE,MIL,GS-5,,4,5.0,5,3,3,1,1,1,1,7.09,22,99,59,17,4,7,12,4,2,0,45.0,,,0,0,0,20,1,1,0,0,0,0,0.72,-0.063,0.35,-0.02%,-0.42,1t start tie,5t 3 out tie,,CLE,1.2,L,8,9
7,8,72,2009-06-23,CLE,PIT,GS-8,W(3-2),5,8.0,4,0,0,2,2,0,0,5.71,30,112,75,20,8,10,16,5,2,0,74.0,,,0,0,0,28,1,0,0,0,0,0,0.62,0.268,0.15,0.04%,3.9,1b start tie,8b 3 out a5,,PIT,0.75,W,5,4
8,9,77,2009-06-28,CLE,CIN,GS-5,L(3-3),4,5.0,9,7,6,1,3,1,0,6.26,26,83,53,11,8,4,18,5,3,0,25.0,,,0,0,0,24,2,1,0,0,0,1,0.91,-0.363,0.15,-0.04%,-4.42,1t start tie,5t 3 out d6,,CLE,2.0,L,1,8
9,10,81,2009-07-03,CLE,OAK,GS-6,W(4-3),4,6.0,8,3,3,1,4,0,0,6.06,27,101,65,21,7,10,12,10,2,0,47.0,,,0,0,0,26,5,0,0,2,0,1,0.89,-0.077,0.03,0.00%,0.09,1t start tie,6t 3 out a10,,CLE,1.5,W,15,3
10,11,86,2009-07-09,CLE,CHW,GS-5,,5,4.1,11,8,7,2,2,1,0,6.71,26,99,59,17,4,8,14,5,2,0,11.0,,,0,0,0,24,1,0,0,0,0,0,0.91,-0.28,0.03,-0.01%,-4.74,1b start a 2,5b 1-- 1 out a2,,CHW,3.1707317073170733,W,10,8
11,12,91,2009-07-17,CLE,SEA,GS-5,L(4-4),7,5.0,7,3,3,1,3,1,0,6.6,23,108,70,23,5,10,8,5,1,1,43.0,,,0,0,0,22,3,0,0,0,0,0,0.84,-0.09300000000000001,0.02,0.00%,-0.42,1t start tie,5t 3 out d3,,CLE,1.6,L,2,6
