,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,110,2008-08-01,TEX,TOR,GS-5,,99,5.0,8,6,6,2,4,2,0,10.8,28,87,52,9,7,8,13,4,2,0,29.0,,,0,0,0,24,1,0,0,0,0,1,0.6,-0.28600000000000003,0.52,-0.15%,-3.3,1t start tie,5t 3 out d4,,TEX,2.0,W,9,8,,
1,2,115,2008-08-06,TEX,NYY,GS-5,L(0-1),4,4.1,8,5,5,0,4,1,0,10.61,21,77,53,13,7,6,11,5,2,0,31.0,,,1,1,1,21,2,0,0,0,0,0,0.93,-0.348,1.11,-0.25%,-3.53,1t start tie,5t 1-3 1 out d3,,TEX,1.951219512195122,L,3,5,,
2,3,122,2008-08-14,TEX,BOS,GS-2,L(0-2),7,1.2,7,9,9,1,1,1,1,16.36,14,50,28,8,1,2,9,6,0,0,5.0,,,0,0,0,12,2,0,0,0,0,0,1.11,-0.368,0.34,-0.07%,-7.11,1b start tie,2b 1-- 2 out d8,,BOS,6.666666666666668,L,0,10,,
3,4,47,2009-05-29,TEX,OAK,GS-6,,99,5.1,7,3,3,3,1,1,0,5.06,26,90,55,14,6,5,17,4,3,0,40.0,,,2,0,0,23,2,0,0,0,0,0,1.09,-0.08199999999999999,1.56,-0.07%,-0.59,1t start tie,6t 12- 1 out d1,1.0,TEX,1.9607843137254903,W,6,3,,
4,5,74,2009-06-28,TEX,SDP,GS-7,L(0-1),29,6.1,7,2,2,0,3,1,0,3.86,24,94,61,11,7,10,11,4,4,0,54.0,,,0,0,0,24,1,1,0,2,0,0,0.88,0.085,1.27,0.07%,1.37,1t start tie,7t 1-- 1 out d2,,TEX,1.1475409836065575,L,0,2,,
5,6,78,2009-07-03,TEX,TBR,GS-6,W(1-1),4,5.1,3,1,1,3,5,0,0,3.18,22,90,55,15,10,7,7,4,0,0,60.0,,,1,0,0,19,0,0,0,0,0,1,1.13,0.185,1.77,0.17%,1.81,1t start tie,6t 1-- 1 out a2,,TEX,1.1764705882352942,W,3,1,,
6,7,84,2009-07-09,TEX,SEA,GS-6,,5,6.0,4,0,0,3,4,0,0,2.35,24,104,66,13,11,10,7,3,2,0,65.0,,,1,0,0,20,0,0,1,1,0,0,1.3,0.371,2.49,0.43%,3.06,1b start tie,6b 3 out a1,,SEA,1.1666666666666667,L,1,3,,
7,8,92,2009-07-21,TEX,BOS,GS-6,W(2-1),11,6.0,4,1,1,1,2,0,0,2.17,22,85,58,15,7,3,16,3,3,0,61.0,,,0,0,0,21,2,0,0,0,0,0,0.91,0.248,1.56,0.26%,2.39,1t start tie,6t 3 out a1,,TEX,0.8333333333333334,W,4,2,,
8,9,97,2009-07-27,TEX,DET,GS-7,W(3-1),5,7.0,5,1,1,2,6,1,0,2.0,28,104,67,18,9,12,8,5,1,0,67.0,,,0,0,0,26,1,0,0,0,0,1,1.1,0.3,1.86,0.30%,2.95,1t start tie,7t 3 out a3,,TEX,1.0,W,5,2,,
9,10,102,2009-08-01,TEX,SEA,GS-5,L(3-2),4,5.0,7,5,4,3,5,1,1,2.63,27,103,65,15,12,3,15,6,1,0,37.0,,,1,1,0,23,2,1,0,0,0,2,0.72,-0.24,1.39,-0.28%,-2.18,1t start tie,5t 3 out d4,,TEX,2.0,L,2,7,,
10,11,107,2009-08-06,TEX,OAK,GS-7,W(4-2),4,7.0,3,3,2,2,4,0,0,2.63,25,94,63,21,4,7,12,2,1,0,63.0,,,0,0,0,23,2,0,0,1,0,0,0.96,0.106,1.57,0.10%,0.72,1b start tie,7b 3 out a3,,OAK,0.7142857142857143,W,6,4,,
11,12,112,2009-08-12,TEX,CLE,GS-8,W(5-2),5,7.2,6,0,0,0,5,0,0,2.26,28,98,66,20,7,13,10,5,3,0,72.0,,,0,0,0,28,1,0,0,2,0,0,0.99,0.455,1.72,0.48%,3.8,1b start tie,8b -2- 2 out a5,,CLE,0.8333333333333333,W,5,0,,
12,13,117,2009-08-17,TEX,MIN,GS-6,W(6-2),4,5.2,4,4,4,3,5,1,0,2.64,24,101,62,18,7,8,8,3,1,0,47.0,,,0,0,0,21,2,0,0,0,0,0,0.88,0.011000000000000001,1.73,0.01%,0.92,1t start tie,6t 12- 2 out a5,,TEX,1.346153846153846,W,8,5,,
13,14,122,2009-08-22,TEX,TBR,GS-5,,4,5.0,7,3,3,2,1,2,0,2.85,22,95,59,17,2,8,11,4,0,0,40.0,,,1,1,0,20,1,0,0,2,0,1,1.21,-0.10099999999999999,2.72,-0.14%,-0.34,1b start tie,5b 3 out d1,,TBR,1.8,L,4,5,,
14,15,127,2009-08-28,TEX,MIN,GS-7,L(6-3),5,7.0,7,3,3,0,3,0,1,2.95,29,102,66,14,4,11,14,2,2,0,54.0,,,1,0,0,28,1,1,0,0,0,0,0.57,-0.065,1.17,-0.08%,0.72,1b start tie,7b 3 out d2,,MIN,1.0,L,2,3,,
15,16,133,2009-09-02,TEX,TOR,GS-7,W(7-3),4,7.0,5,4,4,2,4,2,0,3.14,27,86,62,18,5,4,17,4,4,0,53.0,,,0,0,0,25,1,0,0,0,0,1,0.79,0.037000000000000005,1.46,0.04%,-0.05,1t start tie,7t 3 out a2,,TEX,1.0,W,6,4,,
16,17,137,2009-09-08,TEX,CLE,GS-6,,5,5.1,8,5,5,1,2,0,0,3.47,25,69,49,15,3,7,15,4,3,0,33.0,,,1,0,0,23,4,0,0,0,1,0,1.1,-0.094,2.17,-0.11%,-1.33,1b start tie,6b -23 1 out a2,1.0,CLE,1.7647058823529411,W,11,9,,
17,18,141,2009-09-13,TEX,SEA,CG,W(8-3),4,9.0,6,2,1,1,3,0,0,3.23,34,102,68,16,9,12,18,7,5,0,71.0,,,0,0,0,33,1,0,0,0,0,0,0.64,0.254,1.19,0.29%,3.08,1t start tie,9t 3 out a5,1.0,TEX,0.7777777777777778,W,7,2,,
18,19,146,2009-09-18,TEX,LAA,GS-5,L(8-4),4,5.0,5,2,2,4,5,1,0,3.25,25,97,58,23,7,6,10,4,0,0,50.0,,,0,1,0,20,0,0,0,0,0,1,0.98,0.04,0.79,0.02%,0.82,1t start tie,5t 3 out d2,,TEX,1.8,L,0,2,,
19,20,151,2009-09-23,TEX,OAK,GS-6,W(9-4),4,5.2,9,7,7,0,2,1,0,3.67,25,79,55,15,4,9,14,6,2,0,25.0,,,0,0,0,25,3,0,0,0,0,0,1.05,-0.409,0.09,-0.02%,-4.05,1b start a 2,6b 1-- 2 out a2,,OAK,1.7307692307692306,W,9,8,,
