,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,98,2010-07-24,LAN,NYM,7-7,,99,1.0,0,0,0,0,2,0,0,0.0,3,14,9,1,5,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.14,0.085,1.37,0.06%,0.47,7t --- 0 out tie,7t 3 out tie,,LAD,0.0,W,3,2,,
1,2,99,2010-07-25,LAN,NYM,9-GF,S(1),0,1.0,0,0,0,0,2,0,0,0.0,3,15,8,4,3,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.07,0.155,2.6,0.12%,0.47,9t --- 0 out a1,9t end a 1,,LAD,0.0,W,1,0,,
2,3,102,2010-07-29,LAN,SDP,7-7,,3,1.0,1,0,0,0,1,0,0,0.0,4,16,8,4,0,0,3,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.53,0.083,2.34,0.08%,0.44,7b --- 0 out tie,7b 3 out tie,,SDP,1.0,L,2,3,,
3,4,109,2010-08-05,LAN,SDP,7-7,,6,1.0,1,0,0,0,1,0,0,0.0,4,18,12,3,4,1,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.4,0.018000000000000002,0.39,0.01%,0.47,7t --- 0 out d3,7t 3 out d3,,LAD,1.0,L,0,5,,
4,5,110,2010-08-06,LAN,WSN,7-7,,0,1.0,0,0,0,2,1,0,0,0.0,5,21,7,3,1,2,0,0,0,0,,0,0,1,0,0,2,0,0,1,0,0,0,0.52,0.018000000000000002,0.34,0.01%,0.47,7t --- 0 out d3,7t 3 out d3,,LAD,2.0,L,3,6,,
5,6,112,2010-08-08,LAN,WSN,7-7,H(1),1,1.0,1,0,0,0,2,0,0,0.0,4,17,12,2,5,0,2,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.1,0.043,0.71,0.02%,0.47,7t --- 0 out a3,7t 3 out a3,,LAD,1.0,W,8,3,,
6,7,114,2010-08-11,LAN,PHI,7-7,,2,1.0,1,0,0,0,2,0,0,0.0,4,23,16,3,2,0,2,1,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,0.45,0.023,0.44,0.01%,0.5,7b --- 0 out d2,7b 3 out d2,,PHI,1.0,L,0,2,,
7,8,115,2010-08-12,LAN,PHI,8-8,,0,0.1,1,0,0,0,0,0,0,0.0,2,11,7,1,0,2,0,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,0.95,-0.01,0.67,0.00%,-0.4,8b -2- 0 out a4,8b 1-- 1 out a3,,PHI,10.0,L,9,10,,
8,9,117,2010-08-14,LAN,ATL,7-7,H(2),1,0.1,1,1,1,1,1,0,0,1.17,3,17,9,2,0,0,1,1,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,2.07,-0.157,0.81,-0.04%,-0.9,7b --- 0 out a2,7b -23 1 out a2,,ATL,20.0,W,2,1,,
9,10,120,2010-08-17,LAN,COL,8-8,,2,0.0,1,0,0,1,0,0,0,1.17,2,6,1,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0.37,-0.035,0.09,-0.01%,-0.98,8t --- 0 out a5,8t 12- 0 out a5,,LAD,inf,W,6,0,,
