,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,115,2018-08-07,ANA,DET,8-GF,,99,2.0,1,0,0,0,1,0,0,0.0,7,23,15,4,2,2,4,2,1,0,,0,0,0,0,0,7,1,0,0,0,0,0,0.06,0.008,0.0,0.00%,1.0,5.9,9.0,8t --- 0 out a6,9t end a 6,,LAA,0.5,W,11,5
1,2,118,2018-08-11,ANA,OAK,6-6,,3,1.0,0,0,0,1,1,0,0,0.0,4,21,9,2,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.06,0.003,0.0,0.00%,0.5,3.65,6.0,6t --- 0 out d7,6t 3 out d7,,LAA,1.0,L,0,7
2,3,119,2018-08-12,ANA,OAK,8-8,,0,1.0,0,0,0,0,3,0,0,0.0,3,17,10,3,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.19,0.015,0.01,0.00%,0.5,8.25,12.0,8t --- 0 out d3,8t 3 out d3,,LAA,0.0,L,7,8
3,4,121,2018-08-14,ANA,SDP,7-7,H(1),1,1.0,0,0,0,0,1,0,0,0.0,3,12,7,2,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.65,0.048,0.01,0.00%,0.45,4.25,6.0,7b --- 0 out a3,7b 3 out a3,,SDP,0.0,W,7,3
4,5,123,2018-08-16,ANA,TEX,3-3,H(2),1,1.0,1,0,0,0,1,0,0,0.0,4,19,10,2,1,1,2,2,0,0,,0,0,0,1,1,4,0,0,0,0,0,1,0.99,0.053,0.05,0.00%,0.56,3.65,6.0,3b --- 0 out a3,3b 3 out a3,,TEX,1.0,L,6,8
5,6,125,2018-08-18,ANA,TEX,8-8,,1,1.0,0,0,0,0,1,0,0,0.0,3,19,12,4,2,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.43,0.034,0.01,0.00%,0.56,4.25,6.0,8b --- 0 out a4,8b 3 out a4,,TEX,0.0,W,11,7
6,7,128,2018-08-22,ANA,ARI,7-7,,3,0.2,3,2,2,1,0,1,0,2.35,6,26,14,4,2,2,3,0,0,0,,0,0,1,0,0,5,0,0,0,0,0,0,0.18,-0.043,0.0,0.00%,-1.93,-4.9,-4.0,7b --- 0 out d3,7b 12- 2 out d5,,ARI,20.0,L,1,5
7,8,130,2018-08-25,ANA,HOU,8-8,,2,1.0,4,4,2,0,0,1,0,4.15,8,21,16,5,3,3,5,3,1,0,,0,0,0,0,0,8,1,0,0,0,0,1,0.57,-0.23199999999999998,0.0,0.00%,-3.5,-4.15,-3.0,8t --- 0 out d1,8t 3 out d5,,LAA,4.0,L,3,8
8,9,132,2018-08-27,ANA,COL,8-8,H(3),1,0.1,0,2,2,2,0,0,0,6.0,3,14,4,0,1,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,3.78,-0.11699999999999999,0.0,0.00%,-0.69,-4.45,-5.0,8t 1-- 0 out a2,8t 123 1 out a2,,LAA,20.0,W,10,7
9,10,144,2018-09-10,ANA,TEX,8-8,,13,1.0,3,1,1,0,1,0,0,6.3,6,20,15,3,3,1,4,4,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.59,-0.05,0.0,0.00%,-0.5,0.45,3.0,8t --- 0 out d2,8t 3 out d3,,LAA,3.0,L,2,5
10,11,146,2018-09-12,ANA,TEX,7-7,,1,1.0,2,1,1,1,0,1,0,6.55,6,22,12,0,0,1,4,1,2,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.16,0.002,0.0,0.00%,-0.5,-1.55,0.0,7t --- 0 out a7,7t 3 out a6,,LAA,3.0,W,8,1
11,12,149,2018-09-15,ANA,SEA,8-8,BS(1),2,0.0,1,0,0,0,0,0,0,6.55,1,3,2,0,0,0,1,1,0,0,,3,3,0,0,0,1,1,0,0,0,0,0,6.96,-0.551,0.0,0.00%,-2.55,-0.6,0.0,8t 123 2 out a1,8t -2- 2 out d2,,LAA,inf,L,5,6
12,13,153,2018-09-20,ANA,OAK,5-5,,4,1.0,0,0,0,0,2,0,0,6.0,3,14,9,4,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.5,6.25,9.0,5b --- 0 out d11,5b 3 out d11,,OAK,0.0,L,3,21
13,14,156,2018-09-23,ANA,HOU,7-7,,2,0.1,0,0,0,1,1,0,0,5.84,2,9,3,2,0,0,0,0,0,0,,3,1,0,0,0,1,0,0,0,0,0,0,0.5,-0.018000000000000002,0.0,0.00%,-0.23,2.15,4.0,7b 123 2 out d3,7b 3 out d4,,HOU,10.0,L,2,6
14,15,158,2018-09-25,ANA,TEX,7-7,H(4),1,1.0,0,0,0,0,1,0,0,5.4,3,6,6,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.61,0.047,0.0,0.00%,0.5,4.25,6.0,7t --- 0 out a3,7t 3 out a3,,LAA,0.0,W,4,1
15,16,160,2018-09-28,ANA,OAK,8-8,,2,0.2,2,4,2,2,1,0,0,6.43,6,28,13,3,4,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.09,-0.005,0.0,0.00%,-1.94,-2.9,-1.0,8t --- 0 out a8,8t 12- 2 out a6,,LAA,20.0,W,8,5
