,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,22,2007-04-27,SLN,CHC,8-8,,99,1.0,1,0,0,1,1,0,0,0.0,5,27,13,3,1,0,3,1,1,0,,0,0,1,0,0,4,0,0,0,0,0,0,1.42,0.054000000000000006,1.35,0.03%,0.52,8t --- 0 out d1,8t 3 out d1,,STL,2.0,L,3,5
1,2,24,2007-04-30,SLN,MIL,8-GF(8),,2,0.1,0,0,0,0,0,0,0,0.0,1,2,1,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.11,8b --- 2 out d6,8b end d 6,,MIL,0.0,L,1,7
2,3,28,2007-05-05,SLN,HOU,6-7,,4,2.0,4,2,2,0,1,0,0,5.4,11,33,20,4,3,3,7,4,0,0,,0,0,0,0,0,10,1,0,0,0,0,1,0.04,-0.009000000000000001,0.03,0.00%,-0.96,6t --- 0 out d7,7t 3 out d9,,STL,2.0,L,0,13
3,4,30,2007-05-07,SLN,COL,9-GF,,1,0.1,0,0,0,0,0,0,0,4.91,1,2,1,0,0,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,2.05,0.052000000000000005,1.27,0.02%,0.79,9t 123 2 out d1,9t end d 1,,STL,0.0,L,2,3
4,5,31,2007-05-08,SLN,COL,6-7,W(1-0),0,1.1,0,0,0,1,0,0,0,3.6,5,20,10,3,2,2,2,0,1,0,,2,0,0,0,0,4,0,0,0,0,0,0,1.29,0.114,0.7,0.04%,1.03,6t 1-3 2 out d1,7t 3 out d1,,STL,0.9090909090909092,W,4,1
5,6,33,2007-05-11,SLN,SDP,8-GF(8),,2,1.0,0,0,0,0,1,0,0,3.0,3,15,9,1,3,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.47,8b --- 0 out d7,8b end d 7,,SDP,0.0,L,0,7
6,7,35,2007-05-13,SLN,SDP,6-7,,1,1.2,0,0,0,1,1,0,0,2.35,6,21,11,2,1,3,1,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.24,0.022000000000000002,0.16,0.01%,0.73,6b --- 0 out d3,7b 1-- 2 out d3,,SDP,0.8333333333333334,L,0,3
7,8,37,2007-05-15,SLN,LAD,3-5,,1,2.1,3,1,1,0,2,0,0,2.7,10,29,19,4,4,2,6,1,1,0,,1,1,0,0,0,10,2,0,0,0,0,0,0.25,-0.068,0.18,-0.03%,-0.56,3b --3 2 out d3,5b 3 out d5,,LAD,1.4285714285714286,L,7,9
8,9,39,2007-05-18,SLN,DET,5-5,,2,0.1,5,7,7,2,0,0,0,8.71,8,25,11,3,1,2,4,3,0,0,,2,2,0,0,0,6,1,0,0,0,0,0,0.11,-0.023,0.06,-0.01%,-6.06,5b 1-3 0 out d5,5b 12- 1 out d12,,DET,70.0,L,4,14
9,10,42,2007-05-22,SLN,PIT,9-GF,,3,1.0,0,0,0,0,1,0,0,7.94,3,9,8,3,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.09,0.006999999999999999,0.04,0.00%,0.52,9t --- 0 out a5,9t end a 5,,STL,0.0,W,9,4
10,11,45,2007-05-25,SLN,WSN,6-7,,2,1.1,0,0,0,0,0,0,0,7.11,4,12,7,3,0,2,2,0,1,0,,3,0,0,0,0,4,0,0,0,0,0,0,0.55,0.057,0.36,0.02%,1.31,6t 123 2 out d3,7t 3 out d3,,STL,0.0,L,4,5
11,12,46,2007-05-26,SLN,WSN,9-9,,0,0.2,2,2,2,0,1,0,0,8.1,4,18,11,6,1,1,2,1,1,0,,0,0,0,0,0,4,2,0,0,0,0,0,0.18,0.002,0.11,0.00%,-0.81,9t --- 0 out a4,9t -2- 2 out a3,,STL,10.0,W,8,6
12,13,48,2007-05-28,SLN,COL,7-7,,1,0.2,0,0,0,0,1,0,0,7.71,2,9,6,1,1,0,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,0.04,0.002,0.03,0.00%,0.58,7b 1-- 1 out d6,7b 3 out d6,,COL,0.0,L,2,6
13,14,53,2007-06-02,SLN,HOU,7-GF(8),,4,2.0,2,2,2,1,2,1,0,7.88,9,27,16,3,4,2,4,1,2,0,,0,0,0,0,0,8,0,0,0,0,0,0,0.1,-0.04,0.08,-0.02%,-0.95,7b --- 0 out d3,8b end d 5,,HOU,1.5,L,3,8
14,15,57,2007-06-07,SLN,CIN,7-8,,4,2.0,2,1,1,0,2,0,0,7.5,8,31,23,4,4,3,3,1,0,0,,0,0,1,0,0,8,0,0,0,0,0,0,0.14,-0.002,0.13,0.00%,0.04,7t --- 0 out d4,8t 3 out d5,,STL,1.0,L,1,5
15,16,58,2007-06-08,SLN,LAA,9-GF,,0,1.0,1,1,1,0,0,0,0,7.58,4,16,9,3,1,4,0,0,0,0,,0,0,2,0,0,4,0,0,0,0,0,0,0.1,-0.006999999999999999,0.08,0.00%,-0.48,9t --- 0 out d4,9t end d 5,,STL,1.0,L,6,10
16,17,59,2007-06-09,SLN,LAA,9-GF,,0,1.0,4,3,3,0,1,0,0,8.55,7,28,19,3,4,2,4,3,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,0.14,-0.031,0.11,-0.02%,-2.48,9t --- 0 out d3,9t end d 6,,STL,4.0,L,3,9
17,18,61,2007-06-12,SLN,KCR,8-GF(8),,2,1.0,2,0,0,0,1,0,0,8.14,4,12,9,2,3,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,0.0,0.0,0.0,0.00%,0.55,8b --- 0 out d8,8b end d 8,,KCR,2.0,L,1,8
18,19,63,2007-06-14,SLN,KCR,3-4,,1,1.2,4,6,6,2,1,1,0,9.93,11,35,20,5,1,4,4,2,0,0,,0,0,0,0,0,9,1,0,0,0,0,0,0.29,-0.09699999999999999,0.23,-0.05%,-3.36,3b --- 0 out d3,4b 12- 2 out d7,,KCR,5.0,L,8,17
