Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,94,2015-07-21,BOS,HOU,GS-5,L(0-1),99,4.1,3,4,4,4,3,0,0,8.31,19,87,50,18,6,4,8,5,0,0,40,,,2,0,0,14,0,0,0,1,1,0,1.25,-0.201,.46,-0.04%,-1.14,1b start tie,5b 1-- 1 out tie,,HOU,1.707317073170732,L,3,8,,
2,14,2017-04-18,BOS,TOR,GS-5,W(1-0),99,5.0,7,4,4,3,6,2,0,7.20,25,97,63,19,10,6,10,2,1,0,40,,,0,0,0,22,3,0,1,0,0,0,1.03,-0.134,1.13,-0.09%,-1.33,1b start tie,5b 3 out a2,,TOR,2.0,W,8,7,,
3,48,2017-05-27,BOS,SEA,SHO,W(2-0),38,9.0,5,0,0,0,8,0,0,2.57,32,109,85,20,11,7,17,8,1,0,85,,,1,0,0,32,0,0,0,0,0,0,.65,0.333,.77,0.24%,4.99,1t start tie,9t 3 out a6,,BOS,0.5555555555555556,W,6,0,,
4,60,2017-06-09,BOS,DET,GS-5,,12,4.1,8,3,3,1,2,2,0,3.44,22,105,73,20,4,9,10,2,1,0,36,,,0,0,0,21,0,0,0,0,0,0,.72,-0.107,.90,-0.08%,-0.80,1t start tie,5t 1-- 1 out d1,,BOS,2.1951219512195124,W,5,3,,
5,65,2017-06-14,BOS,PHI,GS-3,,4,2.2,4,3,3,1,1,1,0,4.29,13,44,28,7,5,3,8,5,1,0,38,,,0,0,0,12,2,0,0,0,0,0,.67,-0.117,.87,-0.09%,-1.81,1b start a 2,3b -2- 2 out a2,,PHI,2.2727272727272725,W,7,3,,
6,95,2017-07-18,BOS,TOR,GS-6,,33,6.0,8,3,3,3,4,0,0,4.33,29,93,57,21,6,10,12,3,3,0,45,,,0,0,0,26,3,0,0,0,0,0,1.34,-0.063,2.21,-0.06%,0.33,1t start tie,6t 3 out d2,,BOS,1.8333333333333333,W,5,4,,
7,5,2018-04-02,BOS,MIA,GS-6,W(1-0),99,6.0,6,1,1,2,5,1,0,1.50,25,82,49,22,5,10,8,3,1,0,59,,,0,0,0,23,0,0,0,1,0,0,1.11,0.141,1.14,0.09%,1.73,1b start tie,6b 3 out a4,,MIA,1.3333333333333333,W,7,3,20.70,42.00
8,9,2018-04-08,BOS,TBR,7-7,,5,0.1,1,2,2,1,1,0,0,4.26,3,14,9,2,2,0,1,1,0,0,,0,0,0,0,0,2,0,1,0,0,0,0,.39,-0.062,.49,-0.05%,-1.44,7t --- 0 out d3,7t --3 1 out d4,,BOS,20.0,W,8,7,-2.45,-2.00
9,10,2018-04-10,BOS,NYY,8-GF,,1,2.0,1,0,0,1,2,0,0,3.24,8,37,21,7,1,1,4,1,1,0,,0,0,0,0,0,7,1,0,0,0,0,0,.00,0.000,.00,0.00%,1.06,8t --- 0 out a13,9t end a13,,BOS,1.0,W,14,1,7.30,12.00
10,11,2018-04-11,BOS,NYY,7-8,,0,1.2,1,0,0,0,3,0,0,2.70,6,28,19,7,4,1,2,0,1,0,,1,0,0,0,0,6,0,0,0,0,0,0,.17,0.022,.22,0.02%,1.08,7t 1-- 1 out d4,8t 3 out d4,,BOS,0.8333333333333334,L,7,10,9.15,14.00
11,16,2018-04-17,BOS,LAA,6-8,,5,3.0,1,0,0,2,3,0,0,2.08,11,43,27,8,4,3,3,2,0,0,,0,0,0,0,0,9,0,0,0,2,0,1,.08,0.009,.10,0.01%,1.50,6b --- 0 out a8,8b 3 out a9,,LAA,1.0,W,10,1,10.95,18.00
12,19,2018-04-20,BOS,OAK,7-7,,2,0.0,1,0,0,0,0,0,0,2.08,1,3,2,1,0,0,1,1,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.15,-0.034,1.30,-0.02%,-0.33,7b 12- 2 out a4,7b 123 2 out a4,,OAK,inf,W,7,3,-0.60,0.00
13,26,2018-04-28,BOS,TBR,8-GF,,7,2.0,7,5,5,0,2,1,0,4.80,13,48,33,9,5,4,7,4,1,0,,0,0,0,0,0,13,1,0,0,0,0,0,.42,-0.084,.55,-0.07%,-3.94,8t --- 0 out d2,9t end d 7,,BOS,3.5,L,6,12,-5.70,-3.00
14,28,2018-04-30,BOS,KCR,8-GF,,1,2.0,2,1,1,0,2,0,0,4.76,8,31,21,6,3,0,6,3,1,0,,0,0,0,0,0,8,2,0,0,0,0,0,.31,0.020,.36,0.01%,0.06,8t --- 0 out a5,9t end a 4,,BOS,1.0,W,10,6,5.30,9.00
15,29,2018-05-01,BOS,KCR,13-GF(13),L(1-1),0,1.0,3,3,3,0,1,1,0,6.00,6,16,11,3,2,1,4,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,2.02,-0.455,2.30,-0.31%,-2.47,13t --- 0 out tie,13t end d 3,,BOS,3.0,L,6,7,-3.55,-3.00
16,36,2018-05-09,BOS,NYY,6-7,,7,1.0,0,0,0,0,0,0,0,5.68,3,14,9,3,1,1,2,1,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,1.27,0.099,1.99,0.09%,0.77,6b 1-- 1 out d1,7b --- 1 out a1,,NYY,0.0,L,6,9,2.25,3.00
17,38,2018-05-11,BOS,TOR,12-GF(12),L(1-2),1,0.0,1,2,2,1,0,1,0,6.63,2,5,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.73,-0.363,3.58,-0.29%,-2.00,12b --- 0 out tie,12b end d 2,,TOR,inf,L,3,5,-5.20,-6.00
18,41,2018-05-14,BOS,OAK,9-GF,,2,1.0,0,0,0,0,1,0,0,6.30,3,16,10,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.54,0.041,.61,0.03%,0.53,9t --- 0 out d1,9t end d 1,,BOS,0.0,L,5,6,4.25,6.00
19,42,2018-05-15,BOS,OAK,9-GF,,0,1.0,0,0,0,0,0,0,0,6.00,3,18,11,1,1,0,3,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.12,0.009,.15,0.01%,0.53,9t --- 0 out d3,9t end d 3,,BOS,0.0,L,3,5,2.25,3.00
20,47,2018-05-20,BOS,BAL,9-GF,,4,1.0,1,0,0,0,1,0,0,5.73,4,23,16,4,0,1,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.20,0.007,.23,0.01%,0.53,9t --- 0 out a5,9t end a 5,,BOS,1.0,W,5,0,3.65,6.00
21,50,2018-05-24,BOS,TBR,4-6,,3,2.1,4,0,0,0,2,0,0,5.18,10,37,24,7,3,3,5,4,0,0,,2,0,1,0,0,10,0,0,0,0,0,0,.07,0.012,.08,0.01%,1.43,4b 12- 2 out d6,6b 3 out d6,,TBR,1.9047619047619047,L,3,6,6.85,13.00
22,53,2018-05-27,BOS,ATL,5-7,,2,2.2,1,0,0,1,0,0,0,4.67,10,30,20,6,1,5,4,1,0,0,,1,0,0,0,0,9,0,0,0,0,0,0,.14,0.029,.14,0.02%,2.03,5t --3 1 out d6,7t 3 out d5,,BOS,0.9090909090909091,L,1,7,4.80,8.00
23,56,2018-05-30,BOS,TOR,9-9,,2,0.0,2,2,2,0,0,0,0,5.33,2,3,3,1,0,0,2,2,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.58,-0.067,.61,-0.04%,-1.35,9t --- 0 out a4,9t 1-3 0 out a4,,BOS,inf,W,6,4,-5.20,-6.00
