,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,39,17,2000-04-23,BAL,OAK,GS-6,,99,6.0,4,1,1,3,3,0,0,1.5,26,107,61,17,5,6,14,3,0,0,60.0,,,1,0,0,22,1,0,0,0,1,1,1.29,0.27699999999999997,1.53,0.20%,2.44,1b start tie,6b 3 out a1,,OAK,1.1666666666666667,L,2,3
1,40,22,2000-04-28,BAL,TEX,GS-7,,4,7.0,9,3,3,3,5,1,0,2.77,31,129,84,16,16,7,16,5,2,0,49.0,,,2,1,0,28,3,0,0,1,0,0,0.78,0.0,0.91,0.00%,0.98,1t start tie,7t 3 out d2,,BAL,1.7142857142857142,W,4,3
2,41,26,2000-05-03,BAL,ANA,GS-6,L(0-1),4,5.0,6,5,5,2,3,3,0,4.5,22,96,57,14,7,4,13,4,1,0,36.0,,,0,0,0,20,1,0,0,1,0,0,1.17,-0.24600000000000002,1.43,-0.18%,-1.56,1t start tie,6t 1-- 0 out d1,,BAL,1.6,L,5,6
3,42,31,2000-05-08,BAL,TOR,GS-4,L(0-2),4,4.0,6,6,6,1,2,2,1,6.14,20,74,41,8,5,3,13,5,0,0,27.0,,,1,0,0,18,0,0,0,0,0,0,0.82,-0.35100000000000003,0.98,-0.25%,-3.54,1b start tie,4b 3 out d4,,TOR,1.75,L,5,6
4,43,36,2000-05-13,BAL,BOS,GS-7,,4,7.0,2,0,0,6,5,0,0,4.66,29,114,58,18,7,8,10,2,3,0,72.0,,,0,0,0,22,0,0,0,0,0,0,1.25,0.485,1.12,0.26%,3.98,1t start tie,7t 3 out a1,,BAL,1.1428571428571428,L,1,5
5,44,43,2000-05-23,BAL,SEA,8-8,H(1),9,1.0,1,0,0,0,1,0,0,4.5,3,13,10,5,0,1,1,1,0,0,,0.0,0.0,0,1,0,3,0,0,0,0,0,0,1.29,0.083,0.61,0.02%,0.57,8t --- 0 out a2,8t 3 out a2,,BAL,1.0,W,4,2
6,45,47,2000-05-27,BAL,OAK,GS-6,L(0-3),3,6.0,8,2,2,3,4,0,0,4.25,29,112,68,24,7,9,13,6,0,0,49.0,,,1,0,0,25,2,1,0,0,0,0,1.05,0.083,0.73,0.03%,1.41,1t start tie,6t 3 out d2,,BAL,1.8333333333333333,L,0,4
7,46,52,2000-06-02,BAL,MON,GS-6,L(0-4),5,5.2,6,5,5,2,6,2,0,4.75,24,97,66,17,11,8,8,3,1,0,41.0,,,1,0,0,22,2,0,0,1,0,0,0.79,-0.06,0.54,-0.03%,-0.09,1b start tie,6b 1-3 2 out d1,,MON,1.5384615384615383,L,3,5
8,47,57,2000-06-08,BAL,NYM,GS-6,,5,5.1,6,6,6,5,4,1,0,5.36,26,106,60,20,10,10,7,2,1,0,31.0,,,0,1,0,20,2,0,0,0,1,0,1.01,-0.257,0.44,-0.07%,-2.48,1b start tie,6b -2- 1 out a1,,NYM,2.1568627450980395,L,7,8
9,48,62,2000-06-14,BAL,TEX,4-4,,5,0.2,2,1,1,1,0,0,0,5.48,5,17,10,3,0,2,2,1,0,0,,3.0,3.0,0,0,0,3,1,0,0,0,1,0,2.14,-0.27399999999999997,1.06,-0.08%,-2.35,4t 123 1 out a2,4t 3 out d2,,BAL,15.0,W,11,10
