,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,3,58,2000-06-07,TEX,LAD,7-GF,,99,3.0,2,2,0,2,3,0,1,0.0,14,42,23,5,5,4,4,1,1,0,,0.0,0.0,0,0,0,10,0,0,0,0,1,0,0.15,-0.015,0.18,-0.01%,-0.19,7t --- 0 out d5,9t end d 5,,TEX,1.3333333333333333,L,6,11
1,4,108,2000-08-05,TEX,TOR,6-GF(8),,58,3.0,3,2,2,2,4,0,0,3.0,14,70,42,12,8,3,5,4,0,0,,0.0,0.0,1,0,0,12,3,0,0,0,0,0,0.17,-0.006,0.03,0.00%,-0.15,6b --- 0 out d5,8b end d 4,,TOR,1.6666666666666667,L,5,8
2,5,113,2000-08-11,TEX,BOS,7-7,,5,1.0,0,0,0,1,2,0,0,2.57,4,26,15,2,3,0,1,0,1,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.13,0.01,0.02,0.00%,0.6,7t --- 0 out d5,7t 3 out d5,,TEX,1.0,L,3,7
3,6,117,2000-08-15,TEX,NYY,3-7,,3,4.1,5,3,3,2,3,1,0,3.97,20,80,45,10,6,3,12,4,1,0,,1.0,0.0,0,0,0,18,1,0,0,0,0,0,0.09,-0.011000000000000001,0.01,0.00%,-0.32,3t 1-- 2 out d7,7t 3 out d8,,TEX,1.707317073170732,L,2,10
4,7,134,2000-09-01,TEX,DET,4-7,,16,3.2,3,1,1,1,4,0,0,3.6,15,61,42,12,5,4,6,3,0,0,,2.0,0.0,0,0,0,14,0,1,0,0,0,0,0.16,0.03,0.0,0.00%,1.93,4b 1-3 1 out d5,7b 3 out d5,,DET,1.25,L,5,7
5,8,138,2000-09-05,TEX,CHW,7-8,W(1-0),3,2.0,1,0,0,0,1,0,0,3.18,7,25,15,4,2,1,5,0,1,0,,0.0,0.0,0,0,0,7,0,0,0,0,0,0,1.41,0.21600000000000003,0.0,0.00%,1.22,7b --- 0 out tie,8b 3 out tie,,CHW,0.5,W,2,1
6,9,140,2000-09-07,TEX,CHW,8-GF(8),,1,0.1,1,0,0,0,0,0,0,3.12,2,9,5,2,1,1,1,0,0,0,,3.0,1.0,0,0,0,2,0,0,0,0,0,0,0.15,-0.006,0.0,0.00%,-0.15,8b 123 2 out d4,8b end d 5,,CHW,10.0,L,6,10
7,10,142,2000-09-09,TEX,KCR,5-7,,1,1.2,3,1,1,1,1,0,0,3.32,9,29,13,5,0,4,3,2,0,0,,2.0,0.0,0,0,0,8,0,0,0,0,0,0,1.87,0.175,0.0,0.00%,1.73,5b -23 1 out a3,7b 1-- 0 out a3,,KCR,3.333333333333333,W,6,5
8,11,146,2000-09-13,TEX,BAL,4-6,,3,2.2,2,0,0,1,1,0,2,2.91,12,43,22,9,3,4,4,2,0,0,,2.0,1.0,1,0,1,8,0,0,0,0,1,0,0.58,0.048,0.0,0.00%,1.49,4t 1-3 1 out d3,6t 3 out d4,,TEX,1.3636363636363635,L,4,9
9,12,149,2000-09-16,TEX,KCR,6-7,,2,1.0,3,4,4,2,0,0,1,4.37,10,37,19,3,1,2,5,2,0,0,,2.0,2.0,0,0,0,7,0,0,0,0,0,1,0.73,-0.159,0.0,0.00%,-4.4,6t 12- 0 out d2,7t 12- 0 out d6,,TEX,5.0,L,5,8
