,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,88,2012-07-15,BAL,DET,8-GF,,99,2.0,1,1,1,2,2,1,0,4.5,9,47,28,11,3,2,3,0,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.28,0.0,0.31,0.00%,0.01,8t --- 0 out d3,9t end d 4,,BAL,1.5,L,0,4
1,2,111,2012-08-08,BAL,SEA,GS-6,W(1-0),23,6.0,5,2,2,2,9,1,0,3.38,25,97,67,20,14,4,10,4,1,0,61.0,,,0,0,0,23,0,0,0,0,0,0,0.83,0.183,1.29,0.17%,1.03,1t start tie,6t 3 out a5,,BAL,1.1666666666666667,W,9,2
2,3,118,2012-08-16,BAL,BOS,8-GF,,7,2.0,1,0,0,0,4,0,0,2.7,7,28,20,9,4,0,3,1,0,0,,0.0,0.0,0,0,0,7,1,0,0,0,0,0,0.21,0.024,0.29,0.02%,1.01,8t --- 0 out d3,9t end d 3,,BAL,0.5,L,3,6
3,4,124,2012-08-22,BAL,TEX,7-7,,5,1.0,2,1,1,0,1,0,0,3.27,5,23,13,3,1,1,3,1,1,0,,0.0,0.0,0,0,0,5,1,0,0,0,0,0,0.01,-0.001,0.01,0.00%,-0.46,7b --- 0 out d8,7b 3 out d9,,TEX,2.0,L,3,12
4,5,126,2012-08-25,BAL,TOR,GS-6,W(2-0),2,6.0,4,2,2,2,7,1,0,3.18,21,98,59,24,8,2,10,3,0,0,61.0,,,0,3,0,19,0,0,0,0,0,0,0.8,0.12,1.25,0.11%,1.03,1t start tie,6t 3 out a2,,BAL,1.0,W,8,2
5,6,129,2012-08-29,BAL,CHW,9-GF,,3,1.0,0,0,0,0,1,0,0,3.0,3,12,8,4,2,1,1,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.51,9t --- 0 out d7,9t end d 7,,BAL,0.0,L,1,8
6,7,138,2012-09-07,BAL,NYY,5-8,,8,3.0,1,0,0,0,3,0,0,2.57,10,38,29,8,5,2,5,1,0,0,,0.0,0.0,0,0,0,10,0,0,0,0,0,0,0.15,0.027999999999999997,0.49,0.06%,1.52,5t --- 2 out d7,8t --- 2 out d3,,BAL,0.3333333333333333,L,5,8
7,8,141,2012-09-11,BAL,TBR,4-5,W(3-0),3,1.1,0,0,0,2,2,0,0,2.42,6,30,15,5,3,1,1,0,0,0,,1.0,0.0,0,0,0,4,0,0,0,0,0,0,1.21,0.087,3.89,0.17%,0.74,4t 1-- 2 out a2,5t 3 out a2,,BAL,1.818181818181818,W,9,2
8,9,145,2012-09-15,BAL,OAK,5-7,,3,3.0,1,0,0,3,4,0,0,2.13,13,68,41,7,9,0,6,1,2,0,,0.0,0.0,0,0,0,10,1,0,1,0,0,0,0.34,0.046,0.99,0.08%,1.41,5b --- 0 out d3,7b 3 out d3,,OAK,1.3333333333333333,L,2,5
9,10,148,2012-09-18,BAL,SEA,13-15,,2,3.0,1,0,0,1,4,0,0,1.91,11,47,32,7,8,2,4,2,2,0,,0.0,0.0,0,0,0,10,0,0,0,0,0,0,2.02,0.385,5.28,0.60%,1.37,13b --- 0 out tie,15b 3 out tie,,SEA,0.6666666666666666,W,4,2
10,11,153,2012-09-24,BAL,TOR,GS-5,W(4-0),5,5.0,3,0,0,3,6,0,0,1.62,21,96,60,18,13,3,9,3,3,0,64.0,,,0,0,0,18,0,0,0,0,0,0,1.3,0.275,3.25,0.41%,2.53,1t start tie,5t 3 out a2,1.0,BAL,1.2,W,4,1
11,12,158,2012-09-29,BAL,BOS,GS-6,,4,5.0,4,3,3,3,3,1,0,2.11,20,88,54,20,6,5,9,1,4,0,47.0,,,0,1,0,17,0,0,0,1,0,0,1.03,-0.06,3.01,-0.11%,-0.47,1t start tie,6t 12- 0 out a1,,BAL,1.4,W,4,3
12,13,37,2013-05-11,BAL,MIN,GS-4,L(0-1),99,4.0,7,6,6,4,3,0,0,13.5,23,88,48,17,4,5,11,5,3,0,23.0,,,0,0,0,19,3,0,1,0,0,0,1.29,-0.512,1.63,-0.39%,-4.05,1b start a 3,4b 3 out d2,,MIN,2.75,L,5,8
13,14,49,2013-05-25,BAL,TOR,6-8,H(1),13,2.2,3,2,2,1,5,0,0,10.8,12,45,30,12,5,2,4,1,2,0,,0.0,0.0,0,0,0,11,2,0,0,0,0,0,1.18,0.054000000000000006,1.3,0.04%,0.05,6b --- 0 out a2,8b 12- 2 out a2,,TOR,1.818181818181818,W,6,5
14,15,53,2013-05-29,BAL,WSN,5-7,W(1-1),3,2.1,0,0,0,1,2,0,0,8.0,8,37,25,8,4,2,3,2,1,0,,1.0,0.0,0,0,0,7,0,0,0,0,0,0,0.28,0.044000000000000004,0.31,0.03%,1.23,5t 1-- 2 out d4,7t 3 out d3,,BAL,0.4761904761904762,W,9,6
15,16,55,2013-05-31,BAL,DET,7-7,,1,0.1,0,0,0,0,0,0,0,7.71,1,4,3,0,1,0,1,0,0,0,,2.0,0.0,0,0,0,1,0,0,0,0,0,0,1.14,0.028999999999999998,1.42,0.02%,0.44,7t 12- 2 out d2,7t 3 out d2,,BAL,0.0,W,7,5
16,17,59,2013-06-05,BAL,HOU,4-6,,4,2.1,3,3,3,2,5,2,0,8.49,12,55,29,10,8,0,5,1,1,0,,0.0,0.0,0,0,0,10,1,0,0,0,0,0,0.06,-0.037000000000000005,0.07,-0.03%,-2.22,4b --- 0 out d5,6b -2- 1 out d8,,HOU,2.380952380952381,L,7,11
