Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,3,2012-04-08,CHW,TEX,7-7,,99,1.0,0,0,0,2,1,0,0,0.00,4,26,16,2,4,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.13,0.004,.13,0.00%,0.54,7b --- 0 out d5,7b 3 out d5,,TEX,2.0,L,0,5,,
2,8,2012-04-15,CHW,DET,6-7,,6,2.0,1,0,0,2,0,0,0,0.00,9,34,21,4,3,2,5,2,1,0,,1,1,0,0,0,7,0,0,0,0,0,0,.77,0.010,.98,0.01%,0.66,6t -2- 0 out d2,7t 3 out d3,,CHW,1.5,L,2,5,,
3,11,2012-04-18,CHW,BAL,9-GF,,2,1.0,0,0,0,0,1,0,0,0.00,3,8,5,1,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.01,0.00%,0.52,9t --- 0 out a7,9t end a 7,,CHW,0.0,W,8,1,,
4,12,2012-04-19,CHW,BAL,7-8,,0,2.0,1,0,0,0,3,0,0,0.00,7,29,20,7,5,1,3,1,2,0,,0,0,0,0,0,7,0,0,0,0,0,0,.34,0.038,.36,0.02%,1.03,7t --- 0 out d3,8t 3 out d3,,CHW,0.5,L,3,5,,
5,18,2012-04-25,CHW,OAK,12-13,,5,2.0,1,0,0,0,0,0,0,0.00,7,23,14,2,1,1,6,1,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.83,0.263,2.11,0.18%,0.94,12b --- 0 out tie,13b 3 out tie,,OAK,0.5,L,4,5,,
6,20,2012-04-27,CHW,BOS,6-7,,1,1.0,4,2,2,1,2,0,0,2.00,8,34,19,5,4,2,3,2,0,0,,1,0,0,0,0,7,0,0,0,0,0,0,.29,-0.036,.31,-0.02%,-2.03,6t 1-- 2 out d4,7t 123 2 out d6,,CHW,5.0,L,3,10,,
7,25,2012-05-03,CHW,CLE,8-8,,5,1.0,0,0,0,1,1,0,0,1.80,4,22,12,2,4,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.12,0.008,.16,0.01%,0.52,8t --- 0 out d4,8t 3 out d4,,CHW,1.0,L,5,7,,
8,27,2012-05-05,CHW,DET,8-8,W(1-0),1,1.0,1,0,0,0,0,0,0,1.64,3,6,4,1,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.56,0.032,.63,0.02%,0.52,8b --- 0 out d1,8b 3 out d1,,DET,1.0,W,3,2,,
9,32,2012-05-09,CHW,CLE,9-GF,,3,1.0,1,0,0,1,2,0,0,1.50,5,21,13,5,3,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.03,0.001,.04,0.00%,0.47,9b --- 0 out a7,9b end a 7,,CLE,2.0,W,8,1,,
10,34,2012-05-12,CHW,KCR,6-8,,2,2.1,1,0,0,0,4,0,0,1.26,8,29,21,7,6,3,1,1,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.32,0.054,.36,0.04%,1.27,6t --- 0 out d3,8t --- 1 out d3,,CHW,0.47619047619047616,L,0,5,,
