,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,120,2007-08-15,DET,CLE,GS-7,L(0-1),99,7.0,5,4,4,2,3,1,1,5.14,27,104,62,16,6,11,10,2,1,0,52.0,,,0,0,0,24,1,1,0,2,0,1,0.67,-0.11800000000000001,1.95,-0.21%,-0.11,1b start tie,7b 3 out d3,,CLE,1.0,L,2,5
1,2,125,2007-08-21,DET,CLE,GS-7,W(1-1),5,6.2,1,1,1,4,1,1,0,3.29,23,78,50,17,4,7,11,3,3,0,65.0,,,1,0,0,19,0,0,0,1,0,0,1.02,0.314,3.39,0.63%,2.68,1t start tie,7t 1-- 2 out a1,,DET,0.8064516129032258,W,2,1
2,3,130,2007-08-26,DET,NYY,GS-2,,4,1.1,2,1,1,0,2,1,0,3.6,6,23,15,7,2,0,4,1,1,0,48.0,,,1,0,0,6,0,0,0,0,0,0,0.74,-0.004,1.52,-0.01%,-0.18,1t start tie,2t --- 1 out a2,,DET,1.818181818181818,W,5,4
3,4,146,2007-09-11,DET,TEX,GS-5,W(2-1),15,5.0,3,1,1,1,1,0,0,3.15,18,72,42,9,8,6,10,3,2,0,57.0,,,0,0,0,16,0,0,0,1,1,0,0.83,0.156,1.11,0.13%,1.81,1t start tie,5t 3 out a3,2.0,DET,0.8,W,4,1
4,5,150,2007-09-16,DET,MIN,GS-6,W(3-1),4,5.1,2,1,1,1,6,0,0,2.84,19,90,59,20,5,1,11,3,3,0,65.0,,,0,0,0,18,1,1,0,0,0,0,0.61,0.11900000000000001,1.32,0.15%,1.18,1b start a 1,6b --3 1 out a3,,MIN,0.5882352941176471,W,6,4
5,6,154,2007-09-21,DET,KCR,GS-3,,4,2.1,6,4,4,0,0,1,0,3.9,13,43,28,7,1,5,8,3,2,0,29.0,,,0,0,0,13,1,1,0,0,0,0,0.69,-0.245,0.14,-0.03%,-2.89,1t start tie,3t 1-- 1 out d4,,DET,2.8571428571428568,W,5,4
6,7,159,2007-09-26,DET,MIN,GS-3,,4,3.0,5,4,4,3,0,0,0,4.7,16,64,41,9,5,6,7,5,0,0,30.0,,,0,0,0,13,1,0,0,0,0,0,1.14,-0.212,0.05,-0.01%,-2.32,1t start tie,3t 3 out d1,,DET,2.6666666666666665,W,9,4
7,8,3,2008-04-02,ATL,PIT,GS-6,W(1-0),99,5.1,7,2,2,1,5,0,0,3.38,24,88,57,20,7,9,9,5,0,0,50.0,,,0,0,0,23,1,0,0,0,0,0,1.12,-0.008,0.92,0.00%,0.09,1t start tie,6t 12- 1 out a1,,ATL,1.5686274509803924,W,10,2
8,9,8,2008-04-08,ATL,COL,GS-7,L(1-1),5,7.0,9,4,4,2,3,0,0,4.38,30,97,60,14,8,11,14,9,0,0,44.0,,,1,1,0,28,4,0,2,1,0,0,0.9,-0.061,0.81,-0.03%,-0.11,1b start a 1,7b 3 out d1,,COL,1.5714285714285714,L,3,4
9,10,13,2008-04-15,ATL,FLA,GS-6,L(1-2),6,6.0,4,2,2,3,5,0,0,3.93,25,101,56,13,12,9,8,4,0,0,58.0,,,3,0,0,22,2,1,2,0,0,0,0.94,0.052000000000000005,1.03,0.03%,1.09,1b start tie,6b 3 out d2,,FLA,1.1666666666666667,L,0,4
