Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,5,2009-04-10,SEA,OAK,7-7,H(1),99,1.0,1,0,0,0,2,0,0,0.00,4,22,14,3,2,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.53,0.111,1.99,0.09%,0.53,7b --- 0 out a1,7b 3 out a1,,OAK,1.0,W,5,4,,
2,9,2009-04-15,SEA,LAA,7-8,H(2),4,2.0,2,0,0,0,2,0,0,0.00,8,26,21,7,3,4,2,0,0,0,,2,0,0,0,0,7,0,0,0,0,0,0,1.32,0.272,1.80,0.22%,2.02,7t 12- 0 out a1,8t 3 out a8,,SEA,1.0,W,11,3,,
3,11,2009-04-17,SEA,DET,7-7,H(3),1,1.0,2,0,0,0,0,0,0,0.00,4,13,9,3,0,1,3,2,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,1.35,0.071,1.55,0.05%,0.51,7t --- 0 out a2,7t 3 out a2,,SEA,2.0,W,6,3,,
4,13,2009-04-19,SEA,DET,9-GF,,1,1.0,1,0,0,1,1,0,0,0.00,5,24,14,5,1,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.02,0.001,.02,0.00%,0.51,9t --- 0 out d6,9t end d 6,,SEA,2.0,L,2,8,,
5,17,2009-04-24,SEA,LAA,7-GF,,4,2.1,1,0,0,0,1,0,0,0.00,7,20,15,5,1,2,4,1,1,0,,1,0,0,0,0,7,0,0,0,0,0,0,.27,0.036,.37,0.03%,1.41,7b -2- 2 out a5,9b end a 5,,LAA,0.47619047619047616,W,8,3,,
6,18,2009-04-25,SEA,LAA,8-8,H(4),0,0.1,0,0,0,0,0,0,0,0.00,1,1,1,0,0,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.96,0.029,1.36,0.02%,0.34,8b -2- 2 out a3,8b 3 out a3,,LAA,0.0,W,9,8,,
7,22,2009-04-29,SEA,CHW,6-7,BL(0-1),3,1.1,3,2,2,0,2,2,0,2.00,7,32,22,5,5,1,4,0,0,0,,2,2,0,0,0,6,1,0,0,0,1,0,1.88,-0.348,2.33,-0.26%,-2.15,6b 12- 0 out a2,7b --- 1 out d2,,CHW,2.727272727272727,L,3,6,,
8,23,2009-05-01,SEA,OAK,8-GF,W(1-1),1,1.2,0,0,0,0,2,0,0,1.69,5,26,16,6,2,0,3,0,1,0,,2,0,0,0,0,5,0,0,0,0,0,0,2.56,0.316,3.75,0.28%,1.43,8t 12- 1 out tie,9t end tie,,SEA,0.0,W,8,7,,
9,25,2009-05-03,SEA,OAK,9-9,,1,1.0,1,0,0,0,1,0,0,1.54,4,16,11,2,1,0,3,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.78,0.039,1.14,0.03%,0.51,9t --- 0 out d1,9t 3 out d1,,SEA,1.0,W,8,7,,
10,27,2009-05-05,SEA,TEX,2-2,,1,0.0,0,0,0,0,0,0,0,1.54,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,9b --- 2 out tie,9b 3 out tie,,SEA,,L,2,7,,
11,79,2009-07-03,SEA,BOS,8-8,BS(2),58,0.2,1,0,0,0,0,0,0,1.46,3,12,7,1,1,0,3,0,1,0,,2,2,0,0,0,3,1,0,0,0,0,0,3.42,-0.228,4.30,-0.17%,-1.02,8b 12- 1 out a2,8b 3 out tie,,BOS,5.0,W,7,6,,
12,83,2009-07-07,SEA,BAL,6-7,,3,1.0,4,5,5,2,0,0,0,4.73,8,27,13,3,2,4,2,1,1,0,,1,1,0,0,0,6,1,0,1,1,0,0,.56,-0.112,.68,-0.08%,-3.74,6t --3 1 out d2,7t 1-3 1 out d6,,SEA,6.0,L,4,12,,
13,86,2009-07-10,SEA,TEX,8-8,,2,0.1,2,2,2,0,0,1,0,5.93,3,8,5,1,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.27,-0.115,.44,-0.11%,-1.89,8t --- 2 out d2,8t 3 out d4,,SEA,20.0,L,4,6,,
14,89,2009-07-16,SEA,CLE,6-6,,5,1.0,2,0,0,0,0,0,0,5.52,5,19,12,4,0,3,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.38,0.018,.48,0.01%,0.52,6b --- 0 out d3,6b 3 out d3,,CLE,2.0,L,1,4,,
15,92,2009-07-19,SEA,CLE,7-7,W(2-1),2,1.0,0,0,0,0,2,0,0,5.17,3,11,8,3,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.16,0.089,1.53,0.07%,0.52,7b --- 0 out tie,7b 3 out tie,,CLE,0.0,W,5,3,,
16,93,2009-07-21,SEA,DET,6-6,,1,1.0,1,1,1,1,1,1,0,5.40,5,19,10,4,0,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.34,-0.047,.49,-0.04%,-0.45,6b --- 0 out d2,6b 3 out d3,,DET,2.0,L,7,9,,
17,96,2009-07-24,SEA,CLE,8-8,,2,1.0,0,0,0,0,1,0,0,5.09,3,10,8,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.10,0.008,.13,0.01%,0.51,8t --- 0 out d4,8t 3 out d4,,SEA,0.0,L,0,9,,
18,98,2009-07-26,SEA,CLE,5-5,,1,1.0,4,2,2,1,1,1,0,5.79,7,29,16,6,2,2,3,2,0,0,,3,3,0,0,0,6,0,0,0,1,0,0,.54,-0.156,.49,-0.09%,-2.65,5t 123 0 out d1,5t 3 out d6,,SEA,5.0,L,3,12,,
19,103,2009-07-31,SEA,TEX,6-6,,4,1.0,0,0,0,0,1,0,0,5.49,3,19,12,2,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.43,0.034,.45,0.02%,0.57,6b --- 0 out d2,6b 3 out d2,,TEX,0.0,L,4,5,,
20,105,2009-08-02,SEA,TEX,8-GF(8),,1,1.0,1,0,0,0,0,0,0,5.23,4,10,8,1,0,1,3,1,2,0,,0,0,0,0,0,4,0,0,0,0,0,0,.22,0.017,.20,0.01%,0.57,8b --- 0 out d2,8b end d 2,,TEX,1.0,L,2,4,,
21,106,2009-08-04,SEA,KCR,5-6,W(3-1),1,2.0,2,1,1,1,1,0,0,5.16,9,32,20,6,0,2,5,2,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,1.59,-0.051,.90,-0.02%,0.05,5b --- 0 out d1,6b 3 out tie,,KCR,1.5,W,7,6,,
22,109,2009-08-07,SEA,TBR,11-GF(11),W(4-1),2,1.0,2,1,1,0,1,1,0,5.32,5,16,11,3,2,0,4,1,1,0,,0,0,1,0,0,5,0,0,0,0,0,0,1.20,-0.297,.87,-0.13%,-0.49,11t --- 0 out tie,11t end d 1,,SEA,2.0,W,7,6,,
23,111,2009-08-09,SEA,TBR,7-8,,1,1.1,0,0,0,0,2,0,1,5.04,5,20,13,4,1,1,1,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,.01,0.002,.01,0.00%,1.02,7t 1-3 2 out a9,8t 3 out a9,,SEA,0.0,W,11,2,,
24,113,2009-08-11,SEA,CHW,9-GF,,1,0.1,0,0,0,0,0,0,0,4.97,1,3,2,0,1,0,1,1,0,0,,1,0,1,0,0,1,0,0,0,0,0,0,.38,0.009,.33,0.01%,0.23,9t 1-- 2 out d2,9t end d 2,,SEA,0.0,L,1,3,,
