,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,136,2007-09-01,NYA,TBD,GS-7,W(1-0),99,7.0,5,3,1,2,6,1,0,1.29,27,96,66,21,11,5,14,6,1,0,63.0,,,1,0,0,25,1,0,0,1,0,0,0.89,0.09,2.17,0.13%,0.89,1t start tie,7t 3 out a4,,NYY,1.0,W,9,6,,
1,2,141,2007-09-07,NYA,KCR,GS-5,,5,5.0,7,2,2,3,2,0,0,2.25,24,87,53,18,6,5,14,6,2,0,44.0,,,0,1,0,21,1,0,0,0,0,0,1.38,0.08900000000000001,3.62,0.14%,0.75,1b start tie,5b 3 out tie,,KCR,2.0,W,3,2,,
2,3,146,2007-09-13,NYA,TOR,GS-8,,5,7.0,1,1,1,4,7,0,0,1.89,26,93,59,23,7,4,11,2,2,0,74.0,,,0,0,0,22,1,0,0,0,0,0,0.89,0.253,1.06,0.18%,2.46,1b start tie,8b 1-- 0 out tie,,TOR,0.7142857142857143,L,1,2,,
3,4,4,2008-04-04,NYA,TBR,GS-3,L(0-1),99,2.1,4,6,6,4,2,0,0,23.14,15,70,32,11,1,6,3,2,0,0,23.0,,,1,0,0,11,1,0,0,0,0,0,1.22,-0.29600000000000004,1.36,-0.20%,-4.07,1t start tie,3t -2- 1 out d5,,NYY,3.809523809523809,L,4,13,,
4,5,9,2008-04-09,NYA,KCR,6-GF(8),,4,3.0,2,2,2,2,3,0,0,13.5,13,52,32,11,1,5,3,1,0,0,,0.0,0.0,0,0,0,11,1,0,0,0,0,0,0.24,-0.086,0.23,-0.05%,-0.43,6b --- 0 out d2,8b end d 4,,KCR,1.3333333333333333,L,0,4,,
5,6,14,2008-04-14,NYA,TBR,GS-7,,4,6.0,8,3,3,2,4,0,0,8.74,27,94,60,20,10,9,12,3,1,0,46.0,,,2,1,0,24,2,0,0,0,1,0,0.77,0.098,0.81,0.06%,0.84,1b start a 2,7b 1-- 0 out a5,,TBR,1.6666666666666667,W,8,7,,
6,7,19,2008-04-19,NYA,BAL,GS-3,L(0-2),4,2.2,5,4,4,5,4,1,0,9.64,17,85,42,15,3,3,5,0,1,0,31.0,,,1,0,1,12,3,0,0,0,0,0,1.13,-0.22399999999999998,1.31,-0.16%,-2.72,1b start tie,3b -2- 2 out d4,,BAL,4.545454545454545,L,0,6,,
7,8,25,2008-04-26,NYA,CLE,GS-5,,6,5.0,4,3,3,4,2,0,0,8.53,23,105,60,16,2,9,8,1,1,0,45.0,,,0,0,0,17,0,0,0,0,1,0,0.88,-0.11900000000000001,0.95,-0.08%,-0.39,1b start tie,5b 3 out d3,,CLE,1.6,L,3,4,,
8,9,30,2008-05-01,NYA,DET,GS-5,,4,4.2,5,4,4,3,1,0,0,8.37,22,96,57,15,6,4,14,4,2,0,36.0,,,0,0,0,19,3,1,0,0,0,0,0.86,-0.185,0.89,-0.11%,-1.72,1t start tie,5t 12- 2 out d1,,NYY,1.9047619047619049,L,4,8,,
9,10,42,2008-05-15,NYA,TBR,GS-5,L(0-3),13,5.0,5,5,5,1,3,2,1,8.48,22,78,49,14,2,7,10,3,0,0,39.0,,,0,0,0,18,2,0,0,0,2,0,0.72,-0.193,0.8,-0.13%,-2.3,1b start tie,5b 3 out d5,,TBR,1.2,L,2,5,,
10,11,47,2008-05-22,NYA,BAL,GS-6,,6,6.0,4,1,1,4,4,0,0,7.27,24,97,57,17,7,6,10,3,1,0,60.0,,,1,1,0,20,0,1,0,1,0,0,1.34,0.247,1.03,0.11%,2.3,1t start tie,6t 3 out tie,,NYY,1.3333333333333333,W,2,1,,
11,12,52,2008-05-27,NYA,BAL,GS-3,,4,3.0,4,4,3,0,3,2,0,7.41,15,51,34,9,4,4,8,0,4,0,40.0,,,0,0,0,15,0,0,0,0,0,2,0.91,-0.20600000000000002,0.84,-0.11%,-2.38,1b start tie,3b 3 out tie,,BAL,1.3333333333333333,L,9,10,,
12,13,116,2008-08-08,NYA,LAA,GS-3,L(0-4),72,2.0,9,5,5,1,1,0,0,8.17,16,61,38,16,3,7,7,1,1,0,18.0,,,0,0,0,15,3,0,0,0,0,0,1.16,-0.474,1.78,-0.44%,-4.92,1b start tie,3b 12- 0 out d2,,LAA,5.0,L,5,10,,
13,14,153,2009-09-23,NYA,LAA,8-8,H(1),99,1.0,0,0,0,2,1,0,1,0.0,6,28,15,5,3,0,2,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,4.23,0.147,0.14,0.00%,0.54,8b --- 0 out a1,8b 3 out a1,,LAA,2.0,W,3,2,,
14,15,3,2010-04-07,ARI,SDP,GS-5,,99,5.0,6,3,3,0,8,1,0,5.4,22,94,64,17,10,6,8,3,0,0,51.0,,,0,0,0,22,2,0,0,0,0,1,0.86,-0.095,0.91,-0.06%,-0.44,1t start tie,5t 3 out d2,,ARI,1.2,W,5,3,,
15,16,7,2010-04-13,ARI,LAD,GS-5,L(0-1),5,4.1,6,6,6,3,2,3,1,8.68,22,100,56,19,10,4,12,3,0,0,26.0,,,0,0,0,17,2,0,0,0,1,0,0.83,-0.324,0.91,-0.21%,-3.54,1b start tie,5b 12- 1 out d4,,LAD,2.1951219512195124,L,5,9,,
16,17,12,2010-04-18,ARI,SDP,GS-5,,4,5.0,2,0,0,3,7,0,0,5.65,20,102,58,21,10,3,7,1,2,0,67.0,,,0,0,0,17,1,0,0,0,0,0,1.12,0.293,1.14,0.18%,2.22,1b start a 1,5b 3 out a1,,SDP,1.0,L,3,5,,
17,18,17,2010-04-24,ARI,PHI,GS-8,,5,8.0,4,2,2,1,4,2,0,4.43,29,111,72,28,10,11,12,2,1,1,69.0,,,0,0,0,28,2,0,0,0,0,0,1.04,0.23,0.93,0.12%,2.1,1t start tie,8t 3 out tie,,ARI,0.625,L,2,3,,
18,19,22,2010-04-29,ARI,CHC,GS-8,W(1-1),4,8.0,6,5,4,1,6,1,1,4.45,32,110,70,21,8,10,14,4,5,0,57.0,,,0,0,0,29,0,0,0,0,0,1,0.48,0.122,0.43,0.07%,-0.94,1b start tie,8b 3 out a8,,CHC,0.875,W,13,5,,
19,20,27,2010-05-04,ARI,HOU,GS-7,W(2-1),4,6.2,8,0,0,2,3,0,0,3.65,29,110,74,17,11,13,11,2,1,0,59.0,,,0,1,0,25,1,0,1,0,0,0,1.4,0.41,1.2,0.21%,3.0,1b start tie,7b -2- 2 out a1,,HOU,1.6129032258064515,W,1,0,,
20,21,32,2010-05-09,ARI,MIL,GS-7,L(2-2),4,7.0,6,2,2,1,5,1,0,3.48,28,100,62,22,7,9,13,4,1,0,61.0,,,1,0,0,27,1,1,1,0,0,0,0.86,0.113,0.7,0.06%,1.59,1t start tie,7t 3 out d1,,ARI,1.0,L,1,6,,
21,22,36,2010-05-14,ARI,ATL,GS-7,,4,6.1,7,3,3,2,5,1,0,3.58,25,109,70,22,7,7,11,4,2,0,50.0,,,0,2,1,22,1,0,0,1,0,0,0.97,0.162,0.51,0.05%,1.18,1b start a 1,7b 1-3 1 out a3,,ATL,1.475409836065574,L,5,6,,
22,23,41,2010-05-19,ARI,SFG,GS-8,W(3-2),4,8.0,3,1,1,3,9,0,0,3.24,29,116,73,23,13,7,10,4,1,0,78.0,,,0,1,0,26,2,0,0,0,0,0,0.67,0.22899999999999998,0.32,0.07%,3.1,1t start tie,8t 3 out a6,,ARI,0.75,W,13,1,,
23,24,46,2010-05-25,ARI,COL,GS-5,L(3-3),5,5.0,5,3,3,4,2,2,0,3.41,23,103,59,17,8,3,14,4,1,0,43.0,,,0,0,0,18,0,0,0,0,0,0,0.76,-0.091,0.47,-0.03%,-0.19,1b start tie,5b 3 out d3,,COL,1.8,L,2,3,,
24,25,51,2010-05-30,ARI,SFG,GS-6,,4,6.0,5,2,2,3,6,0,0,3.38,25,94,56,18,10,6,10,2,1,0,57.0,,,0,0,0,21,2,0,0,1,1,0,1.29,0.139,0.41,0.03%,0.84,1b start tie,6b 3 out tie,,SFG,1.3333333333333333,L,5,6,,
25,26,55,2010-06-04,ARI,COL,GS-6,,4,6.0,5,6,3,2,8,3,1,3.46,26,108,68,22,13,6,9,2,0,0,50.0,,,1,0,0,23,0,0,0,1,0,1,1.17,-0.387,0.18,-0.04%,-2.93,1t start tie,6t 3 out d3,,ARI,1.1666666666666667,W,7,6,,
26,27,60,2010-06-09,ARI,ATL,GS-7,,4,7.0,3,0,0,5,6,0,0,3.17,28,114,64,17,10,7,10,3,0,0,72.0,,,1,0,0,23,0,0,0,1,0,0,1.4,0.447,0.18,0.03%,3.59,1t start tie,7t 3 out tie,,ARI,1.1428571428571428,W,2,1,,
27,28,65,2010-06-15,ARI,BOS,GS-6,L(3-4),5,6.0,9,6,6,1,6,1,1,3.57,28,103,60,25,6,7,13,4,3,0,35.0,,,0,0,0,26,2,0,0,1,0,0,0.71,-0.308,0.09,-0.02%,-2.84,1b start a 1,6b 3 out d3,,BOS,1.6666666666666667,L,3,6,,
28,29,70,2010-06-20,ARI,DET,GS-7,L(3-5),4,6.2,6,3,3,0,5,2,0,3.6,27,109,77,19,7,6,16,5,1,0,55.0,,,0,0,0,27,1,0,0,0,0,1,1.01,-0.11900000000000001,0.07,-0.01%,0.31,1b start a 1,7b 1-- 2 out d2,,DET,0.9677419354838708,L,1,3,,
29,30,75,2010-06-26,ARI,TBR,GS-6,L(3-6),5,5.1,2,4,4,9,7,0,1,3.77,28,115,61,19,11,1,10,4,1,0,46.0,,,3,0,0,17,1,0,0,0,1,0,1.39,0.008,0.04,0.00%,0.29,1b start tie,6b 123 1 out tie,,TBR,2.1568627450980395,L,3,5,,
30,31,83,2010-07-05,ARI,CHC,GS-6,L(3-7),8,5.2,9,7,7,0,6,1,1,4.16,27,97,58,19,8,8,12,4,0,0,29.0,,,0,0,0,25,2,1,0,0,0,0,0.71,-0.405,0.01,0.00%,-4.16,1t start tie,6t 1-- 2 out d4,,ARI,1.7307692307692306,L,4,9,,
31,32,88,2010-07-10,ARI,FLA,GS-6,W(4-7),4,5.1,5,2,2,2,5,1,0,4.12,22,93,61,16,4,5,10,6,1,0,53.0,,,1,0,0,19,1,0,0,1,0,0,1.0,0.067,0.0,0.00%,0.54,1t start tie,6t 1-- 1 out a1,,ARI,1.3725490196078431,W,5,4,,
32,33,93,2010-07-19,ARI,NYM,GS-5,W(5-7),8,5.0,4,1,1,2,1,0,0,4.02,22,86,52,13,6,9,10,5,2,0,54.0,,,0,0,0,19,1,0,0,0,0,1,0.47,0.11900000000000001,0.0,0.00%,1.56,1t start tie,5t 3 out a5,,ARI,1.2,W,13,2,,
33,34,98,2010-07-24,ARI,SFG,GS-7,L(5-8),4,6.2,6,4,4,3,6,0,0,4.1,29,101,70,23,11,9,11,3,3,0,49.0,,,0,0,0,26,2,0,0,0,0,0,0.85,-0.033,0.0,0.00%,0.35,1t start tie,7t 1-- 2 out d2,,ARI,1.4516129032258065,L,4,10,,
