,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,3,2002-04-04,TBA,DET,8-8,,99,1.0,1,0,0,0,1,0,0,0.0,5,21,14,3,2,3,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,1,0.02,0.001,0.02,0.00%,0.53,8t --- 0 out a9,8t 3 out a9,,TBD,1.0,W,9,2
1,2,4,2002-04-05,TBA,NYY,6-6,,0,1.0,0,0,0,1,1,0,0,0.0,4,16,9,3,1,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.24,0.011000000000000001,0.29,0.01%,0.54,6b --- 0 out d4,6b 3 out d4,,NYY,1.0,L,0,4
2,3,6,2002-04-07,TBA,NYY,7-7,,1,1.0,0,0,0,1,0,0,0,0.0,4,12,5,2,0,0,3,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.05,0.004,0.06,0.00%,0.54,7b --- 0 out d5,7b 3 out d5,,NYY,1.0,L,2,7
3,4,8,2002-04-11,TBA,BAL,6-GF(8),,3,2.1,3,1,0,0,1,0,0,0.0,10,27,18,5,0,3,6,2,1,0,,3,3,0,0,0,10,0,0,0,0,0,0,0.04,-0.022000000000000002,0.05,-0.02%,-2.18,6b 123 2 out d5,8b end d 9,,BAL,1.4285714285714286,L,6,15
4,5,10,2002-04-13,TBA,TOR,6-7,,1,2.0,2,0,0,0,3,0,0,0.0,9,36,23,5,7,3,3,1,1,0,,0,0,0,0,0,9,1,0,0,0,0,1,0.45,0.039,0.48,0.03%,1.05,6t --- 0 out d4,7t 3 out d3,,TBD,1.0,L,4,5
5,6,12,2002-04-16,TBA,DET,6-6,,2,0.0,3,4,4,1,0,0,0,4.91,4,18,10,2,2,0,3,3,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.77,-0.12,0.74,-0.07%,-2.99,6b --- 0 out d2,6b 12- 0 out d4,,DET,inf,L,3,9
6,7,15,2002-04-19,TBA,BAL,8-8,,2,0.1,0,0,0,0,0,0,0,4.7,1,8,5,1,1,0,1,0,1,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.73,0.078,2.53,0.04%,0.33,8t -2- 2 out tie,8t 3 out tie,,TBD,0.0,L,5,6
7,8,18,2002-04-23,TBA,MIN,6-7,H(1),3,2.0,2,1,1,0,2,0,0,4.66,7,33,21,5,2,1,4,2,1,0,,0,0,0,0,0,7,1,0,0,0,0,0,0.84,0.044000000000000004,0.69,0.02%,0.05,6t --- 0 out a3,7t 3 out a2,,TBD,1.0,W,6,4
8,9,24,2002-04-30,TBA,MIN,6-7,,6,2.0,2,0,0,2,0,0,0,3.86,8,31,15,2,2,2,4,2,0,0,,0,0,0,0,0,6,0,0,0,2,0,0,0.18,0.019,0.13,0.01%,1.09,6b --- 0 out d4,7b 3 out d4,,MIN,2.0,L,3,6
9,10,26,2002-05-02,TBA,MIN,9-GF(10),BL(0-1),1,1.1,2,1,1,0,1,1,0,4.15,6,16,13,2,1,2,3,1,0,0,,2,2,0,0,0,5,0,0,0,0,0,0,3.59,-0.514,2.13,-0.18%,-1.19,9b 12- 0 out a2,10b end d 1,,MIN,1.818181818181818,L,6,7
