,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,2,2008-04-02,CLE,CHW,8-8,,99,0.1,2,0,0,0,1,0,0,0.0,3,17,10,1,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.39,-0.013999999999999999,0.44,-0.01%,-0.41,8t --- 0 out a5,8t 12- 1 out a5,,CLE,20.0,W,7,2
1,2,5,2008-04-05,CLE,OAK,7-7,,2,1.0,2,0,0,0,0,0,0,0.0,5,20,11,3,0,3,2,0,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,0.27,0.013000000000000001,0.27,0.01%,0.5,7b --- 0 out d3,7b 3 out d3,,OAK,2.0,L,1,6
2,3,9,2008-04-09,CLE,LAA,6-7,,3,1.0,1,2,1,0,1,0,0,3.86,5,18,11,4,1,1,3,1,1,0,,0,0,0,0,0,5,0,0,0,0,0,1,0.47,-0.006999999999999999,0.47,0.00%,-0.47,6b --- 0 out d2,7b 12- 0 out d2,,LAA,1.0,L,5,9
3,4,10,2008-04-11,CLE,OAK,8-8,,1,1.0,1,0,0,1,1,0,0,2.7,5,19,12,3,4,0,3,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.01,0.001,0.01,0.00%,0.52,8t --- 0 out d8,8t 3 out d8,,CLE,2.0,L,7,9
4,5,11,2008-04-12,CLE,OAK,8-8,,0,1.0,0,0,0,0,0,0,0,2.08,3,6,4,1,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.05,0.004,0.05,0.00%,0.52,8t --- 0 out d5,8t 3 out d5,,CLE,0.0,L,3,7
5,6,15,2008-04-16,CLE,DET,9-GF,,3,1.0,3,1,1,0,0,0,0,3.38,6,17,12,1,2,4,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,-0.48,9t --- 0 out d10,9t end d11,,CLE,3.0,L,2,13
6,7,16,2008-04-17,CLE,DET,8-8,,0,1.0,0,0,0,0,1,0,0,2.84,3,14,9,0,2,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.52,8t --- 0 out a10,8t 3 out a10,,CLE,0.0,W,11,1
7,8,19,2008-04-20,CLE,MIN,8-8,,2,0.2,1,0,0,0,0,0,0,2.57,3,12,8,1,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.33,0.027999999999999997,2.19,0.02%,0.19,8b --- 0 out tie,8b -2- 2 out tie,,MIN,5.0,L,1,2
8,9,21,2008-04-24,CLE,KCR,7-8,H(1),3,1.1,0,0,0,0,0,0,0,2.16,4,16,10,5,0,4,0,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,1.02,0.106,0.98,0.06%,0.97,7b 12- 2 out a3,8b 3 out a3,1.0,KCR,0.0,W,9,6
9,10,24,2008-04-26,CLE,NYY,8-GF,W(1-0),1,2.0,2,0,0,0,2,0,0,1.74,7,23,16,4,3,3,2,1,0,0,,0,0,0,0,0,7,0,0,0,1,0,0,2.37,0.251,2.5,0.16%,1.05,8t --- 0 out tie,9t end tie,,CLE,1.0,W,4,3
10,11,25,2008-04-27,CLE,NYY,9-GF,,0,1.0,0,0,0,0,0,0,0,1.59,3,12,8,1,2,0,3,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.53,0.04,0.56,0.03%,0.52,9t --- 0 out d1,9t end d 1,,CLE,0.0,L,0,1
11,12,27,2008-04-29,CLE,SEA,7-8,,1,1.0,1,0,0,1,0,0,0,1.46,5,15,8,2,0,4,0,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,1.03,0.027999999999999997,1.0,0.02%,0.25,7t 1-- 2 out d1,8t 1-3 2 out d1,,CLE,2.0,L,2,7
12,13,29,2008-05-01,CLE,SEA,10-GF(11),W(2-0),1,2.0,3,1,1,0,1,1,0,1.88,8,29,18,3,2,3,4,3,0,0,,0,0,0,0,0,8,0,0,0,1,0,0,1.98,-0.151,1.9,-0.09%,0.05,10t --- 0 out tie,11t end tie,,CLE,1.5,W,3,2
13,14,30,2008-05-03,CLE,KCR,7-7,,1,0.1,1,0,0,0,0,0,0,1.84,2,8,6,0,1,1,1,0,0,0,,2,1,0,0,0,2,0,0,0,0,0,0,3.19,-0.066,3.49,-0.04%,-0.24,7t 1-3 1 out tie,7t 12- 2 out d1,,CLE,10.0,L,2,4
14,15,31,2008-05-04,CLE,KCR,8-8,,0,1.0,0,0,0,0,1,0,0,1.72,3,14,9,0,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,1,0.96,0.055,1.01,0.03%,0.52,8t --- 0 out d1,8t 3 out d1,,CLE,0.0,L,0,2
15,16,34,2008-05-08,CLE,NYY,7-7,,3,0.2,1,1,1,0,1,1,0,2.2,3,8,5,0,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.22,-0.053,0.24,-0.04%,-0.71,7b --- 1 out d2,7b 3 out d3,,NYY,5.0,L,3,6
16,17,35,2008-05-09,CLE,TOR,9-GF,,0,1.0,0,0,0,0,1,0,0,2.08,3,16,10,3,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.09,0.006999999999999999,0.09,0.00%,0.52,9t --- 0 out a5,9t end a 5,,CLE,0.0,W,6,1
17,18,39,2008-05-13,CLE,OAK,8-GF,S(1),3,1.1,1,0,0,0,1,0,0,1.93,5,20,12,2,3,4,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.74,0.043,0.8,0.03%,0.63,8t --- 2 out a1,9t end a 4,,CLE,0.9090909090909092,W,4,0
18,19,41,2008-05-15,CLE,OAK,9-GF,S(2),1,0.2,0,0,0,0,2,0,0,1.86,2,10,6,1,2,0,0,0,0,0,,3,1,0,0,0,2,0,0,0,0,0,0,3.99,0.16899999999999998,4.78,0.12%,0.6,9t 123 1 out a3,9t end a 2,,CLE,0.0,W,4,2
19,20,43,2008-05-17,CLE,CIN,8-GF,BL(2-1),1,0.1,2,3,3,0,0,1,1,3.2,4,16,8,0,0,0,3,0,0,0,,1,0,1,0,0,3,0,0,0,0,0,0,4.18,-0.7240000000000001,4.67,-0.49%,-2.76,8b 1-- 2 out a1,9b end d 2,,CIN,20.0,L,2,4
20,21,47,2008-05-22,CLE,CHW,8-8,,4,0.2,2,1,1,0,1,0,0,3.54,4,11,6,0,1,1,2,1,0,0,,1,1,0,0,0,4,0,0,0,0,0,0,2.17,-0.25,2.56,-0.18%,-1.3,8b 1-- 0 out tie,8b 1-- 2 out d2,,CHW,10.0,L,1,3
21,22,48,2008-05-23,CLE,TEX,9-GF,,0,1.0,1,0,0,0,1,0,0,3.38,4,16,11,3,0,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.07,0.004,0.06,0.00%,0.52,9t --- 0 out d4,9t end d 4,,CLE,1.0,L,9,13
22,23,50,2008-05-25,CLE,TEX,9-GF(10),L(2-2),1,2.0,2,1,0,1,1,0,0,3.09,8,33,20,1,0,4,2,1,0,0,,0,0,0,0,0,7,0,0,0,1,0,0,2.04,-0.151,1.88,-0.08%,0.05,9t --- 0 out tie,10t end d 1,,CLE,1.5,L,1,2
23,24,52,2008-05-27,CLE,CHW,7-8,,1,2.0,1,0,0,0,2,0,0,2.84,7,24,18,7,2,0,5,1,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,0.13,0.017,0.13,0.01%,1.05,7t --- 0 out a6,8t 3 out a6,,CLE,0.5,W,8,2
24,25,53,2008-05-28,CLE,CHW,9-GF,,0,1.0,0,0,0,0,1,0,0,2.73,3,11,7,0,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.53,0.04,0.57,0.03%,0.52,9t --- 0 out d1,9t end d 1,,CLE,0.0,L,5,6
25,26,57,2008-06-02,CLE,TEX,6-7,W(3-2),4,1.2,1,1,1,1,3,0,0,2.89,7,33,23,6,4,3,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.1,0.08800000000000001,0.78,0.04%,0.62,6b --- 0 out tie,7b 12- 2 out a2,,TEX,1.6666666666666667,W,13,9
26,27,59,2008-06-04,CLE,TEX,7-8,,1,2.0,0,0,0,1,0,0,0,2.7,7,37,21,4,1,3,3,0,0,0,,0,0,1,0,0,6,0,0,0,0,0,0,0.04,0.003,0.03,0.00%,1.08,7b --- 0 out a9,8b 3 out a9,,TEX,0.5,W,15,9
27,28,61,2008-06-06,CLE,DET,8-8,H(2),1,1.0,0,0,0,0,0,0,0,2.61,3,8,6,3,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.23,0.096,0.85,0.04%,0.55,8b --- 0 out a2,8b 3 out a2,,DET,0.0,W,4,2
28,29,62,2008-06-07,CLE,DET,7-8,BL(3-3),0,0.1,2,2,2,1,0,1,0,3.16,4,10,4,1,0,1,2,1,0,0,,1,0,0,0,0,3,1,0,0,0,0,0,2.97,-0.34700000000000003,2.23,-0.16%,-1.29,7b -2- 2 out a1,8b -2- 0 out tie,,DET,30.0,L,4,8
29,30,64,2008-06-09,CLE,DET,9-GF,,1,1.0,0,0,0,0,0,0,0,3.06,3,13,10,2,1,1,2,0,2,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.05,0.004,0.03,0.00%,0.55,9b --- 0 out a6,9b end a 6,,DET,0.0,W,8,2
30,31,67,2008-06-12,CLE,MIN,9-GF,,2,1.0,0,0,0,0,0,0,0,2.97,3,10,6,2,0,0,3,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.52,9t --- 0 out a10,9t end a10,,CLE,0.0,W,12,2
31,32,68,2008-06-13,CLE,SDP,8-GF,S(3),0,1.1,2,0,0,1,0,0,0,2.86,6,21,12,5,1,2,3,2,1,0,,0,0,0,0,0,5,0,0,0,1,0,0,0.94,0.03,0.68,0.01%,0.63,8t --- 2 out a2,9t end a 4,,CLE,2.727272727272727,W,9,5
32,33,70,2008-06-15,CLE,SDP,9-GF,,1,1.0,0,0,0,1,1,0,0,2.78,4,14,7,2,2,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.32,0.015,0.22,0.01%,0.52,9t --- 0 out a4,9t end a 4,,CLE,1.0,W,7,3
33,34,73,2008-06-19,CLE,COL,7-7,,3,1.0,3,2,2,2,0,0,0,3.19,7,20,8,1,1,3,2,1,0,0,,0,0,0,0,0,5,0,0,2,0,0,0,1.0,-0.14,0.58,-0.05%,-1.44,7b --- 0 out d1,7b 3 out d3,,COL,5.0,L,3,6
34,35,74,2008-06-20,CLE,LAD,10-GF(10),S(4),0,1.0,1,0,0,0,0,0,0,3.11,4,13,10,1,2,3,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.36,0.091,0.6,0.02%,0.5,10b --- 0 out a2,10b end a 2,,LAD,1.0,W,6,4
35,36,75,2008-06-21,CLE,LAD,10-10,W(4-3),0,1.0,0,0,0,0,2,0,0,3.03,3,14,9,2,4,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.81,0.13699999999999998,1.02,0.05%,0.5,10b --- 0 out tie,10b 3 out tie,,LAD,0.0,W,7,2
36,37,77,2008-06-24,CLE,SFG,9-9,,2,0.1,1,1,1,1,0,0,0,3.23,4,16,7,2,0,3,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,1,0.9,-0.114,0.5,-0.04%,-1.69,9t --- 0 out d1,9t 1-3 1 out d2,,CLE,20.0,L,2,3
37,38,80,2008-06-27,CLE,CIN,9-GF,,2,1.0,1,0,0,0,1,0,0,3.15,4,17,9,3,1,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.03,0.003,0.01,0.00%,0.52,9t --- 0 out a6,9t end a 6,,CLE,1.0,W,6,0
38,39,85,2008-07-02,CLE,CHW,9-GF(10),L(4-4),4,1.0,1,1,1,0,0,1,0,3.29,4,15,10,0,1,1,3,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.0,-0.204,0.38,-0.02%,-0.45,9b --- 0 out tie,10b end d 1,,CHW,1.0,L,5,6
39,40,89,2008-07-08,CLE,DET,8-GF(8),,5,1.0,0,0,0,0,0,0,0,3.21,3,11,7,3,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.55,8b --- 0 out d7,8b end d 7,,DET,0.0,L,2,9
40,41,93,2008-07-12,CLE,TBR,8-GF,,3,1.1,1,0,0,0,1,0,0,3.12,5,16,11,2,3,3,1,1,0,0,,2,2,0,0,0,5,1,0,0,0,0,0,0.35,0.003,0.01,0.00%,-1.03,8t 12- 2 out a5,9t end a 4,,CLE,0.9090909090909092,W,8,4
41,42,94,2008-07-13,CLE,TBR,9-GF,S(5),0,1.0,0,0,0,0,1,0,0,3.05,3,8,5,0,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.45,0.035,0.02,0.00%,0.52,9t --- 0 out a3,9t end a 3,,CLE,0.0,W,5,2
42,43,96,2008-07-19,CLE,SEA,9-GF,,5,1.0,3,2,2,0,0,1,0,3.38,6,15,10,2,0,3,3,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.24,0.008,0.01,0.00%,-1.49,9b --- 0 out a5,9b end a 3,,SEA,3.0,W,9,6
43,44,98,2008-07-21,CLE,LAA,9-GF,S(6),1,1.0,0,0,0,0,3,0,0,3.3,3,16,11,5,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.59,0.046,0.04,0.00%,0.55,9b --- 0 out a3,9b end a 3,,LAA,0.0,W,5,2
44,45,101,2008-07-25,CLE,MIN,9-9,,3,0.0,3,2,2,0,0,1,0,3.69,3,10,7,1,0,1,2,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,1.75,-0.32899999999999996,0.11,-0.01%,-2.63,9t --- 0 out a3,9t -2- 0 out a1,,CLE,inf,W,5,4
45,46,105,2008-07-29,CLE,DET,9-GF,,3,1.0,1,0,0,0,0,0,0,3.61,4,13,9,0,0,2,2,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,0.11,0.004,0.0,0.00%,0.52,9t --- 0 out d4,9t end d 4,,CLE,1.0,L,5,8
46,47,106,2008-07-30,CLE,DET,8-9,,0,1.1,1,1,1,2,1,0,0,3.7,7,27,15,4,2,2,2,1,0,0,,1,0,0,0,0,4,0,0,0,0,1,0,3.21,-0.20199999999999999,0.08,0.00%,-0.11,8t --3 2 out tie,9t 3 out d1,,CLE,2.727272727272727,L,12,14
47,48,107,2008-07-31,CLE,DET,9-GF,,0,1.0,0,0,0,0,1,0,0,3.62,3,12,9,2,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.09,0.006999999999999999,0.0,0.00%,0.52,9t --- 0 out a5,9t end a 5,,CLE,0.0,W,9,4
48,49,113,2008-08-06,CLE,TBR,9-GF,L(4-5),5,0.0,2,3,3,1,0,1,0,4.17,3,8,3,1,0,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.88,-0.355,0.04,0.00%,-3.0,9b --- 0 out tie,9b end d 3,,TBR,inf,L,7,10
49,50,118,2008-08-12,CLE,BAL,7-7,,5,0.0,2,1,1,0,0,0,0,4.35,2,8,5,0,0,1,1,1,0,0,,1,1,0,0,0,2,1,0,0,0,0,0,2.27,-0.243,0.04,0.00%,-1.66,7t 1-- 1 out a2,7t 1-3 1 out a1,,CLE,inf,W,7,5
50,51,120,2008-08-14,CLE,BAL,9-GF,,1,1.0,1,0,0,0,1,0,0,4.26,4,14,11,2,1,1,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.52,9t --- 0 out d8,9t end d 8,,CLE,1.0,L,6,11
