Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,81,2017-06-29,TBR,PIT,7-GF(8),,99,1.1,1,0,0,0,1,0,0,0.00,4,14,12,5,2,3,0,0,0,0,,2,0,0,1,0,4,0,0,0,0,0,0,.09,0.008,.10,0.01%,0.94,7b 12- 2 out d4,8b end d 4,,PIT,0.9090909090909091,L,0,4,,
2,83,2017-07-01,TBR,BAL,9-GF,,1,1.0,0,0,0,1,0,0,0,0.00,4,19,10,3,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.09,0.001,.11,0.00%,0.51,9b --- 0 out a7,9b end a 7,,BAL,1.0,W,10,3,,
3,86,2017-07-05,TBR,CHC,7-7,,3,1.0,2,1,1,0,0,0,0,2.70,5,12,9,3,0,2,3,2,0,0,,1,1,0,0,0,4,0,0,0,0,0,0,1.67,-0.213,1.93,-0.15%,-1.08,7b 1-- 0 out tie,7b 3 out d2,,CHC,2.0,L,3,7,,
4,88,2017-07-07,TBR,BOS,9-GF,,1,1.0,1,1,1,0,1,1,0,4.15,4,18,13,4,3,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.05,-0.007,.08,-0.01%,-0.49,9t --- 0 out d4,9t end d 5,,TBR,1.0,L,3,8,,
5,91,2017-07-14,TBR,LAA,7-7,,6,0.0,0,0,0,0,0,0,1,4.15,1,1,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,1.48,-0.033,2.11,-0.03%,-0.21,7b 1-- 2 out tie,7b 12- 2 out tie,,LAA,,W,2,1,,
6,93,2017-07-16,TBR,LAA,8-GF(8),,1,0.2,1,1,1,0,0,1,0,5.40,3,3,3,0,0,2,1,0,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,.90,-0.316,1.38,-0.29%,-1.47,8b 1-- 1 out tie,8b end d 2,,LAA,5.0,L,3,4,,
7,95,2017-07-18,TBR,OAK,8-8,W(1-0),1,0.1,0,0,0,0,1,0,0,5.06,1,5,3,1,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.66,0.015,1.04,0.01%,0.23,8b 1-- 2 out d1,8b 3 out d1,,OAK,0.0,W,4,3,,
8,96,2017-07-19,TBR,OAK,6-7,,0,0.1,0,1,1,1,0,0,1,6.35,3,12,5,2,1,0,1,1,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.40,0.000,.61,0.00%,-0.39,6b -23 2 out d3,7b 12- 0 out d3,,OAK,10.0,L,2,7,,
9,99,2017-07-23,TBR,TEX,6-6,H(1),3,0.2,1,0,0,0,0,0,0,5.68,3,10,8,0,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.86,0.035,1.32,0.03%,0.27,6t --- 0 out a2,6t 1-- 2 out a2,,TBR,5.0,L,5,6,,
10,103,2017-07-27,TBR,NYY,7-7,H(2),3,0.1,0,0,0,0,0,0,0,5.40,1,6,3,2,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.58,0.041,2.85,0.05%,0.26,7b --- 0 out a2,7b --- 1 out a2,,NYY,0.0,L,5,6,,
11,104,2017-07-28,TBR,NYY,8-GF(8),,0,1.0,1,1,1,1,1,0,1,5.87,5,19,10,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,1,0,0,0,.07,-0.006,.12,-0.01%,-0.45,8b --- 0 out d4,8b end d 5,,NYY,2.0,L,1,6,,
