Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
17,47,2000-05-26,TEX,MIN,7-7,,99,0.2,5,5,5,2,0,0,0,67.50,9,47,26,9,0,4,3,2,0,0,,0,0,0,0,0,6,1,0,0,0,1,0,.18,-0.068,.23,-0.05%,-4.88,7b --- 0 out d3,7b 12- 2 out d8,,MIN,35.0,L,2,10
18,124,2001-08-19,TEX,TOR,7-8,H(1),99,1.1,0,0,0,1,1,0,0,0.00,5,19,12,5,1,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.15,0.092,.00,0.00%,0.82,7b --- 0 out a3,8b --- 1 out a3,,TOR,0.9090909090909091,W,8,4
19,125,2001-08-20,TEX,NYY,6-7,H(2),0,1.2,0,0,0,0,3,0,0,0.00,5,14,12,3,5,1,1,0,0,0,,1,1,0,0,0,4,0,0,0,0,1,0,1.23,0.116,.00,0.00%,0.57,6t --3 1 out a2,7t 3 out a1,,TEX,0.0,L,5,9
20,127,2001-08-22,TEX,NYY,7-7,H(3),1,0.1,1,0,0,2,1,0,0,0.00,4,34,20,5,2,1,0,0,0,0,,0,0,1,0,0,2,0,0,0,0,0,0,2.37,-0.158,.00,0.00%,-1.08,7t --- 0 out a2,7t 123 1 out a2,,TEX,30.0,W,8,1
21,129,2001-08-24,TEX,BOS,8-8,,1,0.1,2,3,3,1,1,1,0,7.36,4,18,10,2,3,0,2,1,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,3.28,-0.386,.00,0.00%,-3.34,8t 1-- 0 out tie,8t --- 1 out d4,,TEX,30.0,L,4,7
22,130,2001-08-25,TEX,BOS,11-11,,0,1.0,0,0,0,0,1,0,0,5.79,3,9,7,1,4,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.91,0.151,.00,0.00%,0.57,11t --- 0 out tie,11t 3 out tie,,TEX,0.0,W,8,7
23,134,2001-08-30,TEX,MIN,8-8,H(4),4,0.1,1,0,0,0,0,0,0,5.40,2,10,7,2,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.52,-0.008,.00,0.00%,-0.02,8b --- 0 out a2,8b 1-- 1 out a2,,MIN,10.0,W,5,1
24,136,2001-09-01,TEX,KCR,8-9,,1,1.1,0,0,0,2,1,0,0,4.26,6,25,10,2,1,2,1,0,0,0,,1,0,0,0,0,3,0,0,1,0,0,0,3.14,0.208,.00,0.00%,0.84,8b 1-- 2 out tie,9b 3 out tie,,KCR,1.8181818181818181,L,7,8
25,137,2001-09-02,TEX,KCR,7-7,H(5),0,1.0,1,0,0,0,1,0,0,3.68,4,10,9,4,0,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.84,0.065,.00,0.00%,0.58,7b --- 0 out a3,7b 3 out a3,,KCR,1.0,W,12,6
26,141,2001-09-07,TEX,KCR,8-8,,4,1.0,0,0,0,0,0,0,0,3.24,3,14,10,3,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.10,0.008,.00,0.00%,0.57,8t --- 0 out a6,8t 3 out a6,,TEX,0.0,W,8,2
27,145,2001-09-18,TEX,OAK,7-7,H(6),10,0.1,0,1,1,1,0,0,0,4.15,2,9,4,3,0,0,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.50,-0.003,.00,0.00%,-0.01,7t --- 0 out a1,7t 1-- 1 out a1,,TEX,10.0,L,5,6
28,147,2001-09-20,TEX,OAK,7-7,,1,1.0,0,0,0,1,1,0,0,3.72,4,24,14,5,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.64,0.041,.00,0.00%,0.57,7t --- 0 out d2,7t 3 out d2,,TEX,1.0,L,2,7
29,150,2001-09-23,TEX,ANA,8-8,,2,0.2,3,1,1,0,0,0,0,4.35,5,24,17,3,2,2,3,3,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.45,-0.033,.00,0.00%,-0.90,8t --- 0 out a4,8t 12- 2 out a3,,TEX,15.0,W,5,2
