Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,140,2001-09-06,ARI,SFG,6-7,,99,1.1,2,0,0,0,3,0,0,0.00,6,26,17,5,7,2,1,1,0,0,,1,1,0,0,0,6,1,0,0,0,0,0,.13,-0.019,.37,-0.03%,-0.29,6b 1-- 2 out d4,7b 3 out d5,,SFG,1.8181818181818181,L,5,9
2,142,2001-09-08,ARI,SDP,3-6,,1,3.1,0,0,0,2,3,0,0,0.00,12,40,26,15,2,5,3,0,2,0,,1,0,0,0,0,10,0,0,0,0,0,0,.97,0.202,2.66,0.33%,2.06,3t -2- 2 out d2,6t 3 out d1,,ARI,0.6451612903225806,W,8,6
3,145,2001-09-18,ARI,COL,6-6,,9,1.0,0,0,0,0,2,0,0,0.00,3,9,7,3,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.02,0.084,2.19,0.11%,0.64,6b --- 0 out tie,6b 3 out tie,,COL,0.0,L,9,10
4,147,2001-09-20,ARI,LAD,8-8,,1,1.0,0,0,0,1,1,0,1,0.00,5,17,8,2,1,2,0,0,0,0,,0,0,0,0,0,2,0,0,1,0,0,0,2.86,0.105,8.47,0.19%,0.48,8b --- 0 out tie,8b 3 out tie,,LAD,1.0,L,2,3
5,149,2001-09-22,ARI,LAD,11-11,L(0-1),1,0.0,0,2,2,2,0,0,1,2.70,3,14,4,3,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,5.13,-0.560,16.07,-1.05%,-2.45,11b 1-- 0 out a2,11b 123 0 out a1,,LAD,inf,L,5,6
6,152,2001-09-26,ARI,MIL,8-8,,3,0.2,2,2,2,1,1,1,0,4.91,5,22,13,6,0,0,3,1,0,0,,1,1,0,0,0,4,1,0,0,0,0,0,.04,-0.001,.14,0.00%,-2.42,8t 1-- 1 out a10,8t 3 out a7,,ARI,15.0,W,15,9
7,154,2001-09-28,ARI,LAD,11-11,,1,0.0,1,0,0,1,0,0,0,4.91,2,7,3,1,0,0,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.52,-0.142,6.94,-0.24%,-0.68,11t --- 1 out tie,11t 12- 1 out tie,,ARI,inf,W,4,3
8,155,2001-09-29,ARI,LAD,9-GF,,0,1.0,0,0,0,1,0,0,0,4.32,4,21,10,4,2,1,2,0,1,0,,1,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,.11,0.01%,0.97,9t 1-- 0 out a7,9t end a 7,,ARI,1.0,W,8,1
9,161,2001-10-06,ARI,MIL,6-7,H(1),6,1.2,3,3,0,1,4,0,0,3.60,10,51,36,10,7,3,2,2,0,0,,0,0,0,0,0,9,0,0,0,0,0,1,2.00,-0.182,.00,0.00%,-1.49,6b --- 0 out a3,7b 1-3 2 out a1,,MIL,3.3333333333333335,L,4,5
10,59,2002-06-05,ARI,HOU,12-12,,99,1.0,0,0,0,0,0,0,0,0.00,3,10,6,1,1,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.88,0.147,2.72,0.13%,0.55,12t --- 0 out tie,12t 3 out tie,,ARI,0.0,W,5,4
11,62,2002-06-09,ARI,BOS,8-8,H(1),3,0.1,0,0,0,0,0,0,0,0.00,1,4,2,1,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.00,0.030,1.35,0.02%,0.35,8b -2- 2 out a3,8b 3 out a3,,BOS,0.0,W,7,3
12,66,2002-06-14,ARI,DET,8-8,,4,1.0,0,0,0,0,3,0,0,0.00,3,12,10,3,4,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.06,0.005,.08,0.00%,0.55,8t --- 0 out d5,8t 3 out d5,,ARI,0.0,L,3,6
13,68,2002-06-16,ARI,DET,9-GF,,1,1.0,3,1,1,0,1,0,0,2.70,6,18,15,4,2,1,4,3,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.01,0.000,.01,0.00%,-0.45,9t --- 0 out a10,9t end a 9,,ARI,3.0,W,11,2
14,69,2002-06-18,ARI,BAL,8-8,H(2),1,1.0,0,0,0,0,0,0,0,2.08,3,15,10,3,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.61,0.048,.84,0.04%,0.55,8t --- 0 out a3,8t 3 out a3,,ARI,0.0,W,6,3
15,71,2002-06-20,ARI,BAL,8-GF,,1,2.0,1,0,0,0,0,0,0,1.42,7,18,15,5,1,5,2,1,1,0,,0,0,0,0,0,7,0,0,0,1,0,1,.51,0.043,.70,0.04%,1.10,8t --- 0 out a4,9t end a 4,,ARI,0.5,W,5,1
16,72,2002-06-21,ARI,TOR,7-8,,0,1.1,0,0,0,0,1,0,0,1.17,4,17,9,2,2,2,1,0,1,0,,1,0,0,0,0,4,0,0,0,0,0,0,1.41,0.148,1.89,0.12%,1.00,7t 1-- 1 out d1,8t --- 2 out tie,,ARI,0.0,W,4,3
17,74,2002-06-23,ARI,TOR,8-8,,1,1.0,0,0,0,1,2,0,0,1.04,4,16,8,3,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,.05,0.00%,0.55,8t --- 0 out d6,8t 3 out d6,,ARI,1.0,L,3,9
18,75,2002-06-25,ARI,HOU,8-8,,1,0.1,0,0,0,0,0,0,0,1.00,1,3,3,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.81,0.047,2.58,0.04%,0.25,8b --- 0 out tie,8b --- 1 out tie,,HOU,0.0,L,3,7
