,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,118,2012-08-14,SDN,ATL,8-GF(8),,99,1.0,0,0,0,0,3,0,0,0.0,3,16,11,5,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.49,8b --- 0 out d6,8b end d 6,,ATL,0.0,L,0,6
1,2,120,2012-08-16,SDN,ATL,7-7,,1,1.0,0,0,0,0,2,0,0,0.0,3,18,12,2,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.02,0.001,0.0,0.00%,0.49,7b --- 0 out d6,7b 3 out d6,,ATL,0.0,L,0,6
2,3,121,2012-08-17,SDN,SFG,7-7,,0,1.0,1,0,0,1,1,0,0,0.0,5,19,10,4,2,1,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.01,0.001,0.0,0.00%,0.43,7t --- 0 out d8,7t 3 out d8,,SDP,2.0,L,1,10
3,4,122,2012-08-18,SDN,SFG,7-7,,0,0.1,0,0,0,0,1,0,0,0.0,1,9,6,0,2,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.12,0.025,0.0,0.00%,0.44,7t 12- 1 out d2,7t 12- 2 out d2,,SDP,0.0,L,7,8
4,5,126,2012-08-22,SDN,PIT,9-GF,S(1),3,1.0,0,0,0,0,1,0,0,0.0,3,11,7,4,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.86,0.063,0.0,0.00%,0.43,9t --- 0 out a2,9t end a 2,,SDP,0.0,W,4,2
5,6,127,2012-08-24,SDN,ARI,9-GF,,1,1.0,0,0,0,0,1,0,0,0.0,3,11,6,2,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.09,0.006999999999999999,0.0,0.00%,0.49,9b --- 0 out a5,9b end a 5,,ARI,0.0,W,5,0
6,7,129,2012-08-26,SDN,ARI,8-8,,1,0.0,0,0,0,0,0,0,0,0.0,1,6,3,2,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,1,1.24,-0.036000000000000004,0.01,0.00%,-0.12,8b --- 2 out a1,8b 1-- 2 out a1,,ARI,,W,5,4
7,8,130,2012-08-27,SDN,ATL,7-7,H(1),0,1.0,0,0,0,0,1,0,0,0.0,3,6,6,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.86,0.063,0.01,0.00%,0.43,7t --- 0 out a2,7t 3 out a2,,SDP,0.0,W,3,0
8,9,131,2012-08-28,SDN,ATL,8-8,,0,0.2,0,0,0,0,2,0,0,0.0,2,8,6,4,2,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,0,0.52,0.023,0.01,0.00%,0.47,8t 1-- 1 out d2,8t 3 out d2,,SDP,0.0,L,0,2
9,10,132,2012-08-29,SDN,ATL,7-8,H(2),0,1.1,1,0,0,0,1,0,0,0.0,5,18,13,4,2,3,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.57,0.035,0.0,0.00%,0.4,7t --- 0 out a3,8t 1-- 1 out a3,,SDP,0.9090909090909092,W,8,2
10,11,133,2012-08-31,SDN,COL,8-8,H(3),1,0.1,0,0,0,0,1,0,0,0.0,1,3,3,1,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.8,0.047,0.02,0.00%,0.26,8b --- 0 out a2,8b --- 1 out a2,,COL,0.0,W,5,4
11,12,135,2012-09-02,SDN,COL,7-7,H(4),1,0.1,1,2,2,0,0,0,1,2.0,3,9,6,3,0,1,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.6,-0.152,0.01,0.00%,-0.91,7b --- 0 out a2,7b -23 1 out a2,,COL,10.0,L,10,11
12,13,136,2012-09-03,SDN,LAD,8-8,,0,0.0,1,0,0,0,0,0,0,2.0,1,1,1,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.2,-0.035,0.01,0.00%,-0.12,8b --- 2 out a1,8b 1-- 2 out a1,,LAD,inf,L,3,4
13,14,137,2012-09-04,SDN,LAD,10-10,W(1-0),0,1.0,0,0,0,0,3,0,0,1.8,3,13,9,5,4,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.74,0.129,0.0,0.00%,0.46,10b --- 0 out tie,10b 3 out tie,,LAD,0.0,W,6,3
14,15,138,2012-09-05,SDN,LAD,9-GF,S(2),0,0.1,0,0,0,0,0,0,0,1.74,1,8,5,1,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,3.34,0.091,0.0,0.00%,0.21,9b 1-- 2 out a1,9b end a 1,,LAD,0.0,W,4,3
15,16,139,2012-09-07,SDN,ARI,8-8,BS(1),1,0.0,1,0,0,0,0,0,0,1.74,1,3,2,0,0,0,1,1,0,0,,2,2,0,0,0,1,1,0,0,0,0,0,2.65,-0.36,0.0,0.00%,-1.9,8t 12- 2 out a2,8t -2- 2 out tie,,SDP,inf,W,6,5
16,17,141,2012-09-09,SDN,ARI,8-8,,1,0.1,1,0,0,1,1,0,0,1.69,3,14,7,3,2,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0.16,-0.003,0.0,0.00%,-0.4,8t --- 0 out a7,8t 12- 1 out a7,,SDP,20.0,W,8,2
17,18,143,2012-09-11,SDN,STL,8-8,H(5),1,0.1,0,0,0,0,1,0,0,1.64,2,8,6,2,0,0,1,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,1,2.88,-0.009000000000000001,0.03,0.00%,-0.03,8t --- 0 out a1,8t 1-- 1 out a1,,SDP,0.0,W,6,4
18,19,144,2012-09-12,SDN,STL,8-8,H(6),0,0.2,0,0,0,0,1,0,0,1.54,2,7,5,2,1,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.81,0.087,0.04,0.00%,0.34,8t --- 0 out a1,8t --- 2 out a1,,SDP,0.0,W,3,2
