Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,58,2004-06-09,CHC,STL,5-5,,99,1.0,1,1,1,0,2,1,0,9.00,4,22,15,3,4,0,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.47,-0.056,.59,-0.04%,-0.47,5t --- 0 out d2,5t 3 out d3,,CHC,1.0,L,4,12
2,62,2004-06-13,CHC,ANA,13-GF(15),W(1-0),3,3.0,1,0,0,0,2,0,0,2.25,10,35,25,3,6,5,3,1,0,0,,0,0,0,0,0,10,0,0,0,0,0,0,2.60,0.507,2.98,0.35%,1.63,13b --- 0 out tie,15b end a 1,,ANA,0.3333333333333333,W,6,5
3,72,2004-06-24,CHC,STL,7-GF(8),,10,2.0,0,0,0,0,4,0,0,1.50,7,27,20,5,6,1,2,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,1,.07,0.010,.12,0.01%,1.03,7b --- 0 out d4,8b end d 4,,STL,0.0,L,0,4
4,73,2004-06-25,CHC,CHW,6-7,,0,2.0,2,0,0,1,0,0,0,1.13,8,24,14,4,2,2,5,1,0,0,,0,0,0,0,0,7,0,0,0,1,0,0,.60,0.055,.86,0.05%,1.15,6b --- 0 out a5,7b 3 out a5,,CHW,1.5,W,7,4
5,77,2004-06-30,CHC,HOU,6-7,,4,1.1,1,1,1,0,0,1,0,1.93,5,25,16,5,0,2,3,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.11,-0.086,1.81,-0.08%,-0.22,6t --- 0 out tie,7t --- 1 out d1,,CHC,0.9090909090909091,L,2,3
6,78,2004-07-01,CHC,HOU,10-GF(10),W(2-0),0,1.0,0,0,0,1,1,0,0,1.74,4,19,12,3,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.80,0.143,4.34,0.13%,0.53,10t --- 0 out tie,10t end tie,,CHC,1.0,W,5,4
7,83,2004-07-06,CHC,MIL,5-6,,4,2.0,1,0,0,0,0,0,0,1.46,7,25,14,3,2,5,2,0,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.44,0.064,.78,0.07%,1.04,5b --- 0 out d2,6b 3 out d2,,MIL,0.5,L,2,4
8,85,2004-07-09,CHC,STL,7-8,,2,1.1,3,2,2,0,1,1,0,2.63,6,33,21,5,2,1,4,1,0,0,,0,0,0,1,0,6,1,0,0,0,0,0,.16,-0.024,.26,-0.02%,-0.66,7b --- 0 out d3,8b -2- 1 out d4,,STL,2.727272727272727,L,1,6
9,96,2004-07-23,CHC,PHI,7-7,H(1),13,1.0,1,0,0,0,1,0,0,2.45,4,12,9,2,2,1,2,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.55,0.087,2.16,0.07%,0.55,7b --- 0 out a2,7b 3 out a2,,PHI,1.0,W,5,1
10,98,2004-07-25,CHC,PHI,7-7,,1,1.0,0,0,0,0,0,0,0,2.30,3,10,5,1,0,1,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.34,0.027,.49,0.02%,0.55,7b --- 0 out d2,7b 3 out d2,,PHI,0.0,L,2,3
