Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
357,2,2000-04-04,MIL,CIN,7-7,H(1),99,1.0,0,0,0,0,1,0,0,0.00,3,13,7,1,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.44,0.114,1.50,0.07%,0.57,7b --- 0 out a1,7b 3 out a1,,CIN,0.0,W,5,1
358,4,2000-04-06,MIL,CIN,7-7,,1,1.0,1,0,0,1,1,0,0,0.00,5,24,13,3,3,1,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.12,0.008,.13,0.01%,0.57,7b --- 0 out d4,7b 3 out d4,,CIN,2.0,L,1,5
359,5,2000-04-07,MIL,STL,8-8,,0,1.0,0,0,0,2,1,0,1,0.00,5,23,9,4,1,1,0,0,0,0,,0,0,1,0,0,2,0,0,0,1,0,0,.88,0.018,.96,0.01%,0.57,8b --- 0 out a5,8b 3 out a5,,STL,2.0,W,9,1
360,7,2000-04-09,MIL,STL,8-GF(8),,1,1.0,2,2,2,0,1,1,0,4.50,5,19,14,3,2,2,2,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.00,-0.001,.00,0.00%,-1.43,8b --- 0 out d7,8b end d 9,,STL,2.0,L,2,11
361,9,2000-04-12,MIL,FLA,7-7,,2,1.0,1,0,0,1,1,0,0,3.60,5,17,11,3,1,1,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.57,0.024,.54,0.01%,0.54,7t --- 0 out d3,7t 3 out d3,,MIL,2.0,L,4,11
362,11,2000-04-14,MIL,ATL,8-8,,1,1.0,3,3,3,1,1,1,0,7.50,7,31,20,7,1,3,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.92,-0.215,.93,-0.13%,-2.46,8t --- 0 out d1,8t 3 out d4,,MIL,4.0,L,3,6
363,14,2000-04-18,MIL,NYM,5-6,,3,2.0,2,1,1,2,2,0,0,6.75,10,44,23,5,3,2,4,2,0,0,,0,0,0,0,0,7,1,0,1,0,1,0,.03,-0.004,.03,0.00%,0.08,5b --- 0 out d7,6b 3 out d8,,NYM,2.0,L,7,10
364,16,2000-04-20,MIL,NYM,10-GF(10),L(0-1),1,0.1,1,1,1,0,1,1,0,7.56,2,5,4,1,1,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.08,-0.355,1.82,-0.19%,-0.75,10b --- 0 out tie,10b end d 1,,NYM,10.0,L,4,5
365,17,2000-04-21,MIL,MON,7-GF(8),,0,2.0,3,2,2,0,3,1,0,7.84,9,26,18,5,4,1,5,2,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,.40,-0.020,.33,-0.01%,-0.85,7b --- 0 out d2,8b end d 4,,MON,1.5,L,1,5
366,20,2000-04-25,MIL,STL,8-GF(8),,3,0.2,0,0,0,0,0,0,0,7.36,2,4,4,0,0,1,1,0,1,0,,3,0,0,0,0,2,0,0,0,0,0,0,.08,0.004,.08,0.00%,1.65,8b 123 1 out d5,8b end d 5,,STL,0.0,L,2,7
