Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,65,2000-06-13,MIL,MON,7-8,,99,2.0,0,0,0,0,2,0,0,0.00,6,29,18,4,4,3,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.01,0.002,.00,0.00%,1.09,7t --- 0 out d8,8t 3 out d8,,MIL,0.0,L,4,9
2,71,2000-06-20,MIL,FLA,5-6,,6,2.0,1,0,0,0,2,0,0,0.00,7,31,22,2,5,2,3,2,0,0,,0,0,1,0,0,7,0,0,0,0,0,0,.10,0.011,.03,0.00%,1.05,5b --- 0 out d6,6b 3 out d5,,FLA,0.5,L,2,8
3,76,2000-06-25,MIL,ATL,GS-7,,4,6.0,4,4,3,5,4,0,0,2.70,25,96,56,13,9,4,12,6,0,0,49,,,1,0,0,18,0,0,0,2,1,0,.90,-0.118,.21,-0.02%,-1.04,1b start tie,7b 1-- 0 out d2,,ATL,1.5,L,4,5
4,80,2000-06-30,MIL,CHC,15-GF(15),L(0-1),4,1.0,3,3,3,2,1,0,0,4.91,8,35,17,5,2,0,5,3,1,0,,0,0,0,0,0,6,1,0,0,0,0,0,2.79,-0.454,.39,-0.04%,-2.46,15t --- 0 out tie,15t end d 3,,MIL,5.0,L,4,7
5,161,2000-09-29,MIL,HOU,9-GF,,90,1.0,2,0,0,0,0,0,0,4.50,5,18,13,2,0,3,2,1,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.60,9b --- 0 out a10,9b end a10,,HOU,2.0,W,13,3
6,22,2001-04-27,MIL,MON,6-8,,99,2.2,3,2,2,2,1,2,0,6.75,13,54,31,12,1,2,8,4,1,0,,0,0,0,0,0,11,1,0,1,0,0,0,.48,-0.109,.47,-0.06%,-0.91,6t --- 0 out d1,8t 12- 2 out d3,,MIL,2.2727272727272725,L,1,6
7,29,2001-05-05,MIL,FLA,7-8,,7,2.0,1,0,0,0,1,0,0,3.86,6,20,14,2,3,3,2,1,0,0,,0,0,0,0,0,6,0,0,0,1,0,0,.18,0.019,.20,0.01%,1.01,7b --- 0 out a6,8b 3 out a6,,FLA,0.5,W,8,2
8,31,2001-05-07,MIL,CHC,4-6,,1,2.2,2,0,0,1,2,0,0,2.45,11,53,35,10,4,2,6,2,0,0,,2,0,0,0,0,10,1,0,0,0,0,0,.44,0.068,.53,0.05%,1.94,4t 12- 1 out d4,6t 3 out d4,,MIL,1.3636363636363635,L,6,7
9,34,2001-05-10,MIL,CHC,2-6,W(1-0),2,3.2,3,1,1,2,3,1,0,2.45,16,65,40,9,7,5,7,2,0,0,,1,0,0,0,0,13,0,0,0,0,0,0,.95,0.122,1.07,0.08%,0.74,2t 1-- 2 out a3,6t 1-- 1 out a4,,MIL,1.5625,W,11,1
10,39,2001-05-15,MIL,PHI,GS-4,,4,3.1,8,8,8,1,3,4,0,6.91,18,73,45,13,8,5,9,3,0,0,14,,,0,0,0,17,0,0,0,1,0,0,.70,-0.337,.82,-0.24%,-6.23,1b start a 3,4b --- 1 out a1,,PHI,2.903225806451613,W,14,10
11,47,2001-05-25,MIL,CHC,GS-6,L(1-1),9,6.0,4,1,1,1,3,1,0,5.31,23,82,53,13,10,10,9,3,1,0,62,,,0,0,0,22,0,0,0,0,0,0,.80,0.167,1.12,0.14%,1.99,1b start tie,6b 3 out d1,,CHC,0.8333333333333334,L,0,1
12,51,2001-05-30,MIL,STL,CG(5),W(2-1),4,5.0,5,1,1,0,5,0,0,4.62,20,76,53,14,7,3,12,5,0,0,58,,,0,0,0,20,1,0,0,0,0,0,.50,0.053,.64,0.04%,1.63,1b start tie,5b 3 out a10,,STL,1.0,W,11,1
13,56,2001-06-05,MIL,CIN,GS-6,,5,6.0,6,2,1,4,4,1,0,4.02,27,105,61,13,8,8,11,4,1,0,54,,,1,0,0,22,1,0,2,2,0,1,1.51,0.092,1.60,0.06%,1.06,1t start tie,6t 3 out tie,,MIL,1.6666666666666667,L,3,4
14,60,2001-06-10,MIL,DET,6-6,,4,1.0,0,0,0,0,1,0,0,3.90,3,15,11,4,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.32,0.025,.25,0.01%,0.51,6b --- 0 out a5,6b 3 out a5,,DET,0.0,W,8,3
15,62,2001-06-13,MIL,CLE,GS-5,,2,5.0,6,2,2,5,4,0,0,3.86,23,95,50,17,5,7,7,4,1,0,46,,,2,0,0,18,0,0,0,1,0,0,1.14,0.014,1.11,0.01%,0.74,1b start tie,5b 3 out d2,,CLE,2.2,L,2,5
16,67,2001-06-18,MIL,CIN,GS-6,W(3-1),4,6.0,7,3,3,4,4,0,0,3.95,27,94,55,10,14,8,11,4,1,0,46,,,2,1,0,22,1,0,2,1,1,0,1.12,-0.026,.92,-0.01%,0.32,1b start a 1,6b 3 out d1,,CIN,1.8333333333333333,W,6,4
